symbol,bars,min_ts,max_ts,turnover_sum,days_available,coverage_ratio,avg_daily_turnover_usd,days_since_last,is_leveraged,exclude_reasons
XTZUSDT,26208,1672531200000,1696117500000,20602672.20763386,273.0,1.0,75467.6637642266,0.010416655092592592,false,low_turnover
ZILUSDT,26208,1672531200000,1696117500000,23778860.93261283,273.0,1.0,87102.05469821549,0.010416655092592592,false,low_turnover
RVNUSDT,26208,1672531200000,1696117500000,7939917.592720033,273.0,1.0,29083.947226080705,0.010416655092592592,false,low_turnover
USDTEUR,26208,1672531200000,1696117500000,225165806.86900344,273.0,1.0,824783.1753443349,0.010416655092592592,false,""
WAVESUSDT,26208,1672531200000,1696117500000,156870407.0440638,273.0,1.0,574616.8756192813,0.010416655092592592,false,""
WWYUSDT,26208,1672531200000,1696117500000,53244210.54856153,273.0,1.0,195033.73827311915,0.010416655092592592,false,low_turnover
APTUSDC,26208,1672531200000,1696117500000,51584029.10606193,273.0,1.0,188952.48756799242,0.010416655092592592,false,low_turnover
ARUSDT,26208,1672531200000,1696117500000,13283375.312908981,273.0,1.0,48657.05242823803,0.010416655092592592,false,low_turnover
AXLUSDT,17048,1680775200000,1696117500000,149525836.4856492,177.58333333333331,0.6504884004884005,547713.6867606197,0.010416655092592592,false,"short_history,low_coverage"
BNBUSDT,26208,1672531200000,1696117500000,385567111.20109195,273.0,1.0,1412333.7406633405,0.010416655092592592,false,""
BTCDAI,26208,1672531200000,1696117500000,12034267.38081583,273.0,1.0,44081.56549749388,0.010416655092592592,false,low_turnover
CHRPUSDT,26208,1672531200000,1696117500000,44682529.193957716,273.0,1.0,163672.26810973522,0.010416655092592592,false,low_turnover
MNTUSDT,7256,1689588000000,1696117500000,1033097862.7798223,75.58333333333333,0.2768620268620269,3784241.2556037446,0.010416655092592592,false,"short_history,low_coverage"
ERTHAUSDT,26208,1672531200000,1696117500000,13587623.86003807,273.0,1.0,49771.51597083542,0.010416655092592592,false,low_turnover
FLOKIUSDT,26208,1672531200000,1696117500000,113410847.1997883,273.0,1.0,415424.34871717327,0.010416655092592592,false,""
GODSUSDT,26208,1672531200000,1696117500000,2329712.6273729997,273.0,1.0,8533.745887813186,0.010416655092592592,false,low_turnover
XLMUSDC,26208,1672531200000,1696117500000,17803428.59656103,273.0,1.0,65214.024163227215,0.010416655092592592,false,low_turnover
