s1,s2,reason
ATOMUSDT,LINKUSDT,low_correlation_0.43
MANABTC,SANDBTC,low_correlation_0.12
ATOMUSDT,ETHUSDT,low_correlation_0.38
ATOMUSDT,ETHUSDC,low_correlation_0.38
MANAUSDT,XRPUSDT,low_correlation_0.45
MANAUSDT,XRPUSDC,low_correlation_0.45
ATOMUSDT,AVAXUSDT,low_correlation_0.44
ATOMUSDT,SANDUSDT,low_correlation_0.47
ATOMUSDT,ENJUSDT,low_correlation_0.47
ATOMUSDT,STETHUSDT,low_correlation_0.38
BATUSDT,MANAUSDT,low_correlation_0.43
SHIBUSDT,XRPUSDT,low_correlation_0.48
SHIBUSDT,XRPUSDC,low_correlation_0.48
SANDUSDT,WEMIXUSDT,low_correlation_0.40
ATOMUSDT,UNIUSDT,low_correlation_0.47
ATOMUSDT,FTTUSDT,low_correlation_0.38
SANDUSDC,WEMIXUSDT,low_correlation_0.39
MANAUSDC,XRPUSDC,low_correlation_0.47
BATUSDT,DYDXUSDT,low_correlation_0.45
ATOMUSDT,SANDUSDC,low_correlation_0.47
MANAUSDC,XRPUSDT,low_correlation_0.47
ATOMUSDT,LTCUSDT,low_correlation_0.23
ATOMUSDT,THETAUSDT,low_correlation_0.50
DYDXUSDT,XRPUSDT,low_correlation_0.49
DYDXUSDT,XRPUSDC,low_correlation_0.49
ATOMUSDT,LTCUSDC,low_correlation_0.23
LINKUSDT,UMAUSDT,low_correlation_0.01
ALGOUSDT,ATOMUSDT,low_correlation_0.50
ATOMUSDT,XEMUSDT,low_correlation_0.46
ATOMUSDT,MKRUSDT,low_correlation_0.39
THETAUSDT,WEMIXUSDT,low_correlation_0.48
ATOMUSDT,BATUSDT,low_correlation_0.04
BATUSDT,MANAUSDC,low_correlation_0.45
AAVEUSDT,ATOMUSDT,low_correlation_0.25
DOGEUSDT,UMAUSDT,low_correlation_0.22
ATOMUSDT,XLMUSDT,low_correlation_0.26
ATOMUSDT,WOOUSDT,low_correlation_0.21
SOLUSDT,UMAUSDT,low_correlation_0.16
SOLUSDC,UMAUSDT,low_correlation_0.16
ONEUSDT,UMAUSDT,low_correlation_0.35
ATOMUSDT,RVNUSDT,low_correlation_0.48
SHIBUSDT,UMAUSDT,low_correlation_0.41
ADAUSDT,ATOMUSDT,low_correlation_0.35
AXSUSDT,WEMIXUSDT,low_correlation_0.40
ATOMUSDT,XRPUSDC,low_correlation_0.01
ATOMUSDT,DOTUSDC,low_correlation_0.17
MANAUSDC,UMAUSDT,low_correlation_0.40
ATOMUSDT,XLMUSDC,low_correlation_0.25
ATOMUSDT,XRPUSDT,low_correlation_0.01
BATUSDT,SHIBUSDT,low_correlation_0.40
MANAUSDT,UMAUSDT,low_correlation_0.42
ENJUSDT,WEMIXUSDT,low_correlation_0.45
ATOMUSDT,DOTUSDT,low_correlation_0.18
ATOMUSDT,BICOUSDT,low_correlation_0.37
ICXUSDT,MANAUSDT,low_correlation_0.32
MANAUSDT,NEXOUSDT,low_correlation_0.46
THETAUSDT,UMAUSDT,low_correlation_0.07
1INCHUSDT,ATOMUSDT,low_correlation_0.27
