,PnL
2022-04-30,0.0
2022-05-01,0.10345599171705544
2022-05-02,-0.8762387735769153
2022-05-03,0.0
2022-05-04,-0.5071011937689036
2022-05-05,-0.5332496424671263
2022-05-06,0.0
2022-05-07,0.0
2022-05-08,-0.4677438586950302
2022-05-09,-0.44991034269332886
2022-05-10,-1.4428467229008675
2022-05-11,-0.7950231898576021
2022-05-12,0.0
2022-05-13,0.0
2022-05-14,0.0
2022-05-15,0.0
2022-05-16,0.0
2022-05-17,0.0
2022-05-18,0.0
2022-05-19,-0.04654602659866214
2022-05-20,-0.8177912030369043
2022-05-21,0.0
2022-05-22,0.08334038965404034
2022-05-23,0.15571226179599762
2022-05-24,0.0
2022-05-25,0.0
2022-05-26,0.0
2022-05-27,0.0
2022-05-28,0.0
2022-05-29,0.0
2022-05-30,0.0
2022-05-31,-0.834220502525568
2022-06-01,1.3583060819655657
2022-06-02,-0.6117232060059905
2022-06-03,0.0
2022-06-04,5.0406919457018375
2022-06-05,0.0
2022-06-06,-0.7459239140152931
2022-06-07,0.9544830899685621
2022-06-08,0.3497912036255002
2022-06-09,-1.4783453168347478
2022-06-10,0.21859364351257682
2022-06-11,1.735787040553987
2022-06-12,0.12264043278992176
2022-06-13,2.111341692507267
2022-06-14,4.104149736464024
2022-06-15,0.3331196065992117
2022-06-16,0.42189247347414494
2022-06-17,-0.060594866052269936
2022-06-18,-0.9947653133422136
2022-06-19,1.0857011564075947
2022-06-20,0.42805778980255127
2022-06-21,1.92675862275064
2022-06-22,-1.9468523692339659
2022-06-23,-2.429781276732683
2022-06-24,0.13883256167173386
2022-06-25,0.42448743991553783
2022-06-26,0.0
2022-06-27,-0.9148053387179971
2022-06-28,0.6319227740168571
2022-06-29,0.0
2022-06-30,0.4507351256906986
2022-07-01,-0.5910312298219651
2022-07-02,0.0
2022-07-03,0.0
2022-07-04,0.5547233619727194
2022-07-05,-0.08002278162166476
2022-07-06,0.3131342544220388
2022-07-07,-0.10830287355929613
2022-07-08,0.3069801435631234
2022-07-09,0.5148008272517473
2022-07-10,0.0485528651624918
2022-07-11,0.07563027180731297
2022-07-12,0.0
2022-07-13,-0.2032547506969422
2022-07-14,-0.02494950219988823
2022-07-15,-0.4054110716097057
2022-07-16,0.0
2022-07-17,0.6069393297657371
2022-07-18,0.27115092892199755
2022-07-19,0.0
2022-07-20,0.0
2022-07-21,0.0
2022-07-22,0.6805624605040066
2022-07-23,-0.4620859855785966
2022-07-24,0.14057955611497164
2022-07-25,0.0
2022-07-26,0.0
2022-07-27,0.0
2022-07-28,1.0607180832885206
2022-07-29,0.0
2022-07-30,0.0
2022-07-31,0.0
2022-08-01,0.0
2022-08-02,0.0
2022-08-03,0.0
2022-08-04,0.4955402254126966
2022-08-05,0.39457299187779427
2022-08-06,0.0
2022-08-07,-8.03216304210946
2022-08-08,0.0
2022-08-09,0.0
2022-08-10,0.09097226336598396
2022-08-11,-1.5492873853072524
2022-08-12,-3.115636787377298
2022-08-13,-1.3537801373749971
2022-08-14,0.0
2022-08-15,-0.1195545056834817
2022-08-16,0.0
2022-08-17,-0.14650223567150533
2022-08-18,0.03864437900483608
2022-08-19,0.0
2022-08-20,-0.9922772264108062
2022-08-21,0.0
2022-08-22,0.15706834383308887
2022-08-23,0.47514833183959126
2022-08-24,0.0
2022-08-25,0.0
2022-08-26,-0.9406248989980668
2022-08-27,0.0
2022-08-28,0.0
2022-08-29,0.11544384155422449
2022-08-30,-0.18702154699712992
2022-08-31,0.0
2022-09-01,0.0
2022-09-02,-0.5066232578828931
2022-09-03,0.0
2022-09-04,-0.6259223405577359
2022-09-05,-0.07764235185459256
2022-09-06,-1.0937230088748038
2022-09-07,0.0
2022-09-08,-0.02930404106155038
2022-09-09,0.0
2022-09-10,1.5703710773959756
2022-09-11,0.045237643644213676
2022-09-12,-1.194253284484148
2022-09-13,-2.458340000361204
2022-09-14,-0.08423788379877806
2022-09-15,2.6656490871682763
2022-09-16,-0.1538111800327897
2022-09-17,0.28796709701418877
2022-09-18,0.53199507528916
2022-09-19,0.0
2022-09-20,0.0
2022-09-21,-0.4418843351304531
2022-09-22,-0.2294645756483078
2022-09-23,5.111122158821672
2022-09-24,0.0
2022-09-25,0.0
2022-09-26,3.7272954741492867
2022-09-27,0.0
