s1,s2,reason
BTCUSDT,FTTUSDT,low_correlation_0.44
BTCUSDC,FTTUSDT,low_correlation_0.45
BTCDAI,FTTUSDT,low_correlation_0.45
FTTUSDT,WBTCUSDT,low_correlation_0.44
GALAUSDT,THETAUSDT,low_correlation_0.45
BTCUSDC,SHIBUSDT,low_correlation_0.28
BTCUSDT,SHIBUSDT,low_correlation_0.28
SOLUSDC,WBTCUSDT,low_correlation_0.50
OMGUSDT,THETAUSDT,low_correlation_0.45
SOLUSDT,WBTCUSDT,low_correlation_0.50
DOTUSDT,THETAUSDT,low_correlation_0.50
SHIBUSDT,WBTCUSDT,low_correlation_0.27
BTCDAI,SHIBUSDT,low_correlation_0.28
GALAUSDT,SOLUSDT,low_correlation_0.47
GALAUSDT,SOLUSDC,low_correlation_0.47
NEARUSDT,THETAUSDT,low_correlation_0.45
GRTUSDT,THETAUSDT,low_correlation_0.42
ANKRUSDT,THETAUSDT,low_correlation_0.49
GRTUSDT,SHIBUSDT,low_correlation_0.30
FILUSDT,THETAUSDT,low_correlation_0.43
QTUMUSDT,THETAUSDT,low_correlation_0.43
SOLBTC,SOLUSDT,low_correlation_0.25
SOLBTC,SOLUSDC,low_correlation_0.25
GALAUSDT,SHIBUSDT,low_correlation_0.20
ICXUSDT,THETAUSDT,low_correlation_0.42
CELOUSDT,THETAUSDT,low_correlation_0.39
HBARUSDT,SHIBUSDT,low_correlation_0.33
KSMUSDT,THETAUSDT,low_correlation_0.46
DOTUSDT,SHIBUSDT,low_correlation_0.30
CELOUSDT,SHIBUSDT,low_correlation_0.40
DOTUSDC,SHIBUSDT,low_correlation_0.30
GALAUSDT,SANDUSDT,low_correlation_0.40
ENJUSDT,HNTUSDT,low_correlation_0.04
ANKRUSDT,SHIBUSDT,low_correlation_0.41
SANDUSDT,XLMUSDT,low_correlation_0.48
LRCUSDT,THETAUSDT,low_correlation_0.47
GALAUSDT,SANDUSDC,low_correlation_0.40
GALAUSDT,HNTUSDT,low_correlation_0.28
SHIBUSDT,XLMUSDT,low_correlation_0.29
HBARUSDT,THETAUSDT,low_correlation_0.45
THETAUSDT,ZENUSDT,low_correlation_0.38
ADAUSDT,SHIBUSDT,low_correlation_0.25
ICXUSDT,SHIBUSDT,low_correlation_0.43
SANDUSDC,XLMUSDT,low_correlation_0.48
ETHUSDC,THETAUSDT,low_correlation_0.35
SOLUSDC,XAVAUSDT,low_correlation_0.48
FILUSDT,SHIBUSDT,low_correlation_0.37
ETHUSDT,THETAUSDT,low_correlation_0.35
MINAUSDT,THETAUSDT,low_correlation_0.44
OMGUSDT,SHIBUSDT,low_correlation_0.34
SOLUSDT,XAVAUSDT,low_correlation_0.48
DOTUSDT,ENSUSDT,low_correlation_0.44
HNTUSDT,XLMUSDT,low_correlation_0.27
ETHDAI,THETAUSDT,low_correlation_0.35
SANDUSDT,XLMUSDC,low_correlation_0.48
DOTUSDC,ENSUSDT,low_correlation_0.45
GRTUSDT,HNTUSDT,low_correlation_0.18
HNTUSDT,XLMUSDC,low_correlation_0.27
STETHUSDT,THETAUSDT,low_correlation_0.35
SHIBUSDT,XLMUSDC,low_correlation_0.29
GALAUSDT,GMTUSDT,low_correlation_0.44
SANDUSDC,XLMUSDC,low_correlation_0.48
GLMRUSDT,SOLUSDT,low_correlation_0.38
GLMRUSDT,SOLUSDC,low_correlation_0.37
HNTUSDT,NEARUSDT,low_correlation_0.05
ADAUSDT,HNTUSDT,low_correlation_0.35
FLOWUSDT,THETAUSDT,low_correlation_0.38
SHIBUSDT,WAVESUSDT,low_correlation_0.39
CAKEUSDT,THETAUSDT,low_correlation_0.37
ANKRUSDT,HNTUSDT,low_correlation_0.19
RUNEUSDT,THETAUSDT,low_correlation_0.45
FTTUSDT,OMGUSDT,low_correlation_0.50
THETAUSDT,YFIUSDT,low_correlation_0.50
CELOUSDT,FTTUSDT,low_correlation_0.45
BNBUSDT,THETAUSDT,low_correlation_0.36
DOTUSDT,SANDUSDT,low_correlation_0.47
SLPUSDT,THETAUSDT,low_correlation_0.43
LRCUSDT,SHIBUSDT,low_correlation_0.47
AVAXUSDT,HNTUSDT,low_correlation_-0.00
HNTUSDT,OMGUSDT,low_correlation_0.17
EGLDUSDT,THETAUSDT,low_correlation_0.42
ALGOUSDT,SHIBUSDT,low_correlation_0.50
DOTUSDT,SANDUSDC,low_correlation_0.47
DOTUSDT,HNTUSDT,low_correlation_0.24
DOTUSDC,SANDUSDT,low_correlation_0.48
DOTUSDC,HNTUSDT,low_correlation_0.24
FILUSDT,HNTUSDT,low_correlation_0.13
DOTUSDC,SANDUSDC,low_correlation_0.48
HNTUSDT,SLPUSDT,low_correlation_0.05
MKRUSDT,WOOUSDT,low_correlation_0.33
DOTUSDC,FTTUSDT,low_correlation_0.42
DOTUSDT,FTTUSDT,low_correlation_0.42
AVAXUSDT,BTCUSDT,beta_out_of_range (0.00)
AVAXUSDT,BTCUSDC,beta_out_of_range (0.00)
AVAXUSDT,WBTCUSDT,beta_out_of_range (0.00)
DOTUSDT,GALAUSDT,beta_out_of_range (100.28)
DOTUSDC,GALAUSDT,beta_out_of_range (100.14)
AVAXUSDT,BTCDAI,beta_out_of_range (0.00)
SOLUSDT,XLMUSDT,beta_out_of_range (179.79)
SOLUSDC,XLMUSDT,beta_out_of_range (179.54)
NEARUSDT,ZILUSDT,beta_out_of_range (121.46)
GRTUSDT,MKRUSDT,beta_out_of_range (0.00)
AVAXUSDT,GALAUSDT,beta_out_of_range (213.77)
DOGEUSDT,SHIBUSDT,beta_out_of_range (4395.34)
ETHUSDC,SLPUSDT,beta_out_of_range (443873.47)
ETHUSDT,SLPUSDT,beta_out_of_range (444070.03)
ETHDAI,SLPUSDT,beta_out_of_range (443566.04)
SOLUSDC,XLMUSDC,beta_out_of_range (180.07)
SOLUSDT,XLMUSDC,beta_out_of_range (180.30)
BTCUSDC,CAKEUSDT,beta_out_of_range (7200.58)
BTCUSDC,SLPUSDT,beta_out_of_range (6229709.96)
BTCUSDT,CAKEUSDT,beta_out_of_range (7204.18)
BTCUSDT,SLPUSDT,beta_out_of_range (6231109.60)
BTCUSDC,SOLUSDT,beta_out_of_range (470.30)
BTCUSDT,SOLUSDT,beta_out_of_range (468.94)
BTCUSDC,XRPUSDT,beta_out_of_range (114668.78)
BTCUSDT,XRPUSDT,beta_out_of_range (114641.90)
BTCUSDC,SOLUSDC,beta_out_of_range (467.54)
BTCUSDC,XRPUSDC,beta_out_of_range (114269.23)
ETHUSDT,FTTUSDT,beta_out_of_range (106.53)
SLPUSDT,STETHUSDT,beta_out_of_range (0.00)
BTCUSDT,SOLUSDC,beta_out_of_range (466.18)
ETHUSDC,FTTUSDT,beta_out_of_range (106.77)
BTCUSDT,XRPUSDC,beta_out_of_range (114239.59)
BTCUSDT,XLMUSDT,beta_out_of_range (275473.22)
AXSUSDT,GALAUSDT,beta_out_of_range (235.02)
BTCUSDC,XLMUSDT,beta_out_of_range (275223.87)
SLPUSDT,WBTCUSDT,beta_out_of_range (0.00)
BTCUSDT,DOTUSDT,beta_out_of_range (3472.21)
ETHDAI,FTTUSDT,beta_out_of_range (106.73)
BTCUSDC,DOTUSDT,beta_out_of_range (3469.45)
CAKEUSDT,WBTCUSDT,beta_out_of_range (0.00)
BTCDAI,CAKEUSDT,beta_out_of_range (7199.53)
AVAXUSDT,XLMUSDT,beta_out_of_range (177.64)
BTCUSDC,NEARUSDT,beta_out_of_range (4719.89)
BTCUSDT,NEARUSDT,beta_out_of_range (4719.75)
ADAUSDT,BTCUSDC,beta_out_of_range (0.00)
ADAUSDT,BTCUSDT,beta_out_of_range (0.00)
WBTCUSDT,XRPUSDT,beta_out_of_range (114904.31)
WBTCUSDT,XRPUSDC,beta_out_of_range (114501.99)
BTCDAI,XRPUSDC,beta_out_of_range (114221.55)
ETHUSDC,XLMUSDT,beta_out_of_range (17438.00)
BTCDAI,SLPUSDT,beta_out_of_range (6227710.25)
ADAUSDT,ETHUSDT,beta_out_of_range (0.00)
ADAUSDT,ETHUSDC,beta_out_of_range (0.00)
BTCDAI,XRPUSDT,beta_out_of_range (114617.79)
DOTUSDT,WBTCUSDT,beta_out_of_range (0.00)
ETHUSDT,XLMUSDT,beta_out_of_range (17459.39)
BTCUSDT,DOTUSDC,beta_out_of_range (3476.20)
ETHUSDC,NEARUSDT,beta_out_of_range (350.19)
ETHUSDT,NEARUSDT,beta_out_of_range (350.25)
BTCUSDC,DOTUSDC,beta_out_of_range (3473.50)
ADAUSDT,ETHDAI,beta_out_of_range (0.00)
DOTUSDC,WBTCUSDT,beta_out_of_range (0.00)
WBTCUSDT,XLMUSDT,beta_out_of_range (276901.76)
ADAUSDT,WBTCUSDT,beta_out_of_range (0.00)
ETHDAI,XLMUSDT,beta_out_of_range (17432.07)
BTCDAI,SOLUSDC,beta_out_of_range (466.42)
BTCDAI,SOLUSDT,beta_out_of_range (469.15)
ETHDAI,NEARUSDT,beta_out_of_range (349.96)
ADAUSDT,BTCDAI,beta_out_of_range (0.00)
BTCUSDC,OMGUSDT,beta_out_of_range (12610.35)
BTCUSDC,XLMUSDC,beta_out_of_range (275662.99)
BTCUSDT,OMGUSDT,beta_out_of_range (12617.79)
BTCUSDT,XLMUSDC,beta_out_of_range (275908.04)
NEARUSDT,WBTCUSDT,beta_out_of_range (0.00)
BTCDAI,XLMUSDT,beta_out_of_range (275309.47)
ETHUSDC,OMGUSDT,beta_out_of_range (848.90)
ETHUSDT,OMGUSDT,beta_out_of_range (849.58)
ANKRUSDT,MKRUSDT,beta_out_of_range (0.00)
AVAXUSDT,GRTUSDT,beta_out_of_range (116.87)
BTCDAI,DOTUSDT,beta_out_of_range (3470.98)
ETHUSDC,XLMUSDC,beta_out_of_range (17487.32)
WAVESUSDT,ZILUSDT,beta_out_of_range (211.39)
ADAUSDT,MKRUSDT,beta_out_of_range (0.00)
MKRUSDT,XLMUSDT,beta_out_of_range (8930.99)
ETHUSDT,XLMUSDC,beta_out_of_range (17508.35)
DOTUSDT,SLPUSDT,beta_out_of_range (1612.79)
AVAXUSDT,XLMUSDC,beta_out_of_range (178.19)
ETHDAI,OMGUSDT,beta_out_of_range (848.34)
