s1,s2,reason
BTCUSDT,FTTUSDT,low_correlation_0.44
BTCUSDC,FTTUSDT,low_correlation_0.45
BTCDAI,FTTUSDT,low_correlation_0.45
FTTUSDT,WBTCUSDT,low_correlation_0.44
GALAUSDT,THETAUSDT,low_correlation_0.45
BTCUSDC,SHIBUSDT,low_correlation_0.28
BTCUSDT,SHIBUSDT,low_correlation_0.28
SOLUSDC,WBTCUSDT,low_correlation_0.50
OMGUSDT,THETAUSDT,low_correlation_0.45
SOLUSDT,WBTCUSDT,low_correlation_0.50
DOTUSDT,THETAUSDT,low_correlation_0.50
SHIBUSDT,WBTCUSDT,low_correlation_0.27
BTCDAI,SHIBUSDT,low_correlation_0.28
GALAUSDT,SOLUSDT,low_correlation_0.47
GALAUSDT,SOLUSDC,low_correlation_0.47
NEARUSDT,THETAUSDT,low_correlation_0.45
GRTUSDT,THETAUSDT,low_correlation_0.42
ANKRUSDT,THETAUSDT,low_correlation_0.49
GRTUSDT,SHIBUSDT,low_correlation_0.30
FILUSDT,THETAUSDT,low_correlation_0.43
QTUMUSDT,THETAUSDT,low_correlation_0.43
SOLBTC,SOLUSDT,low_correlation_0.25
SOLBTC,SOLUSDC,low_correlation_0.25
GALAUSDT,SHIBUSDT,low_correlation_0.20
ICXUSDT,THETAUSDT,low_correlation_0.42
CELOUSDT,THETAUSDT,low_correlation_0.39
HBARUSDT,SHIBUSDT,low_correlation_0.33
KSMUSDT,THETAUSDT,low_correlation_0.46
DOTUSDT,SHIBUSDT,low_correlation_0.30
CELOUSDT,SHIBUSDT,low_correlation_0.40
DOTUSDC,SHIBUSDT,low_correlation_0.30
GALAUSDT,SANDUSDT,low_correlation_0.40
ENJUSDT,HNTUSDT,low_correlation_0.04
ANKRUSDT,SHIBUSDT,low_correlation_0.41
SANDUSDT,XLMUSDT,low_correlation_0.48
LRCUSDT,THETAUSDT,low_correlation_0.47
GALAUSDT,SANDUSDC,low_correlation_0.40
GALAUSDT,HNTUSDT,low_correlation_0.28
SHIBUSDT,XLMUSDT,low_correlation_0.29
HBARUSDT,THETAUSDT,low_correlation_0.45
THETAUSDT,ZENUSDT,low_correlation_0.38
ADAUSDT,SHIBUSDT,low_correlation_0.25
ICXUSDT,SHIBUSDT,low_correlation_0.43
SANDUSDC,XLMUSDT,low_correlation_0.48
ETHUSDC,THETAUSDT,low_correlation_0.35
SOLUSDC,XAVAUSDT,low_correlation_0.48
FILUSDT,SHIBUSDT,low_correlation_0.37
ETHUSDT,THETAUSDT,low_correlation_0.35
MINAUSDT,THETAUSDT,low_correlation_0.44
OMGUSDT,SHIBUSDT,low_correlation_0.34
SOLUSDT,XAVAUSDT,low_correlation_0.48
DOTUSDT,ENSUSDT,low_correlation_0.44
HNTUSDT,XLMUSDT,low_correlation_0.27
ETHDAI,THETAUSDT,low_correlation_0.35
SANDUSDT,XLMUSDC,low_correlation_0.48
DOTUSDC,ENSUSDT,low_correlation_0.45
GRTUSDT,HNTUSDT,low_correlation_0.18
HNTUSDT,XLMUSDC,low_correlation_0.27
STETHUSDT,THETAUSDT,low_correlation_0.35
SHIBUSDT,XLMUSDC,low_correlation_0.29
GALAUSDT,GMTUSDT,low_correlation_0.44
SANDUSDC,XLMUSDC,low_correlation_0.48
GLMRUSDT,SOLUSDT,low_correlation_0.38
GLMRUSDT,SOLUSDC,low_correlation_0.37
HNTUSDT,NEARUSDT,low_correlation_0.05
ADAUSDT,HNTUSDT,low_correlation_0.35
FLOWUSDT,THETAUSDT,low_correlation_0.38
SHIBUSDT,WAVESUSDT,low_correlation_0.39
CAKEUSDT,THETAUSDT,low_correlation_0.37
ANKRUSDT,HNTUSDT,low_correlation_0.19
RUNEUSDT,THETAUSDT,low_correlation_0.45
FTTUSDT,OMGUSDT,low_correlation_0.50
THETAUSDT,YFIUSDT,low_correlation_0.50
CELOUSDT,FTTUSDT,low_correlation_0.45
BNBUSDT,THETAUSDT,low_correlation_0.36
DOTUSDT,SANDUSDT,low_correlation_0.47
SLPUSDT,THETAUSDT,low_correlation_0.43
LRCUSDT,SHIBUSDT,low_correlation_0.47
AVAXUSDT,HNTUSDT,low_correlation_-0.00
HNTUSDT,OMGUSDT,low_correlation_0.17
EGLDUSDT,THETAUSDT,low_correlation_0.42
ALGOUSDT,SHIBUSDT,low_correlation_0.50
DOTUSDT,SANDUSDC,low_correlation_0.47
DOTUSDT,HNTUSDT,low_correlation_0.24
DOTUSDC,SANDUSDT,low_correlation_0.48
DOTUSDC,HNTUSDT,low_correlation_0.24
FILUSDT,HNTUSDT,low_correlation_0.13
DOTUSDC,SANDUSDC,low_correlation_0.48
HNTUSDT,SLPUSDT,low_correlation_0.05
MKRUSDT,WOOUSDT,low_correlation_0.33
DOTUSDC,FTTUSDT,low_correlation_0.42
DOTUSDT,FTTUSDT,low_correlation_0.42
ANKRUSDT,BATUSDT,low_correlation_0.28
CAKEUSDT,SHIBUSDT,low_correlation_0.39
DOTUSDT,WOOUSDT,low_correlation_0.03
ONEUSDT,SOLUSDC,low_correlation_0.43
ONEUSDT,SOLUSDT,low_correlation_0.44
HNTUSDT,RUNEUSDT,low_correlation_-0.05
ENSUSDT,GRTUSDT,low_correlation_0.46
ENSUSDT,XLMUSDT,low_correlation_0.40
DOTUSDC,WOOUSDT,low_correlation_0.04
WOOUSDT,XLMUSDT,low_correlation_0.03
HNTUSDT,ICXUSDT,low_correlation_0.12
HNTUSDT,MANAUSDT,low_correlation_0.18
ALGOUSDT,HNTUSDT,low_correlation_0.21
FTTUSDT,XLMUSDT,low_correlation_0.37
ADAUSDT,GMTUSDT,low_correlation_0.44
GRTUSDT,WOOUSDT,low_correlation_-0.03
LUNAUSDT,LUNCUSDT,low_correlation_0.15
HNTUSDT,SHIBUSDT,low_correlation_-0.13
WOOUSDT,XLMUSDC,low_correlation_0.03
JASMYUSDT,SHIBUSDT,low_correlation_0.35
FLOWUSDT,SHIBUSDT,low_correlation_0.47
BATUSDT,LRCUSDT,low_correlation_0.32
FTTUSDT,ICXUSDT,low_correlation_0.42
ENSUSDT,GALAUSDT,low_correlation_0.31
BTCUSDC,THETAUSDT,low_correlation_0.29
BTCUSDT,THETAUSDT,low_correlation_0.29
BATUSDT,CELOUSDT,low_correlation_0.21
THETAUSDT,XTZUSDT,low_correlation_0.40
HNTUSDT,ZENUSDT,low_correlation_-0.04
CHZUSDT,THETAUSDT,low_correlation_0.41
LINKUSDT,SANDUSDT,low_correlation_0.49
HNTUSDT,SOLUSDC,low_correlation_0.11
HNTUSDT,SOLUSDT,low_correlation_0.11
THETAUSDT,WAVESUSDT,low_correlation_0.40
ADAUSDT,SANDUSDT,low_correlation_0.47
HNTUSDT,XRPUSDC,low_correlation_0.16
THETAUSDT,WBTCUSDT,low_correlation_0.28
HNTUSDT,XRPUSDT,low_correlation_0.17
HNTUSDT,ZILUSDT,low_correlation_0.18
SHIBUSDT,THETAUSDT,low_correlation_0.48
HNTUSDT,JASMYUSDT,low_correlation_0.12
ADAUSDT,FTTUSDT,low_correlation_0.46
C98USDT,SHIBUSDT,low_correlation_0.27
ICPUSDT,LINKUSDT,low_correlation_0.44
ENSUSDT,XLMUSDC,low_correlation_0.40
ADAUSDT,SANDUSDC,low_correlation_0.47
BTCDAI,THETAUSDT,low_correlation_0.29
HNTUSDT,MANAUSDC,low_correlation_0.18
GLMRUSDT,SHIBUSDT,low_correlation_0.14
LINKUSDT,SHIBUSDT,low_correlation_0.34
FTTUSDT,XLMUSDC,low_correlation_0.37
BTCUSDC,GMTUSDT,low_correlation_0.50
BATUSDT,NEARUSDT,low_correlation_0.26
LINKUSDT,SANDUSDC,low_correlation_0.49
ENSUSDT,WBTCUSDT,low_correlation_0.50
BTCUSDT,GMTUSDT,low_correlation_0.49
FTTUSDT,GRTUSDT,low_correlation_0.40
ENSUSDT,FILUSDT,low_correlation_0.46
HNTUSDT,LRCUSDT,low_correlation_0.13
ENSUSDT,THETAUSDT,low_correlation_0.43
APEUSDT,GALAUSDT,low_correlation_0.47
HNTUSDT,MKRUSDT,low_correlation_0.06
C98USDT,GMTUSDT,low_correlation_0.49
CAKEUSDT,WOOUSDT,low_correlation_-0.05
ONEUSDT,SHIBUSDT,low_correlation_0.13
FTTUSDT,HBARUSDT,low_correlation_0.43
GMTUSDT,WBTCUSDT,low_correlation_0.49
HBARUSDT,HNTUSDT,low_correlation_0.20
SANDUSDT,THETAUSDT,low_correlation_0.43
C98USDT,SANDUSDC,low_correlation_0.46
BTCDAI,GMTUSDT,low_correlation_0.49
C98USDT,SANDUSDT,low_correlation_0.46
FILUSDT,FTTUSDT,low_correlation_0.42
CELOUSDT,HNTUSDT,low_correlation_0.05
BATUSDT,GALAUSDT,low_correlation_0.09
AXSUSDT,HNTUSDT,low_correlation_0.13
WOOUSDT,XRPUSDC,low_correlation_0.25
GMTUSDT,XLMUSDT,low_correlation_0.50
HNTUSDT,MINAUSDT,low_correlation_0.04
WOOUSDT,XRPUSDT,low_correlation_0.24
SANDUSDC,THETAUSDT,low_correlation_0.44
FLOWUSDT,HNTUSDT,low_correlation_0.02
LINKUSDT,WOOUSDT,low_correlation_0.21
THETAUSDT,XEMUSDT,low_correlation_0.47
HNTUSDT,ONEUSDT,low_correlation_0.16
IMXUSDT,XLMUSDT,low_correlation_0.47
ANKRUSDT,FTTUSDT,low_correlation_0.46
ALGOUSDT,BATUSDT,low_correlation_0.30
COMPUSDT,THETAUSDT,low_correlation_0.37
AAVEUSDT,HNTUSDT,low_correlation_-0.17
HNTUSDT,LTCUSDC,low_correlation_0.11
BATUSDT,OMGUSDT,low_correlation_0.13
ALGOUSDT,WOOUSDT,low_correlation_0.18
HNTUSDT,LTCUSDT,low_correlation_0.11
BATUSDT,ICXUSDT,low_correlation_0.31
LUNAUSDT,LUNCUSDC,low_correlation_0.15
BATUSDT,ZILUSDT,low_correlation_0.49
C98USDT,ENSUSDT,low_correlation_0.38
GMTUSDT,THETAUSDT,low_correlation_0.48
BATUSDT,XLMUSDT,low_correlation_0.17
ICPUSDT,THETAUSDT,low_correlation_0.23
C98USDT,HNTUSDT,low_correlation_0.34
IMXUSDT,XLMUSDC,low_correlation_0.47
APEUSDT,THETAUSDT,low_correlation_0.41
