s1,s2,reason
AXSUSDT,GALAUSDT,low_correlation_0.41
AXSUSDT,RVNUSDT,low_correlation_0.44
ALGOUSDT,FLOKIUSDT,low_correlation_0.34
ADAUSDT,DOGEUSDC,low_correlation_0.49
ADAUSDC,DOGEUSDC,low_correlation_0.49
ADAUSDT,DOGEUSDT,low_correlation_0.49
ADAUSDC,DOGEUSDT,low_correlation_0.49
ADAUSDT,FLOKIUSDT,low_correlation_0.36
ADAUSDC,FLOKIUSDT,low_correlation_0.36
ADAEUR,DOGEEUR,low_correlation_0.45
ADAUSDT,DOGEEUR,low_correlation_0.43
DOTUSDC,GALAUSDT,low_correlation_0.50
ADAUSDC,DOGEEUR,low_correlation_0.43
FLOKIUSDT,FLOWUSDT,low_correlation_0.33
DOTUSDT,GALAUSDT,low_correlation_0.50
FLOKIUSDT,ONEUSDT,low_correlation_0.27
ADAEUR,FLOKIUSDT,low_correlation_0.37
ADAUSDT,XRPUSDC,low_correlation_0.46
ADAUSDC,XRPUSDC,low_correlation_0.46
ADAUSDT,XRPUSDT,low_correlation_0.46
ADAUSDC,XRPUSDT,low_correlation_0.46
ETCUSDT,XECUSDT,low_correlation_0.20
FLOKIUSDT,SANDUSDT,low_correlation_0.36
ADAEUR,XRPEUR,low_correlation_0.41
ADAEUR,XRPUSDC,low_correlation_0.46
AXSUSDT,FLOKIUSDT,low_correlation_0.08
ADAEUR,XRPUSDT,low_correlation_0.46
ADAUSDC,BTCUSDC,low_correlation_0.42
GMXUSDT,STETHUSDT,low_correlation_0.41
ADAUSDT,BTCUSDC,low_correlation_0.42
ETHEUR,GMXUSDT,low_correlation_0.39
ADAUSDT,YFIUSDT,low_correlation_0.34
ETHUSDC,GMXUSDT,low_correlation_0.42
ETHUSDT,GMXUSDT,low_correlation_0.41
ADAUSDC,BTCUSDT,low_correlation_0.42
ADAUSDT,BTCUSDT,low_correlation_0.42
ADAUSDC,YFIUSDT,low_correlation_0.34
ADAEUR,BTCUSDC,low_correlation_0.42
ADAUSDT,XRPEUR,low_correlation_0.40
ADAUSDC,XRPEUR,low_correlation_0.40
GALAUSDT,SLPUSDT,low_correlation_0.50
ADAEUR,BTCUSDT,low_correlation_0.42
STETHUSDT,YFIUSDT,low_correlation_-0.09
ETHUSDT,YFIUSDT,low_correlation_-0.09
ETHUSDC,YFIUSDT,low_correlation_-0.08
ADAEUR,YFIUSDT,low_correlation_0.35
ETHUSDC,SNXUSDT,low_correlation_-0.04
ETHUSDT,SNXUSDT,low_correlation_-0.05
RVNUSDT,XTZUSDT,low_correlation_0.12
AXSUSDT,YFIUSDT,low_correlation_0.10
SNXUSDT,STETHUSDT,low_correlation_-0.05
ETHEUR,YFIUSDT,low_correlation_-0.09
SUSHIUSDT,UNIUSDT,low_correlation_0.50
ADAEUR,WBTCUSDT,low_correlation_0.42
FLOKIUSDT,SANDUSDC,low_correlation_0.37
FLOKIUSDT,XECUSDT,low_correlation_0.34
ADAUSDC,WBTCUSDT,low_correlation_0.42
ADAUSDT,WBTCUSDT,low_correlation_0.42
ETHEUR,SNXUSDT,low_correlation_-0.08
FLOKIUSDT,MASKUSDT,low_correlation_0.26
ETCUSDT,YFIUSDT,low_correlation_-0.27
ALGOUSDT,DOGEUSDC,low_correlation_0.44
DOGEUSDT,FLOWUSDT,low_correlation_0.38
ALGOUSDT,DOGEUSDT,low_correlation_0.44
DOGEUSDC,FLOWUSDT,low_correlation_0.38
ADAEUR,BTCEUR,low_correlation_0.33
MASKUSDT,YFIUSDT,low_correlation_0.36
DOGEUSDC,ONEUSDT,low_correlation_0.31
DOGEUSDT,ONEUSDT,low_correlation_0.31
ALGOUSDT,YFIUSDT,low_correlation_0.36
ETHUSDT,RVNUSDT,low_correlation_0.01
ETHUSDC,RVNUSDT,low_correlation_0.01
ALGOUSDT,DOGEEUR,low_correlation_0.36
ETHUSDT,PEPEUSDT,low_correlation_0.02
XECUSDT,YFIUSDT,low_correlation_0.38
ETHUSDC,PEPEUSDT,low_correlation_0.02
