pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss
LUNCUSDT-QTUMUSDT,03/01-05/30,0.1854889,0.0,2,0.09274445,1,3,2881,0.358669,-0.086297445
LUNCUSDT-UNIUSDT,03/01-05/30,4.112958,0.0,3,1.370986,1,5,2881,5.0684566,-0.6388135
LUNCUSDT-PERPUSDT,03/01-05/30,1.2336994,0.0,5,0.2467399,4,6,2881,2.9709373,-3.4279568
AVAXUSDT-FTTUSDT,03/01-05/30,-5.0066686,0.0,10,-0.50066686,4,16,2881,0.24848373,-2.5516856
AVAXUSDT-XTZUSDT,03/01-05/30,0.0,0.0,0,0.0,0,0,2881,0.0,0.0
AVAXUSDT-LINKUSDT,03/01-05/30,-2.372825,0.0,13,-0.182525,3,23,2881,0.15934166,-0.58301705
FTTUSDT-LINKUSDT,03/01-05/30,-3.2211175,0.0,15,-0.21474117,4,26,2881,0.7001949,-1.4172046
DOTUSDC-GRTUSDT,03/01-05/30,0.2719402,0.0,8,0.033992525,5,11,2881,0.612774,-1.1435262
CAKEUSDT-MXUSDT,03/01-05/30,0.11398639,0.0,6,0.01899773,4,8,2881,0.2211447,-0.13352703
LDOUSDT-RUNEUSDT,03/01-05/30,-1.2073048,0.0,10,-0.12073048,5,15,2881,0.2122848,-1.3220149
LOOKSUSDT-LRCUSDT,03/01-05/30,0.0,0.0,0,0.0,0,0,2881,0.0,0.0
AGLDUSDT-DOTUSDC,03/01-05/30,0.08244109,0.0,3,0.027480364,1,5,2881,1.1245075,-0.5714613
AGLDUSDT-DOTUSDT,03/01-05/30,0.70372444,0.0,4,0.17593111,2,6,2881,1.0807534,-0.22441944
GODSUSDT-QNTUSDT,03/01-05/30,-0.9358871,0.0,11,-0.085080646,3,19,2881,1.1411114,-1.2450513
AVAUSDT-ENJUSDT,03/01-05/30,1.3116908,0.0,10,0.13116908,5,15,2881,0.86652195,-0.21900505
ICXUSDT-XLMUSDT,03/01-05/30,3.4467473,0.0,8,0.4308434,6,10,2881,1.6128795,-0.5655543
ICXUSDT-XLMUSDC,03/01-05/30,1.1296918,0.0,7,0.16138455,4,10,2881,1.7492726,-0.9178165
JSTUSDT-NEARUSDT,03/01-05/30,0.1310705,0.0,12,0.010922541,8,16,2881,0.5325619,-0.57749593
DOGEUSDT-MXUSDT,03/01-05/30,1.261352,0.0,10,0.1261352,5,15,2881,0.6754356,-0.16292903
IZIUSDT-LRCUSDT,03/01-05/30,9.2334385,0.0,11,0.8394035,9,13,2881,4.5238805,-0.5714094
RVNUSDT-XEMUSDT,03/01-05/30,1.4506493,0.0,5,0.29012984,4,6,2881,1.235329,-0.1185881
BTCUSDC-WBTCUSDT,03/31-06/29,0.3904145,0.0,2,0.19520725,1,3,2881,0.66123694,-0.16897516
BTCUSDC-BTCUSDT,03/31-06/29,-0.44388792,0.0,8,-0.05548599,5,11,2881,0.19672398,-0.19032526
AAVEUSDT-IMXUSDT,03/31-06/29,-3.6964436,0.0,9,-0.41071594,2,16,2881,0.7884331,-2.7720182
ETHUSDC-ETHUSDT,03/31-06/29,0.34420666,0.0,4,0.086051665,2,6,2881,0.61824447,-0.11132267
COMPUSDT-KSMUSDT,03/31-06/29,-0.7351742,0.0,5,-0.14703484,2,8,2881,1.2817286,-0.9434537
QNTUSDT-UNIUSDT,03/31-06/29,1.4108881,0.0,9,0.15676534,6,12,2881,2.4042218,-1.5225194
AVAXUSDT-SCRTUSDT,03/31-06/29,-0.75344914,0.0,8,-0.09418114,3,13,2881,0.29264754,-0.40648988
GMXUSDT-LINKUSDT,03/31-06/29,0.554963,0.0,6,0.09249383,3,9,2881,1.0981042,-0.45402145
APEUSDT-GMTUSDT,03/31-06/29,1.3707683,0.0,12,0.11423069,7,17,2881,2.030245,-1.1346465
FILUSDT-SCRTUSDT,03/31-06/29,0.5323416,0.0,8,0.0665427,6,10,2881,0.4702989,-0.37710947
ATOMUSDT-ENJUSDT,03/31-06/29,-3.0558853,0.0,10,-0.30558854,3,17,2881,0.9557972,-1.9131383
DOTUSDC-EGLDUSDT,03/31-06/29,0.57475895,0.0,4,0.14368974,3,5,2881,0.3972687,-0.11542105
ICPUSDT-WOOUSDT,03/31-06/29,1.147011,0.0,9,0.12744567,4,14,2881,1.2495759,-1.0452304
DOTUSDC-SANDUSDC,03/31-06/29,-1.1630157,0.0,7,-0.1661451,3,11,2881,0.15193005,-0.7994475
DOTUSDT-SANDUSDC,03/31-06/29,-1.070965,0.0,7,-0.152995,3,11,2881,0.16939025,-0.77814746
FILUSDT-LINKUSDT,03/31-06/29,1.2010981,0.0,8,0.15013726,5,11,2881,1.0787456,-0.25539201
