s1,s2,reason
ETHUSDC,MKRUSDT,low_correlation_0.50
ETHUSDT,MKRUSDT,low_correlation_0.50
ETHDAI,MKRUSDT,low_correlation_0.50
MKRUSDT,STETHUSDT,low_correlation_0.49
ETHUSDC,SANDUSDT,low_correlation_0.50
DOGEUSDT,SANDUSDT,low_correlation_0.39
ETHUSDT,SANDUSDT,low_correlation_0.50
ETHDAI,SANDUSDT,low_correlation_0.50
DOGEUSDT,SANDUSDC,low_correlation_0.39
DOGEUSDC,SANDUSDT,low_correlation_0.36
DOGEUSDC,SANDUSDC,low_correlation_0.36
HNTUSDT,MANAUSDT,low_correlation_0.34
GRTUSDT,HNTUSDT,low_correlation_-0.03
SANDUSDT,SHIBUSDT,low_correlation_0.21
DOGEUSDC,GMTUSDT,low_correlation_0.49
CELOUSDT,HNTUSDT,low_correlation_0.23
HNTUSDT,WAVESUSDT,low_correlation_0.43
MANAUSDT,SHIBUSDT,low_correlation_0.46
HNTUSDT,MANAUSDC,low_correlation_0.34
SANDUSDC,SHIBUSDT,low_correlation_0.21
ALGOUSDT,JASMYUSDT,low_correlation_0.47
SHIBUSDT,WAVESUSDT,low_correlation_0.38
BATUSDT,ETHUSDC,low_correlation_0.34
HNTUSDT,IMXUSDT,low_correlation_0.41
BATUSDT,ETHUSDT,low_correlation_0.34
AVAXUSDT,HNTUSDT,low_correlation_-0.11
ENJUSDT,HNTUSDT,low_correlation_0.04
BATUSDT,ETHDAI,low_correlation_0.34
ENJUSDT,JASMYUSDT,low_correlation_0.49
BATUSDT,STETHUSDT,low_correlation_0.34
HNTUSDT,SOLUSDT,low_correlation_0.33
DOGEUSDT,IMXUSDT,low_correlation_0.48
ALGOUSDT,HNTUSDT,low_correlation_0.40
ETHUSDC,GMTUSDT,low_correlation_0.36
MANAUSDC,SHIBUSDT,low_correlation_0.46
HNTUSDT,SOLUSDC,low_correlation_0.33
BATUSDT,HNTUSDT,low_correlation_0.49
HNTUSDT,ZILUSDT,low_correlation_0.28
JASMYUSDT,MINAUSDT,low_correlation_0.48
ETHUSDT,GMTUSDT,low_correlation_0.36
BELUSDT,ENJUSDT,low_correlation_0.47
BNBUSDT,SANDUSDT,low_correlation_0.41
GALAUSDT,HNTUSDT,low_correlation_0.06
BELUSDT,SOLUSDC,low_correlation_0.49
BATUSDT,XEMUSDT,low_correlation_0.49
JASMYUSDT,RUNEUSDT,low_correlation_0.40
DOTUSDT,HNTUSDT,low_correlation_-0.00
BELUSDT,SOLUSDT,low_correlation_0.49
GMTUSDT,SHIBUSDT,low_correlation_0.24
DOTUSDC,HNTUSDT,low_correlation_-0.01
HNTUSDT,OMGUSDT,low_correlation_0.08
BATUSDT,SHIBUSDT,low_correlation_0.22
JASMYUSDT,SOLUSDT,low_correlation_0.47
HNTUSDT,WOOUSDT,low_correlation_0.28
HNTUSDT,JASMYUSDT,low_correlation_0.25
DOGEUSDT,MKRUSDT,low_correlation_0.38
JASMYUSDT,SOLUSDC,low_correlation_0.47
ETHDAI,GMTUSDT,low_correlation_0.36
1INCHUSDT,JASMYUSDT,low_correlation_0.47
AVAXUSDT,JASMYUSDT,low_correlation_0.36
ALGOUSDT,SHIBUSDT,low_correlation_0.43
GRTUSDT,JASMYUSDT,low_correlation_0.49
HBARUSDT,HNTUSDT,low_correlation_0.10
C98USDT,ETHUSDC,low_correlation_0.34
BELUSDT,RUNEUSDT,low_correlation_0.43
1INCHUSDT,GMTUSDT,low_correlation_0.44
JASMYUSDT,SANDUSDT,low_correlation_0.42
GMTUSDT,STETHUSDT,low_correlation_0.36
JASMYUSDT,ONEUSDT,low_correlation_0.46
C98USDT,ETHUSDT,low_correlation_0.34
AAVEUSDT,BATUSDT,low_correlation_0.40
HNTUSDT,SUSHIUSDT,low_correlation_0.22
BNBUSDT,SANDUSDC,low_correlation_0.42
RUNEUSDT,SHIBUSDT,low_correlation_0.45
AVAXUSDT,BELUSDT,low_correlation_0.29
C98USDT,ETHDAI,low_correlation_0.34
1INCHUSDT,HNTUSDT,low_correlation_-0.02
IMXUSDT,SHIBUSDT,low_correlation_0.26
C98USDT,DOGEUSDT,low_correlation_0.40
DOGEUSDC,IMXUSDT,low_correlation_0.47
ATOMUSDT,SANDUSDT,low_correlation_0.33
HNTUSDT,LRCUSDT,low_correlation_0.31
FILUSDT,SANDUSDT,low_correlation_0.48
C98USDT,RVNUSDT,low_correlation_0.49
ATOMUSDT,IMXUSDT,low_correlation_0.39
HNTUSDT,MINAUSDT,low_correlation_-0.01
SHIBUSDT,XECUSDT,low_correlation_0.47
JASMYUSDT,SHIBUSDT,low_correlation_0.37
APEUSDT,DOGEUSDT,low_correlation_0.45
BTCUSDT,JASMYUSDT,low_correlation_0.43
C98USDT,STETHUSDT,low_correlation_0.33
BTCUSDC,JASMYUSDT,low_correlation_0.43
DOGEUSDC,MKRUSDT,low_correlation_0.36
JASMYUSDT,SANDUSDC,low_correlation_0.42
BELUSDT,XEMUSDT,low_correlation_0.32
BELUSDT,DOGEUSDT,low_correlation_0.43
HNTUSDT,LINKUSDT,low_correlation_-0.10
JASMYUSDT,WBTCUSDT,low_correlation_0.43
BELUSDT,WBTCUSDT,low_correlation_0.40
