s1,s2,reason
BCHUSDT,XECUSDT,low_correlation_0.46
FITFIUSDT,KCALUSDT,low_correlation_0.18
BCHUSDT,LTCUSDC,low_correlation_0.47
BCHUSDT,LTCUSDT,low_correlation_0.47
DOTBTC,DOTUSDT,low_correlation_0.45
DOTBTC,DOTUSDC,low_correlation_0.45
BCHUSDT,DOTUSDT,low_correlation_0.09
BCHUSDT,DOTUSDC,low_correlation_0.09
AVAXUSDC,LTCEUR,low_correlation_0.44
AVAXUSDT,LTCEUR,low_correlation_0.44
HFTUSDT,ONEUSDT,low_correlation_0.16
NFTUSDT,TRXUSDC,low_correlation_0.21
NFTUSDT,TRXUSDT,low_correlation_0.21
BCHUSDT,COMPUSDT,low_correlation_0.23
HFTUSDC,ONEUSDT,low_correlation_0.16
HFTUSDT,RVNUSDT,low_correlation_0.22
BCHUSDT,WAVESUSDT,low_correlation_0.16
BCHUSDT,BTCUSDT,low_correlation_0.27
HFTUSDC,RVNUSDT,low_correlation_0.22
BCHUSDT,SANDUSDC,low_correlation_0.14
BCHUSDT,BTCUSDC,low_correlation_0.27
BCHUSDT,SANDUSDT,low_correlation_0.14
BCHUSDT,RDNTUSDT,low_correlation_0.38
ARBUSDC,BCHUSDT,low_correlation_0.27
ARBUSDT,BCHUSDT,low_correlation_0.27
BCHUSDT,WBTCUSDT,low_correlation_0.27
BCHUSDT,BTCDAI,low_correlation_0.27
HFTUSDT,MANAUSDT,low_correlation_0.19
HFTUSDC,MANAUSDT,low_correlation_0.19
ENSUSDT,HFTUSDT,low_correlation_0.42
HFTUSDC,MANAUSDC,low_correlation_0.19
SOLBTC,SOLEUR,beta_out_of_range (0.00)
SOLBTC,SOLUSDT,beta_out_of_range (0.00)
SOLBTC,SOLUSDC,beta_out_of_range (0.00)
LUNAUSDT,LUNCUSDT,beta_out_of_range (8842.04)
DOGEUSDT,SHIBUSDT,beta_out_of_range (11351.44)
DOGEUSDC,SHIBUSDT,beta_out_of_range (11363.97)
DOGEUSDT,SHIBUSDC,beta_out_of_range (11340.27)
DOGEUSDC,SHIBUSDC,beta_out_of_range (11352.91)
DOGEEUR,SHIBUSDT,beta_out_of_range (9654.06)
DOGEEUR,SHIBUSDC,beta_out_of_range (9644.42)
LUNAUSDT,LUNCUSDC,beta_out_of_range (8789.30)
ARBUSDT,ETHUSDT,beta_out_of_range (0.00)
ARBUSDT,ETHUSDC,beta_out_of_range (0.00)
ARBUSDC,ETHUSDT,beta_out_of_range (0.00)
ARBUSDC,ETHUSDC,beta_out_of_range (0.00)
ARBUSDT,STETHUSDT,beta_out_of_range (0.00)
ARBUSDC,STETHUSDT,beta_out_of_range (0.00)
ARBUSDT,ETHEUR,beta_out_of_range (0.00)
ARBUSDC,ETHEUR,beta_out_of_range (0.00)
AXSUSDT,RVNUSDT,beta_out_of_range (468.43)
ARBUSDT,ETHDAI,beta_out_of_range (0.00)
ARBUSDC,ETHDAI,beta_out_of_range (0.00)
ENSUSDT,JASMYUSDT,beta_out_of_range (761.07)
SANDUSDC,SHIBUSDT,beta_out_of_range (79779.79)
SANDUSDC,SHIBUSDC,beta_out_of_range (79709.96)
SANDUSDT,SHIBUSDT,beta_out_of_range (79725.39)
SANDUSDT,SHIBUSDC,beta_out_of_range (79654.54)
ARBUSDC,JASMYUSDT,beta_out_of_range (118.49)
ARBUSDT,JASMYUSDT,beta_out_of_range (118.35)
RVNUSDT,SHIBUSDT,beta_out_of_range (2548.02)
RVNUSDT,SHIBUSDC,beta_out_of_range (2545.98)
ENSUSDT,RVNUSDT,beta_out_of_range (366.77)
DOTUSDT,ONEUSDT,beta_out_of_range (294.10)
DOTUSDC,ONEUSDT,beta_out_of_range (294.36)
