pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss
BTCDAI-BTCUSDT,08/02-10/31,0.30882287,0.0,19,0.016253835,10,28,2881,2.1526341,-2.0969214
ETHUSDC-ETHUSDT,08/02-10/31,-0.08908099,0.0,2,-0.044540495,1,3,2881,0.0107286135,-0.043064326
ARUSDT-FILUSDT,08/02-10/31,-12.885809,0.0,8,-1.6107261,4,12,2881,2.2187114,-15.585955
AXSUSDT-SANDUSDT,08/02-10/31,-6.082136,0.0,7,-0.8688766,3,11,2881,1.5847266,-3.9008496
AXSUSDT-SANDUSDC,08/02-10/31,-3.9889708,0.0,6,-0.6648285,3,9,2881,1.8333162,-4.56622
FLOWUSDT-MASKUSDT,08/02-10/31,2.0504467,0.0,15,0.13669644,7,23,2881,1.5646567,-1.6992956
AVAXUSDC-AVAXUSDT,08/02-10/31,1.2771854,0.0,9,0.1419095,5,13,2881,1.2833608,-0.09091586
ICPUSDC-ICPUSDT,08/02-10/31,0.42354488,0.0,18,0.02353027,10,26,2881,1.4806502,-0.9536076
BATUSDT-QTUMUSDT,08/02-10/31,-1.8824931,0.0,12,-0.15687443,7,17,2881,0.8312989,-1.8971384
GMTUSDT-SANDUSDT,08/02-10/31,-1.5642741,0.0,7,-0.22346772,4,10,2881,1.3039638,-1.584408
ARBUSDC-ARBUSDT,08/02-10/31,0.18071938,0.0,2,0.09035969,1,3,2881,0.31284943,-0.11003024
ONEUSDT-XRPUSDC,08/02-10/31,-1.910174,0.0,9,-0.21224156,4,14,2881,0.7863039,-1.8112365
ONEUSDT-XRPUSDT,08/02-10/31,-1.8521588,0.0,9,-0.20579542,5,13,2881,0.7903319,-1.8080275
LUNCUSDC-LUNCUSDT,08/02-10/31,1.5651426,0.0,10,0.15651426,4,16,2881,1.5546621,-0.43864137
OMGUSDT-QTUMUSDT,09/01-11/30,-4.1209455,0.0,3,-1.3736485,1,5,2881,1.0664983,-2.7439513
FLOWUSDT-QTUMUSDT,09/01-11/30,-0.07816244,0.0,1,-0.07816244,0,2,2881,0.0,-0.070663795
FLOWUSDT-ROSEUSDT,09/01-11/30,0.94912994,0.0,2,0.47456497,1,3,2881,1.4277279,-0.4625864
BATUSDT-ICXUSDT,09/01-11/30,-10.457397,0.0,9,-1.1619331,3,15,2881,0.36505917,-4.8501334
HFTUSDC-HFTUSDT,09/01-11/30,-0.10648291,0.0,12,-0.008873575,5,19,2881,0.19850063,-0.31634572
ONEUSDT-WAVESUSDT,09/01-11/30,-4.314202,0.0,14,-0.30815727,6,22,2881,1.7813486,-1.8970023
TRXUSDC-TRXUSDT,09/01-11/30,-0.62113494,0.0,5,-0.12422699,2,8,2881,0.33877668,-0.5057143
BTCDAI-BTCUSDT,10/01-12/30,2.221447,0.0,12,0.18512058,8,16,2881,3.4523396,-1.4498324
BTCDAI-BTCUSDC,10/01-12/30,2.543261,0.0,12,0.21193843,8,16,2881,3.4586332,-1.3836747
ETHDAI-STETHUSDT,10/01-12/30,-2.3087454,0.0,18,-0.12826364,5,31,2881,1.9121134,-2.8543923
GMXUSDT-WAVESUSDT,10/01-12/30,2.9900627,0.0,7,0.42715183,5,9,2881,2.8069491,-0.3045381
KSMUSDT-OMGUSDT,10/01-12/30,2.9106538,0.0,11,0.2646049,6,16,2881,4.9353576,-2.587658
ETCUSDT-WAVESUSDT,10/01-12/30,-1.0717355,0.0,15,-0.071449034,8,22,2881,5.4963307,-3.9284415
ETCUSDT-SANDUSDC,10/01-12/30,-10.17301,0.0,18,-0.5651672,6,30,2881,5.3255715,-4.658997
ETCUSDT-SANDUSDT,10/01-12/30,-9.438122,0.0,18,-0.5243401,8,28,2881,5.4013166,-4.864796
FILUSDC-WAVESUSDT,10/01-12/30,3.959217,0.0,15,0.2639478,8,22,2881,4.988369,-3.4577196
FILUSDT-WAVESUSDT,10/01-12/30,4.6413283,0.0,16,0.29008302,11,21,2881,4.494198,-3.4363487
FILUSDT-SANDUSDT,10/01-12/30,0.7164848,0.0,10,0.07164848,6,14,2881,1.1466985,-1.4988776
HOOKUSDT-RVNUSDT,10/01-12/30,-0.1167894,0.0,8,-0.014598675,4,12,2881,0.78116715,-1.075916
SOLUSDC-SOLUSDT,10/01-12/30,-0.30652967,0.0,7,-0.043789953,2,12,2881,0.023045046,-0.107538
APTUSDC-APTUSDT,10/01-12/30,-0.056334615,0.0,3,-0.018778205,2,4,2881,0.22484465,-0.34441465
LINKUSDC-LINKUSDT,10/01-12/30,0.6489001,0.0,7,0.09270001,5,9,2881,0.35578176,-0.030348733
SANDUSDC-WAVESUSDT,10/01-12/30,4.693515,0.0,12,0.39112625,9,15,2881,1.9097663,-1.7401503
SANDUSDT-WAVESUSDT,10/01-12/30,3.8020282,0.0,11,0.34563893,7,15,2881,1.7959156,-2.0031514
ICPUSDC-ICPUSDT,10/01-12/30,0.2998968,0.0,10,0.02998968,6,14,2881,0.96173626,-0.9031808
LDOUSDC-LDOUSDT,10/01-12/30,-0.9709306,0.0,6,-0.16182177,1,11,2881,0.03821978,-0.38458863
CHZUSDC-KSMUSDT,10/01-12/30,0.27775908,0.0,3,0.09258636,2,4,2881,0.57810515,-0.26563516
CHZUSDT-KSMUSDT,10/01-12/30,8.825303,0.0,6,1.4708838,5,7,2881,5.0652823,-0.62498695
APEUSDC-APEUSDT,10/01-12/30,0.25285545,0.0,3,0.08428515,2,4,2881,0.27282953,-0.03943555
CHZUSDC-ONEUSDT,10/01-12/30,1.7434644,0.0,4,0.4358661,2,6,2881,2.8957691,-1.4657601
CHZUSDT-ONEUSDT,10/01-12/30,1.6329186,0.0,5,0.3265837,1,9,2881,4.8025784,-1.530708
OPUSDC-OPUSDT,10/01-12/30,-1.5896093,0.0,3,-0.52986974,1,5,2881,0.18675186,-0.8088469
WLDUSDC-WLDUSDT,10/01-12/30,0.003486041,0.0,3,0.0011620136,1,5,2881,0.037698112,-0.018092701
ACHUSDT-SANDUSDT,10/01-12/30,-0.08387929,0.0,2,-0.041939646,1,3,2881,0.90737045,-0.9807871
SUIUSDC-SUIUSDT,10/01-12/30,-0.051814865,0.0,2,-0.025907433,1,3,2881,0.075315736,-0.05210848
MANAUSDC-MANAUSDT,10/01-12/30,-0.07728973,0.0,2,-0.038644865,1,3,2881,0.14108375,-0.17718674
ADAUSDC-ADAUSDT,10/01-12/30,-2.6523845,0.0,6,-0.44206408,0,12,2881,0.0,-0.4642745
CHZUSDC-CHZUSDT,10/01-12/30,6.1863194,0.0,8,0.7732899,4,12,2881,4.0316353,-0.69446796
LUNCUSDC-LUNCUSDT,10/01-12/30,4.190972,0.0,27,0.15522118,12,42,2881,4.0015383,-0.7674923
SHIBUSDC-SHIBUSDT,10/01-12/30,-0.8078714,0.0,4,-0.20196785,0,8,2881,0.0,-0.388319
