pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss
ETHUSDC-STETHUSDT,08/02-10/31,-1.712768,0.0,12,-0.14273067,6,18,2881,0.37960616,-0.53419113
ETHUSDT-STETHUSDT,08/02-10/31,-1.6280142,0.0,9,-0.18089047,4,14,2881,0.33286986,-0.60920995
ETCUSDT-XRPUSDT,08/02-10/31,2.091674,0.0,15,0.13944493,9,21,2881,1.4837713,-0.3971157
ETCUSDT-XRPUSDC,08/02-10/31,2.343405,0.0,14,0.16738607,8,20,2881,1.6786542,-0.41728774
AXSUSDT-UNIUSDT,08/02-10/31,-5.6274424,0.0,9,-0.6252714,3,15,2881,1.3487965,-4.9736223
ARUSDT-FILUSDT,08/02-10/31,-12.885809,0.0,8,-1.6107261,4,12,2881,2.2187114,-15.585955
NEARUSDT-XTZUSDT,08/02-10/31,-0.40126824,0.0,8,-0.05015853,3,13,2881,3.0034535,-2.3574338
OMGUSDT-RDNTUSDT,08/02-10/31,-0.8538768,0.0,11,-0.07762516,6,16,2881,0.9961184,-1.9208806
APTUSDC-APTUSDT,08/02-10/31,0.0,0.0,0,0.0,0,0,2881,0.0,0.0
FLOWUSDT-MASKUSDT,08/02-10/31,2.0504467,0.0,15,0.13669644,7,23,2881,1.5646567,-1.6992956
AVAXUSDC-AVAXUSDT,08/02-10/31,1.2771854,0.0,9,0.1419095,5,13,2881,1.2833608,-0.09091586
ICPUSDC-ICPUSDT,08/02-10/31,0.42354488,0.0,18,0.02353027,10,26,2881,1.4806502,-0.9536076
GMTUSDT-SANDUSDT,08/02-10/31,-1.5642741,0.0,7,-0.22346772,4,10,2881,1.3039638,-1.584408
ARBUSDC-ARBUSDT,08/02-10/31,0.18071938,0.0,2,0.09035969,1,3,2881,0.31284943,-0.11003024
WAXPUSDT-ZILUSDT,08/02-10/31,0.17827967,0.0,2,0.089139834,2,2,2881,0.106035195,-0.01836001
ROSEUSDT-XEMUSDT,08/02-10/31,2.3079708,0.0,6,0.3846618,5,7,2881,1.232593,-0.06832739
ONEUSDT-XRPUSDC,08/02-10/31,-1.910174,0.0,9,-0.21224156,4,14,2881,0.7863039,-1.8112365
ONEUSDT-XRPUSDT,08/02-10/31,-1.8521588,0.0,9,-0.20579542,5,13,2881,0.7903319,-1.8080275
FILUSDC-ROSEUSDT,09/01-11/30,0.0,0.0,0,0.0,0,0,2881,0.0,0.0
UMAUSDT-WAVESUSDT,09/01-11/30,0.4576648,0.0,6,0.076277465,6,6,2881,0.18002132,-0.011247885
FLOWUSDT-ROSEUSDT,09/01-11/30,0.94912994,0.0,2,0.47456497,1,3,2881,1.4277279,-0.4625864
MANAUSDC-PEOPLEUSDT,09/01-11/30,-0.75369763,0.0,13,-0.05797674,8,18,2881,2.2816863,-1.8158609
MANAUSDT-PEOPLEUSDT,09/01-11/30,-1.9602787,0.0,12,-0.16335656,7,17,2881,2.6808348,-1.5501885
HFTUSDC-HFTUSDT,09/01-11/30,-0.10648291,0.0,12,-0.008873575,5,19,2881,0.19850063,-0.31634572
ONEUSDT-WAVESUSDT,09/01-11/30,-4.314202,0.0,14,-0.30815727,6,22,2881,1.7813486,-1.8970023
TRXUSDC-TRXUSDT,09/01-11/30,-0.62113494,0.0,5,-0.12422699,2,8,2881,0.33877668,-0.5057143
BTCDAI-BTCUSDT,10/01-12/30,2.221447,0.0,12,0.18512058,8,16,2881,3.4523396,-1.4498324
BTCDAI-BTCUSDC,10/01-12/30,2.543261,0.0,12,0.21193843,8,16,2881,3.4586332,-1.3836747
ETHDAI-STETHUSDT,10/01-12/30,-2.3087454,0.0,18,-0.12826364,5,31,2881,1.9121134,-2.8543923
ETCUSDT-SANDUSDC,10/01-12/30,-10.17301,0.0,18,-0.5651672,6,30,2881,5.3255715,-4.658997
ETCUSDT-SANDUSDT,10/01-12/30,-9.438122,0.0,18,-0.5243401,8,28,2881,5.4013166,-4.864796
HOOKUSDT-RVNUSDT,10/01-12/30,-0.1167894,0.0,8,-0.014598675,4,12,2881,0.78116715,-1.075916
SOLUSDC-SOLUSDT,10/01-12/30,-0.30652967,0.0,7,-0.043789953,2,12,2881,0.023045046,-0.107538
APTUSDC-APTUSDT,10/01-12/30,-0.056334615,0.0,3,-0.018778205,2,4,2881,0.22484465,-0.34441465
LINKUSDC-LINKUSDT,10/01-12/30,0.6489001,0.0,7,0.09270001,5,9,2881,0.35578176,-0.030348733
IDUSDT-LRCUSDT,10/01-12/30,0.42827067,0.0,1,0.42827067,1,1,2881,0.4334341,-0.005163445
SANDUSDC-WAVESUSDT,10/01-12/30,4.693515,0.0,12,0.39112625,9,15,2881,1.9097663,-1.7401503
SANDUSDT-WAVESUSDT,10/01-12/30,3.8020282,0.0,11,0.34563893,7,15,2881,1.7959156,-2.0031514
1INCHUSDT-WAVESUSDT,10/01-12/30,0.72979,0.0,12,0.06081583,7,17,2881,1.8635612,-1.8591805
ENJUSDT-MANAUSDC,10/01-12/30,-2.9069414,0.0,10,-0.29069415,6,14,2881,2.1135128,-4.850297
ENJUSDT-MANAUSDT,10/01-12/30,-2.9574065,0.0,11,-0.26885512,6,16,2881,2.0946116,-4.767393
FILUSDC-FILUSDT,10/01-12/30,2.358058,0.0,5,0.4716116,4,6,2881,1.1558055,-0.42667675
C98USDT-QTUMUSDT,10/01-12/30,5.3464775,0.0,8,0.6683097,5,11,2881,4.4062295,-1.5223166
ICPUSDC-ICPUSDT,10/01-12/30,0.2998968,0.0,10,0.02998968,6,14,2881,0.96173626,-0.9031808
LDOUSDC-LDOUSDT,10/01-12/30,-0.9709306,0.0,6,-0.16182177,1,11,2881,0.03821978,-0.38458863
DOGEUSDC-FLOWUSDT,10/01-12/30,-1.4186624,0.0,1,-1.4186624,0,2,2881,0.0,-1.3909339
DOGEUSDT-FLOWUSDT,10/01-12/30,-1.3418609,0.0,1,-1.3418609,0,2,2881,0.0,-1.313247
APEUSDC-APEUSDT,10/01-12/30,0.25285545,0.0,3,0.08428515,2,4,2881,0.27282953,-0.03943555
OPUSDC-OPUSDT,10/01-12/30,-1.5896093,0.0,3,-0.52986974,1,5,2881,0.18675186,-0.8088469
WLDUSDC-WLDUSDT,10/01-12/30,0.003486041,0.0,3,0.0011620136,1,5,2881,0.037698112,-0.018092701
MANAUSDC-MANAUSDT,10/01-12/30,-0.07728973,0.0,2,-0.038644865,1,3,2881,0.14108375,-0.17718674
GMTUSDC-GMTUSDT,10/01-12/30,0.11894423,0.0,6,0.019824037,4,8,2881,0.18057565,-0.18691845
SANDUSDC-SANDUSDT,10/01-12/30,-0.33334607,0.0,5,-0.06666921,2,8,2881,0.431619,-0.26554585
ADAUSDC-ADAUSDT,10/01-12/30,-2.6523845,0.0,6,-0.44206408,0,12,2881,0.0,-0.4642745
MNTUSDC-MNTUSDT,10/01-12/30,-0.84291005,0.0,4,-0.21072751,1,7,2881,0.24111673,-0.5469637
