pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss
BTCDAI-BTCUSDT,08/02-10/31,-4.752978,0.0,25,-0.19011912,12,38,2881,2.1526341,-3.7544608
ETHUSDC-STETHUSDT,08/02-10/31,0.5039971,0.0,15,0.033599805,7,23,2881,2.6191204,-0.53419113
ETHUSDT-STETHUSDT,08/02-10/31,-2.3046684,0.0,16,-0.14404178,7,25,2881,0.33286986,-0.60920995
ETHUSDC-ETHUSDT,08/02-10/31,-0.08908099,0.0,2,-0.044540495,1,3,2881,0.0107286135,-0.043064326
KSMUSDT-SANDUSDT,08/02-10/31,-0.3649186,0.0,10,-0.03649186,7,13,2881,0.85454607,-1.0597472
KSMUSDT-SANDUSDC,08/02-10/31,0.43823242,0.0,9,0.04869249,6,12,2881,0.72542757,-0.82393056
KSMUSDT-STETHUSDT,08/02-10/31,2.2344837,0.0,12,0.18620698,8,16,2881,0.9571701,-0.29320335
KSMUSDT-RDNTUSDT,08/02-10/31,0.96682644,0.0,16,0.060426652,11,21,2881,0.7838059,-1.8178024
KSMUSDT-UNIUSDT,08/02-10/31,0.47775826,0.0,8,0.059719782,5,11,2881,0.90941596,-1.3753948
ETCUSDT-XRPUSDT,08/02-10/31,1.6361573,0.0,17,0.096244544,9,25,2881,1.4837713,-0.916613
ETCUSDT-XRPUSDC,08/02-10/31,1.8154871,0.0,17,0.10679336,9,25,2881,1.6786542,-0.91497445
AVAXUSDC-CAKEUSDT,08/02-10/31,5.172641,0.0,17,0.30427298,11,23,2881,3.9950674,-3.9227624
AVAXUSDT-CAKEUSDT,08/02-10/31,7.170743,0.0,15,0.47804955,11,19,2881,4.5664315,-4.0017905
AXSUSDT-UNIUSDT,08/02-10/31,-13.161529,0.0,14,-0.9401092,4,24,2881,1.3487965,-4.9736223
ARUSDT-FILUSDT,08/02-10/31,-8.883998,0.0,14,-0.63457125,9,19,2881,2.2187114,-15.585955
AXSUSDT-GMTUSDT,08/02-10/31,8.382761,0.0,19,0.44119796,11,27,2881,6.9465127,-5.062824
AXSUSDT-GMTUSDC,08/02-10/31,7.8561068,0.0,19,0.4134793,11,27,2881,9.825605,-4.777216
AXSUSDT-SANDUSDT,08/02-10/31,-4.104581,0.0,9,-0.45606455,4,14,2881,2.1405694,-3.9008496
AXSUSDT-SANDUSDC,08/02-10/31,-6.61878,0.0,7,-0.94554,3,11,2881,1.8333162,-4.56622
MASKUSDT-XRPUSDC,08/02-10/31,-1.5137897,0.0,20,-0.07568948,12,28,2881,1.7145989,-2.2020018
MASKUSDT-XRPUSDT,08/02-10/31,0.96995485,0.0,20,0.048497744,12,28,2881,2.7999036,-2.1068268
ARKMUSDT-DOTUSDT,08/02-10/31,0.42020386,0.0,17,0.024717875,9,25,2881,0.47849467,-0.41373882
ARKMUSDT-SANDUSDT,08/02-10/31,2.0735397,0.0,17,0.121972926,13,21,2881,0.9931059,-0.39206
ARKMUSDT-SANDUSDC,08/02-10/31,1.3286785,0.0,16,0.083042406,10,22,2881,1.190483,-0.9172591
ARKMUSDT-CHZUSDT,08/02-10/31,-2.7300048,0.0,20,-0.13650024,10,30,2881,1.007699,-4.1452174
ARKMUSDT-CHZUSDC,08/02-10/31,-5.417116,0.0,23,-0.23552679,11,35,2881,1.0127125,-4.8198104
ARKMUSDT-ICPUSDT,08/02-10/31,1.9565798,0.0,15,0.13043866,10,20,2881,0.89399904,-0.3281241
ARKMUSDT-ICPUSDC,08/02-10/31,2.5441656,0.0,13,0.19570504,11,15,2881,0.80281395,-0.47525212
NEARUSDT-XTZUSDT,08/02-10/31,-9.102562,0.0,18,-0.5056979,7,29,2881,1.3946133,-3.6980813
