s1,s2,reason
FITFIUSDT,KCALUSDT,low_correlation_0.18
BCHUSDT,DOTUSDT,low_correlation_0.09
BCHUSDT,DOTUSDC,low_correlation_0.09
BCHUSDT,BTCUSDT,low_correlation_0.27
ARBUSDC,BCHUSDT,low_correlation_0.27
ARBUSDT,BCHUSDT,low_correlation_0.27
BCHUSDT,BTCUSDC,low_correlation_0.27
BCHUSDT,COMPUSDT,low_correlation_0.23
HFTUSDT,MANAUSDT,low_correlation_0.19
BCHUSDT,SANDUSDC,low_correlation_0.14
HFTUSDT,SANDUSDT,low_correlation_0.22
BCHUSDT,SANDUSDT,low_correlation_0.14
HFTUSDT,MANAUSDC,low_correlation_0.19
HFTUSDT,SANDUSDC,low_correlation_0.22
BCHUSDT,RDNTUSDT,low_correlation_0.38
HFTUSDT,RVNUSDT,low_correlation_0.22
BCHUSDT,WBTCUSDT,low_correlation_0.27
HFTUSDT,ONEUSDT,low_correlation_0.16
HFTUSDC,RVNUSDT,low_correlation_0.22
BCHUSDT,ETCUSDT,low_correlation_0.15
BCHUSDT,WAVESUSDT,low_correlation_0.16
HFTUSDC,SANDUSDT,low_correlation_0.22
HFTUSDC,SANDUSDC,low_correlation_0.22
HFTUSDC,MANAUSDT,low_correlation_0.19
HFTUSDC,MANAUSDC,low_correlation_0.19
BCHUSDT,BTCEUR,low_correlation_0.33
HFTUSDC,ONEUSDT,low_correlation_0.16
BCHUSDT,GMXUSDT,low_correlation_0.21
BCHUSDT,BTCDAI,low_correlation_0.27
BCHUSDT,STETHUSDT,low_correlation_0.15
BCHUSDT,ETHUSDT,low_correlation_0.15
1INCHUSDT,HFTUSDT,low_correlation_0.20
BCHUSDT,ETHUSDC,low_correlation_0.15
BCHUSDT,XTZUSDT,low_correlation_0.15
CELOUSDT,HFTUSDT,low_correlation_0.12
XRPBTC,XRPEUR,low_correlation_0.05
CELOUSDT,HFTUSDC,low_correlation_0.12
BCHUSDT,CRVUSDT,low_correlation_0.11
BCHUSDT,ENSUSDT,low_correlation_0.18
BCHUSDT,MANAUSDC,low_correlation_0.19
ARBUSDT,HFTUSDT,low_correlation_0.28
APTUSDT,BCHUSDT,low_correlation_0.35
