pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss
BTCDAI-BTCUSDT,08/02-10/31,-6.0169196,0.0,29,-0.20747998,12,46,2881,2.0141742,-3.5946755
ETHUSDC-STETHUSDT,08/02-10/31,1.787673,0.0,18,0.09931517,9,27,2881,2.081211,-0.42443812
ETHUSDT-STETHUSDT,08/02-10/31,0.68272746,0.0,20,0.034136374,10,30,2881,2.148126,-0.75032085
ETHUSDC-ETHUSDT,08/02-10/31,-0.8690439,0.0,10,-0.08690439,2,18,2881,0.07265022,-0.17922226
KSMUSDT-SANDUSDT,08/02-10/31,1.0831857,0.0,13,0.08332197,9,17,2881,0.8397257,-0.69612753
KSMUSDT-SANDUSDC,08/02-10/31,1.2379143,0.0,15,0.08252762,9,21,2881,0.7456844,-0.8449529
KSMUSDT-STETHUSDT,08/02-10/31,2.1109836,0.0,16,0.13193648,11,21,2881,0.9007111,-1.3135444
KSMUSDT-RDNTUSDT,08/02-10/31,3.6733215,0.0,21,0.17492007,16,26,2881,0.79225063,-1.280675
KSMUSDT-UNIUSDT,08/02-10/31,1.293125,0.0,17,0.07606618,10,24,2881,0.917304,-1.4225764
ETCUSDT-XRPUSDT,08/02-10/31,2.718803,0.0,22,0.12358195,13,31,2881,1.2433151,-0.3228848
ETCUSDT-XRPUSDC,08/02-10/31,2.48535,0.0,21,0.11834999,12,30,2881,1.4133765,-0.32287368
AVAXUSDC-CAKEUSDT,08/02-10/31,10.033287,0.0,29,0.34597543,17,41,2881,3.8719618,-2.3164015
AVAXUSDT-CAKEUSDT,08/02-10/31,13.464,0.0,30,0.4488,22,38,2881,4.2391047,-1.7995355
AXSUSDT-UNIUSDT,08/02-10/31,-10.344943,0.0,25,-0.41379774,10,40,2881,3.0945508,-4.9834733
ARUSDT-FILUSDT,08/02-10/31,-4.280015,0.0,24,-0.17833395,15,33,2881,5.7569036,-14.655135
AXSUSDT-GMTUSDT,08/02-10/31,14.778826,0.0,26,0.56841636,17,35,2881,6.542673,-1.9378502
AXSUSDT-GMTUSDC,08/02-10/31,11.445451,0.0,26,0.44020966,15,37,2881,9.204901,-2.5755508
AXSUSDT-SANDUSDT,08/02-10/31,-9.326508,0.0,18,-0.5181393,7,29,2881,1.5784252,-4.0191426
AXSUSDT-SANDUSDC,08/02-10/31,-8.755549,0.0,18,-0.4864194,8,28,2881,1.8044966,-4.6308966
MASKUSDT-XRPUSDC,08/02-10/31,-2.6568098,0.0,34,-0.078141466,17,51,2881,3.3673108,-2.563828
MASKUSDT-XRPUSDT,08/02-10/31,0.92049384,0.0,34,0.027073348,19,49,2881,3.0158927,-2.4182677
ARKMUSDT-DOTUSDT,08/02-10/31,3.0538955,0.0,21,0.14542359,14,28,2881,1.0060892,-0.5152092
ARKMUSDT-GMTUSDT,08/02-10/31,1.2258782,0.0,33,0.037147824,17,49,2881,0.7493251,-0.5831511
ARKMUSDT-SANDUSDT,08/02-10/31,1.9746019,0.0,27,0.0731334,18,36,2881,0.772042,-0.38726068
ARKMUSDT-SANDUSDC,08/02-10/31,1.9944466,0.0,28,0.07123024,17,39,2881,0.8025252,-0.33247298
ARKMUSDT-CHZUSDT,08/02-10/31,2.8057659,0.0,35,0.08016474,22,48,2881,2.4299936,-2.7482429
ARKMUSDT-CHZUSDC,08/02-10/31,-4.5958796,0.0,38,-0.1209442,19,57,2881,1.2258607,-4.297704
ARKMUSDT-ICPUSDT,08/02-10/31,3.3721008,0.0,26,0.12969619,17,35,2881,1.1744992,-0.3371101
ARKMUSDT-ICPUSDC,08/02-10/31,3.7449467,0.0,30,0.12483156,18,42,2881,1.4735425,-0.44959214
NEARUSDT-XTZUSDT,08/02-10/31,-11.000681,0.0,33,-0.33335397,10,56,2881,0.68787456,-2.3801453
THETAUSDT-XRPUSDC,08/02-10/31,11.20573,0.0,20,0.5602865,14,26,2881,5.1510544,-1.8854954
THETAUSDT-XRPUSDT,08/02-10/31,7.70879,0.0,20,0.3854395,11,29,2881,4.614479,-1.8590283
HFTUSDT-SUIUSDC,08/02-10/31,-8.780107,0.0,23,-0.38174376,14,32,2881,1.1642486,-5.4218297
HFTUSDT-SUIUSDT,08/02-10/31,-0.41611966,0.0,25,-0.016644787,14,36,2881,4.580342,-2.3718174
HFTUSDC-SUIUSDC,08/02-10/31,0.8397319,0.0,29,0.028956272,12,46,2881,2.9675217,-1.1758535
HFTUSDT-ICPUSDC,08/02-10/31,4.4622774,0.0,22,0.20283079,15,29,2881,4.6197042,-1.8952789
HFTUSDT-ICPUSDT,08/02-10/31,3.8910537,0.0,23,0.16917625,13,33,2881,4.511742,-2.0268853
OMGUSDT-RDNTUSDT,08/02-10/31,-0.8654524,0.0,28,-0.030909015,13,43,2881,0.9103514,-1.5415578
APTUSDC-APTUSDT,08/02-10/31,-1.2915926,0.0,10,-0.12915926,4,16,2881,0.93115515,-0.884667
