pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss
BTCDAI-BTCUSDT,06/02-08/31,2.3773856,0.0,25,0.095095426,11,39,2881,2.9639256,-1.8669112
BTCDAI-BTCUSDC,06/02-08/31,1.7280374,0.0,21,0.08228749,10,32,2881,2.8894541,-1.8435425
ETHDAI-GMXUSDT,06/02-08/31,-3.0710478,0.0,26,-0.11811722,15,37,2881,2.2757452,-5.7954907
ETHUSDC-GMXUSDT,06/02-08/31,-2.7075393,0.0,37,-0.07317674,17,57,2881,0.9489912,-1.2902551
ETHUSDT-GMXUSDT,06/02-08/31,-0.5412327,0.0,39,-0.013877762,19,59,2881,0.95993376,-1.323216
ETHDAI-STETHUSDT,06/02-08/31,-9.1488495,0.0,26,-0.35187882,12,40,2881,0.86322474,-2.3751628
ETHDAI-ETHUSDT,06/02-08/31,-11.898597,0.0,30,-0.3966199,12,48,2881,0.7196716,-2.6694548
ETHDAI-ETHUSDC,06/02-08/31,-12.746088,0.0,28,-0.45521742,10,46,2881,0.7527404,-2.7983267
ETCUSDT-WAVESUSDT,06/02-08/31,1.16807,0.0,6,0.19467832,5,7,2881,0.57151145,-0.73855513
AVAXUSDC-XTZUSDT,06/02-08/31,3.3489695,0.0,26,0.12880652,14,38,2881,1.6318194,-0.27843973
AVAXUSDT-XTZUSDT,06/02-08/31,3.1112652,0.0,27,0.11523204,15,39,2881,1.0429149,-0.16847454
APTUSDC-OMGUSDT,06/02-08/31,0.57633543,0.0,21,0.027444545,10,32,2881,5.9653206,-3.701852
APTUSDT-OMGUSDT,06/02-08/31,13.48716,0.0,22,0.6130527,15,29,2881,8.129839,-3.2446387
ATOMUSDT-OMGUSDT,06/02-08/31,1.8954797,0.0,4,0.47386992,3,5,2881,1.4090564,-0.42477956
ICPUSDC-OMGUSDT,06/02-08/31,-1.389475,0.0,5,-0.277895,2,8,2881,1.4860568,-1.1696872
ICPUSDT-OMGUSDT,06/02-08/31,1.9374347,0.0,6,0.32290578,5,7,2881,1.2680825,-0.43085146
LDOUSDC-MANAUSDT,06/02-08/31,-0.36326325,0.0,18,-0.02018129,9,27,2881,0.8101307,-1.4356652
LDOUSDC-RUNEUSDT,06/02-08/31,0.55548865,0.0,28,0.01983888,10,46,2881,1.2172832,-0.79647815
LTCUSDC-LTCUSDT,06/02-08/31,-1.7684097,0.0,15,-0.11789398,4,26,2881,0.15568118,-0.6145692
NEARUSDT-ROSEUSDT,06/02-08/31,-0.5087175,0.0,16,-0.031794842,9,23,2881,1.0448097,-1.8209434
CAKEUSDT-SUSHIUSDT,06/02-08/31,-0.68994355,0.0,38,-0.01815641,19,57,2881,0.37033883,-0.529542
CELOUSDT-ENSUSDT,06/02-08/31,-0.1934413,0.0,10,-0.01934413,5,15,2881,1.0336483,-0.8500396
KDAUSDT-SSVUSDT,06/02-08/31,12.766162,0.0,30,0.42553872,15,45,2881,16.569118,-4.7098107
CELOUSDT-ICXUSDT,06/02-08/31,1.039304,0.0,10,0.1039304,6,14,2881,1.0096278,-0.73126614
1INCHUSDT-GRTUSDT,06/02-08/31,3.3567464,0.0,12,0.27972886,9,15,2881,2.506628,-1.3012277
1INCHUSDT-IMXUSDT,06/02-08/31,-1.5815423,0.0,18,-0.08786346,9,27,2881,1.5951418,-1.1039802
1INCHUSDT-CELOUSDT,06/02-08/31,-2.8122954,0.0,27,-0.10415909,12,42,2881,1.9016185,-4.100254
KDAUSDT-MAGICUSDT,06/02-08/31,17.027882,0.0,5,3.4055762,4,6,2881,16.5349,-1.1123334
1INCHUSDT-ZILUSDT,06/02-08/31,5.2663774,0.0,13,0.40510595,8,18,2881,2.574589,-1.2492406
1INCHUSDT-XTZUSDT,06/02-08/31,1.2346522,0.0,14,0.08818944,8,20,2881,1.6610363,-0.78249305
BLURUSDT-IDUSDT,06/02-08/31,-16.37987,0.0,37,-0.44269916,17,57,2881,2.761102,-8.341526
ENJUSDT-FILUSDT,06/02-08/31,-0.1155715,0.0,20,-0.005778575,12,28,2881,0.7627823,-1.4812949
ENJUSDT-FILUSDC,06/02-08/31,0.70909965,0.0,17,0.041711744,11,23,2881,0.7544997,-1.1947967
APTUSDC-APTUSDT,06/02-08/31,0.10989714,0.0,20,0.0054948567,10,30,2881,1.5075837,-1.355451
BATUSDT-FILUSDT,06/02-08/31,0.91574955,0.0,5,0.1831499,4,6,2881,0.4825174,-0.046538126
BATUSDT-FILUSDC,06/02-08/31,1.9883256,0.0,4,0.4970814,4,4,2881,1.1109083,-0.046409585
LRCUSDT-SSVUSDT,06/02-08/31,0.8446111,0.0,9,0.09384568,6,12,2881,0.6039618,-0.63075763
ENJUSDT-ZILUSDT,06/02-08/31,0.53660434,0.0,14,0.038328882,8,20,2881,0.7830717,-0.40655354
ROSEUSDT-XEMUSDT,06/02-08/31,-2.8385456,0.0,4,-0.7096364,2,6,2881,0.33536977,-2.871373
HFTUSDC-HFTUSDT,06/02-08/31,12.536652,0.0,13,0.9643578,9,17,2881,3.8402584,-0.15382391
GALAUSDT-ICPUSDC,06/02-08/31,-8.379608,0.0,33,-0.25392753,17,49,2881,1.769902,-4.447003
SUIUSDC-SUIUSDT,06/02-08/31,0.19329369,0.0,20,0.0096646845,9,31,2881,1.42187,-0.49620447
ANKRUSDT-WAXPUSDT,06/02-08/31,2.6210155,0.0,14,0.1872154,7,21,2881,1.7078822,-1.4371747
SANDUSDC-SANDUSDT,06/02-08/31,0.6601214,0.0,19,0.03474323,7,31,2881,1.301811,-0.333406
XRPUSDC-XRPUSDT,06/02-08/31,-1.5354722,0.0,16,-0.09596701,4,28,2881,0.35925204,-0.2557267
CHZUSDC-CHZUSDT,06/02-08/31,-0.77967405,0.0,3,-0.25989136,1,5,2881,0.15162867,-0.48352545
LUNCUSDC-LUNCUSDT,06/02-08/31,-1.2959701,0.0,19,-0.068208955,7,31,2881,0.6618971,-0.3784428
BTCUSDC-WBTCUSDT,07/02-09/30,-2.712862,0.0,27,-0.10047637,10,44,2881,0.89342993,-1.249457
AAVEUSDT-ATOMUSDT,07/02-09/30,1.7031264,0.0,25,0.068125054,13,37,2881,1.3074692,-0.8366016
AAVEUSDT-YFIUSDT,07/02-09/30,0.8833164,0.0,28,0.031547014,17,39,2881,1.2697928,-0.88743067
KSMUSDT-STXUSDT,07/02-09/30,5.385736,0.0,32,0.16830425,14,50,2881,1.6658542,-0.7920586
AVAXUSDC-MANAUSDT,07/02-09/30,-0.019477978,0.0,3,-0.0064926594,2,4,2881,0.17038168,-0.30243486
AVAXUSDT-MANAUSDT,07/02-09/30,0.050869144,0.0,3,0.016956381,2,4,2881,0.15957732,-0.1791368
AVAXUSDC-MANAUSDC,07/02-09/30,0.31284115,0.0,4,0.07821029,3,5,2881,0.26720583,-0.2735229
AVAXUSDT-MANAUSDC,07/02-09/30,0.21032342,0.0,4,0.052580856,3,5,2881,0.25728685,-0.15048312
APTUSDC-AVAXUSDC,07/02-09/30,1.2482407,0.0,3,0.41608024,2,4,2881,0.84083015,-0.0488095
APTUSDT-AVAXUSDC,07/02-09/30,2.6751842,0.0,4,0.66879606,4,4,2881,1.2939802,-0.03494063
APTUSDT-AVAXUSDT,07/02-09/30,2.8136435,0.0,3,0.9378812,3,3,2881,1.4814123,-0.03538228
APTUSDC-ARUSDT,07/02-09/30,3.625061,0.0,5,0.7250122,5,5,2881,1.3199701,-0.010519132
APTUSDT-ARUSDT,07/02-09/30,3.3562934,0.0,4,0.83907336,4,4,2881,1.7826773,-0.009944991
APTUSDC-FILUSDT,07/02-09/30,2.7298448,0.0,4,0.6824612,4,4,2881,1.2887264,-0.015959911
APTUSDC-FILUSDC,07/02-09/30,3.0451527,0.0,4,0.76128817,4,4,2881,1.365301,-0.015789006
APTUSDT-FILUSDT,07/02-09/30,3.5804794,0.0,5,0.71609586,5,5,2881,1.7479612,-0.017668884
APTUSDT-FILUSDC,07/02-09/30,4.2255507,0.0,5,0.8451101,5,5,2881,1.8225607,-0.01569579
APTUSDT-GMTUSDC,07/02-09/30,2.3770075,0.0,4,0.5942519,4,4,2881,1.4718578,-0.015086245
APTUSDT-GMTUSDT,07/02-09/30,3.531763,0.0,4,0.88294077,4,4,2881,1.6421225,-0.015283386
APTUSDC-GMTUSDC,07/02-09/30,2.0568414,0.0,2,1.0284207,2,2,2881,1.2191268,-0.013200568
APTUSDC-GMTUSDT,07/02-09/30,2.324926,0.0,2,1.162463,2,2,2881,1.4421244,-0.0155944945
APTUSDC-MANAUSDC,07/02-09/30,-1.5608288,0.0,22,-0.07094676,11,33,2881,1.4704868,-3.117031
