s1,s2,reason
ONEUSDT,SPELLUSDT,low_correlation_0.22
NFTUSDT,TRXUSDC,low_correlation_-0.15
NFTUSDT,TRXUSDT,low_correlation_-0.15
GRTUSDT,SPELLUSDT,low_correlation_0.17
DYDXUSDT,MASKUSDT,low_correlation_0.40
SPELLUSDT,WAVESUSDT,low_correlation_0.31
GMTUSDT,SPELLUSDT,low_correlation_0.09
GMTUSDC,SPELLUSDT,low_correlation_0.09
SPELLUSDT,ZILUSDT,low_correlation_0.30
C98USDT,GALAUSDT,low_correlation_0.32
OMGUSDT,SPELLUSDT,low_correlation_0.09
MANAUSDC,SPELLUSDT,low_correlation_0.20
MANAUSDT,SPELLUSDT,low_correlation_0.20
ENJUSDT,SPELLUSDT,low_correlation_0.02
ARUSDT,SPELLUSDT,low_correlation_0.22
ANKRUSDT,SPELLUSDT,low_correlation_0.23
ETHDAI,TRXUSDC,low_correlation_-0.46
FILUSDC,SPELLUSDT,low_correlation_0.21
FILUSDT,SPELLUSDT,low_correlation_0.21
ETHUSDC,TRXUSDC,low_correlation_-0.46
SPELLUSDT,XECUSDT,low_correlation_0.36
ETHUSDT,TRXUSDC,low_correlation_-0.46
ETHUSDT,TRXUSDT,low_correlation_-0.45
ETHDAI,TRXUSDT,low_correlation_-0.46
FLOWUSDT,SPELLUSDT,low_correlation_0.23
ETHUSDC,TRXUSDT,low_correlation_-0.45
STETHUSDT,TRXUSDC,low_correlation_-0.46
ANKRUSDT,TRXUSDC,low_correlation_-0.34
AXSUSDT,SPELLUSDT,low_correlation_0.11
SOLBTC,SOLUSDT,beta_out_of_range (0.00)
SOLBTC,SOLUSDC,beta_out_of_range (0.00)
ETHUSDC,SANDUSDC,beta_out_of_range (2175.23)
ETHUSDC,SANDUSDT,beta_out_of_range (2168.92)
ETHUSDT,SANDUSDT,beta_out_of_range (2182.68)
ETHUSDT,SANDUSDC,beta_out_of_range (2188.99)
SANDUSDC,STETHUSDT,beta_out_of_range (0.00)
SANDUSDT,STETHUSDT,beta_out_of_range (0.00)
XLMBTC,XLMUSDT,beta_out_of_range (0.00)
XLMBTC,XLMUSDC,beta_out_of_range (0.00)
ETHDAI,SANDUSDC,beta_out_of_range (2175.87)
ETHDAI,SANDUSDT,beta_out_of_range (2169.53)
ADAUSDC,ETHUSDC,beta_out_of_range (0.00)
ADAUSDC,ETHUSDT,beta_out_of_range (0.00)
ADAUSDT,ETHUSDT,beta_out_of_range (0.00)
ADAUSDT,ETHUSDC,beta_out_of_range (0.00)
LUNAUSDT,LUNCUSDT,beta_out_of_range (8370.02)
ADAUSDC,STETHUSDT,beta_out_of_range (0.00)
ADAUSDT,STETHUSDT,beta_out_of_range (0.00)
LUNAUSDT,LUNCUSDC,beta_out_of_range (8397.97)
LTCBTC,LTCUSDT,beta_out_of_range (0.00)
ALGOBTC,ALGOUSDT,beta_out_of_range (0.00)
LTCBTC,LTCUSDC,beta_out_of_range (0.00)
ADAUSDC,ETHDAI,beta_out_of_range (0.00)
ADAUSDT,ETHDAI,beta_out_of_range (0.00)
QTUMUSDT,ZILUSDT,beta_out_of_range (115.47)
BTCUSDC,ETCUSDT,beta_out_of_range (1241.85)
