s1,s2,reason
FITFIUSDT,KCALUSDT,low_correlation_0.18
BCHUSDT,DOTUSDT,low_correlation_0.09
BCHUSDT,DOTUSDC,low_correlation_0.09
HFTUSDT,ONEUSDT,low_correlation_0.16
NFTUSDT,TRXUSDC,low_correlation_0.21
NFTUSDT,TRXUSDT,low_correlation_0.21
BCHUSDT,COMPUSDT,low_correlation_0.23
HFTUSDC,ONEUSDT,low_correlation_0.16
HFTUSDT,RVNUSDT,low_correlation_0.22
BCHUSDT,WAVESUSDT,low_correlation_0.16
BCHUSDT,BTCUSDT,low_correlation_0.27
HFTUSDC,RVNUSDT,low_correlation_0.22
BCHUSDT,SANDUSDC,low_correlation_0.14
BCHUSDT,BTCUSDC,low_correlation_0.27
BCHUSDT,SANDUSDT,low_correlation_0.14
BCHUSDT,RDNTUSDT,low_correlation_0.38
ARBUSDC,BCHUSDT,low_correlation_0.27
ARBUSDT,BCHUSDT,low_correlation_0.27
BCHUSDT,WBTCUSDT,low_correlation_0.27
BCHUSDT,BTCDAI,low_correlation_0.27
HFTUSDT,MANAUSDT,low_correlation_0.19
HFTUSDC,MANAUSDT,low_correlation_0.19
HFTUSDC,MANAUSDC,low_correlation_0.19
HFTUSDT,MANAUSDC,low_correlation_0.19
BCHUSDT,STETHUSDT,low_correlation_0.15
BCHUSDT,ETCUSDT,low_correlation_0.15
HFTUSDC,SANDUSDT,low_correlation_0.22
AAVEUSDT,BCHUSDT,low_correlation_0.30
HFTUSDT,SANDUSDT,low_correlation_0.22
1INCHUSDT,HFTUSDT,low_correlation_0.20
HFTUSDC,SANDUSDC,low_correlation_0.22
BCHUSDT,ETHUSDT,low_correlation_0.15
BCHUSDT,ETHUSDC,low_correlation_0.15
HFTUSDT,SANDUSDC,low_correlation_0.22
BCHUSDT,BTCEUR,low_correlation_0.33
ARBUSDT,HFTUSDT,low_correlation_0.28
ARBUSDC,HFTUSDT,low_correlation_0.28
HFTUSDT,WAVESUSDT,low_correlation_0.20
ARBUSDT,HFTUSDC,low_correlation_0.28
ARBUSDC,HFTUSDC,low_correlation_0.28
BCHUSDT,XTZUSDT,low_correlation_0.15
HFTUSDC,WAVESUSDT,low_correlation_0.20
