s1,s2,reason
ONEUSDT,SPELLUSDT,low_correlation_0.21
NFTUSDT,TRXUSDC,low_correlation_-0.06
NFTUSDT,TRXUSDT,low_correlation_-0.06
GRTUSDT,SPELLUSDT,low_correlation_0.15
GMTUSDT,SPELLUSDT,low_correlation_0.08
GMTUSDC,SPELLUSDT,low_correlation_0.08
SPELLUSDT,WAVESUSDT,low_correlation_0.30
C98USDT,GALAUSDT,low_correlation_0.32
SPELLUSDT,ZILUSDT,low_correlation_0.30
OMGUSDT,SPELLUSDT,low_correlation_0.08
ARUSDT,SPELLUSDT,low_correlation_0.20
MANAUSDC,SPELLUSDT,low_correlation_0.19
MANAUSDT,SPELLUSDT,low_correlation_0.19
ETHDAI,TRXUSDC,low_correlation_-0.44
ENJUSDT,SPELLUSDT,low_correlation_-0.00
FILUSDC,SPELLUSDT,low_correlation_0.20
FILUSDT,SPELLUSDT,low_correlation_0.19
ETHUSDC,TRXUSDC,low_correlation_-0.44
SLPUSDT,TRXUSDT,low_correlation_-0.42
ETHUSDT,TRXUSDC,low_correlation_-0.44
SLPUSDT,TRXUSDC,low_correlation_-0.43
ETHDAI,TRXUSDT,low_correlation_-0.44
ETHUSDT,TRXUSDT,low_correlation_-0.44
STETHUSDT,TRXUSDC,low_correlation_-0.44
ETHUSDC,TRXUSDT,low_correlation_-0.44
STETHUSDT,TRXUSDT,low_correlation_-0.44
AXSUSDT,SPELLUSDT,low_correlation_0.09
SPELLUSDT,YFIUSDT,low_correlation_0.02
FLOWUSDT,SPELLUSDT,low_correlation_0.22
ANKRUSDT,SPELLUSDT,low_correlation_0.22
SOLBTC,SOLUSDT,beta_out_of_range (0.00)
SOLBTC,SOLUSDC,beta_out_of_range (0.00)
XLMBTC,XLMUSDT,beta_out_of_range (0.00)
XLMBTC,XLMUSDC,beta_out_of_range (0.00)
ETHUSDC,SANDUSDC,beta_out_of_range (2202.07)
ETHUSDC,SANDUSDT,beta_out_of_range (2195.13)
ETHUSDT,SANDUSDC,beta_out_of_range (2216.96)
