pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss
BTCDAI-BTCUSDT,08/02-10/31,-8.251198,0.0,32,-0.25784993,14,50,2881,2.1526341,-3.7544608
ETHUSDC-STETHUSDT,08/02-10/31,2.0610836,0.0,21,0.09814683,10,32,2881,2.6191204,-0.53419113
ETHUSDT-STETHUSDT,08/02-10/31,-0.031504154,0.0,22,-0.0014320071,10,34,2881,2.6920042,-0.94209856
ETHUSDC-ETHUSDT,08/02-10/31,-0.8820962,0.0,9,-0.09801069,3,15,2881,0.026177198,-0.22663702
KSMUSDT-SANDUSDT,08/02-10/31,14.978974,0.0,17,0.88111615,14,20,2881,12.499304,-0.29637352
KSMUSDT-SANDUSDC,08/02-10/31,0.13665564,0.0,19,0.007192402,11,27,2881,0.75181484,-0.9569347
KSMUSDT-RDNTUSDT,08/02-10/31,-0.9936011,0.0,24,-0.041400045,14,34,2881,0.7838059,-1.8178024
KSMUSDT-UNIUSDT,08/02-10/31,-0.48592103,0.0,16,-0.030370064,9,23,2881,0.90941596,-1.3753948
ETCUSDT-XRPUSDT,08/02-10/31,4.155962,0.0,28,0.14842722,20,36,2881,1.4837713,-0.3216642
ETCUSDT-XRPUSDC,08/02-10/31,3.893433,0.0,29,0.13425632,19,39,2881,1.6786542,-0.38593954
AVAXUSDC-CAKEUSDT,08/02-10/31,2.019122,0.0,27,0.07478229,16,38,2881,8.744953,-6.261042
AVAXUSDT-CAKEUSDT,08/02-10/31,2.6437545,0.0,30,0.08812515,18,42,2881,7.6153436,-6.2385745
AXSUSDT-UNIUSDT,08/02-10/31,-11.999271,0.0,19,-0.6315406,9,29,2881,1.3487965,-4.9736223
ARUSDT-FILUSDT,08/02-10/31,-2.1504326,0.0,30,-0.07168109,16,44,2881,5.8324666,-15.585955
MASKUSDT-XRPUSDC,08/02-10/31,3.385458,0.0,30,0.1128486,18,42,2881,3.1260111,-2.2020018
MASKUSDT-XRPUSDT,08/02-10/31,3.8808718,0.0,31,0.12518941,19,43,2881,2.7999036,-2.1068268
ARKMUSDT-DOTUSDT,08/02-10/31,2.2703145,0.0,28,0.08108266,17,39,2881,0.8931347,-0.4030337
ARKMUSDT-ICPUSDT,08/02-10/31,3.1649027,0.0,28,0.11303224,19,37,2881,1.113077,-0.80727047
ARKMUSDT-ICPUSDC,08/02-10/31,3.8026018,0.0,28,0.1358072,17,39,2881,1.6020122,-0.8143365
NEARUSDT-XTZUSDT,08/02-10/31,-10.125166,0.0,33,-0.30682322,15,51,2881,1.3946133,-3.6980813
THETAUSDT-XRPUSDC,08/02-10/31,9.929299,0.0,20,0.49646497,12,28,2881,6.0982184,-2.597003
THETAUSDT-XRPUSDT,08/02-10/31,8.068666,0.0,20,0.40343332,12,28,2881,5.4551234,-2.5866563
HFTUSDT-SUIUSDT,08/02-10/31,4.6156254,0.0,33,0.13986744,17,49,2881,4.413818,-2.1447644
OMGUSDT-RDNTUSDT,08/02-10/31,-0.03962624,0.0,21,-0.0018869638,9,33,2881,1.148388,-1.9208806
APTUSDC-APTUSDT,08/02-10/31,-1.6261718,0.0,14,-0.11615513,5,23,2881,0.8532584,-0.8164546
FLOWUSDT-MASKUSDT,08/02-10/31,2.3455956,0.0,42,0.055847514,22,62,2881,2.6273243,-2.6822035
AVAXUSDC-AVAXUSDT,08/02-10/31,0.5372675,0.0,22,0.02442125,12,32,2881,1.2833608,-0.69637215
MANAUSDT-XRPUSDT,08/02-10/31,-0.34548163,0.0,22,-0.01570371,10,34,2881,8.563856,-2.2024333
MANAUSDC-XRPUSDC,08/02-10/31,-1.209705,0.0,21,-0.057605,7,35,2881,9.220378,-2.7589383
MANAUSDC-XRPUSDT,08/02-10/31,-2.1918097,0.0,21,-0.10437189,7,35,2881,8.258312,-2.7589025
ICPUSDC-ICPUSDT,08/02-10/31,1.2857137,0.0,36,0.03571427,22,50,2881,1.6098272,-1.8882338
LDOUSDC-LDOUSDT,08/02-10/31,0.8201047,0.0,5,0.16402094,4,6,2881,0.4288,-0.088383645
BATUSDT-QTUMUSDT,08/02-10/31,-2.2813096,0.0,23,-0.099187374,13,33,2881,1.5257765,-1.8971384
BATUSDT-LTCUSDC,08/02-10/31,1.9324119,0.0,27,0.07157081,18,36,2881,2.1060266,-1.9348081
BATUSDT-LTCUSDT,08/02-10/31,1.7700354,0.0,27,0.06555687,18,36,2881,2.109593,-1.9299875
GMTUSDT-UNIUSDT,08/02-10/31,3.2964776,0.0,23,0.1433251,14,32,2881,4.3504925,-3.0314498
GMTUSDC-UNIUSDT,08/02-10/31,1.4785966,0.0,29,0.05098609,15,43,2881,3.2360535,-3.321006
ICXUSDT-WAXPUSDT,08/02-10/31,0.85113144,0.0,8,0.10639143,4,12,2881,0.9478418,-1.6400639
GMTUSDT-SANDUSDT,08/02-10/31,-3.788035,0.0,25,-0.1515214,14,36,2881,0.9533034,-3.3824215
GRTUSDT-RDNTUSDT,08/02-10/31,-7.8321443,0.0,26,-0.30123633,11,41,2881,0.9862398,-3.4310486
ARBUSDC-ARBUSDT,08/02-10/31,0.30865806,0.0,14,0.022047004,7,21,2881,0.31284943,-0.117838405
ROSEUSDT-WAXPUSDT,08/02-10/31,2.0788217,0.0,7,0.2969745,4,10,2881,1.8809738,-1.0131027
WAXPUSDT-ZILUSDT,08/02-10/31,1.2249676,0.0,6,0.20416127,5,7,2881,0.67941004,-1.1408656
ROSEUSDT-XEMUSDT,08/02-10/31,-3.0459342,0.0,23,-0.13243192,12,34,2881,1.4008555,-1.832927
GMTUSDC-GMTUSDT,08/02-10/31,-2.1530032,0.0,27,-0.07974086,12,42,2881,0.6268488,-1.0856682
ONEUSDT-XRPUSDC,08/02-10/31,13.585666,0.0,27,0.5031728,17,37,2881,3.1903627,-1.8112365
ONEUSDT-XRPUSDT,08/02-10/31,10.961579,0.0,26,0.4215992,14,38,2881,3.378655,-1.8080275
RVNUSDT-UNIUSDT,08/02-10/31,-5.330066,0.0,32,-0.16656457,15,49,2881,2.036708,-3.0772157
XECUSDT-ZILUSDT,08/02-10/31,8.63916,0.0,27,0.3199689,16,38,2881,15.63877,-12.450613
BTCDAI-WBTCUSDT,09/01-11/30,4.086157,0.0,28,0.14593418,17,39,2881,1.4692359,-0.8101502
BTCUSDC-WBTCUSDT,09/01-11/30,1.1496676,0.0,24,0.04790282,11,37,2881,1.0807439,-0.6012678
FILUSDC-ROSEUSDT,09/01-11/30,1.3754705,0.0,4,0.34386763,3,5,2881,0.9394424,-0.591757
FILUSDT-ROSEUSDT,09/01-11/30,0.4110934,0.0,3,0.13703114,2,4,2881,0.58967656,-0.5470232
UMAUSDT-WAVESUSDT,09/01-11/30,0.80212593,0.0,7,0.114589415,7,7,2881,0.34714052,-0.011247885
OMGUSDT-QTUMUSDT,09/01-11/30,-8.144264,0.0,5,-1.6288528,1,9,2881,1.0664983,-3.5937788
FLOWUSDT-QTUMUSDT,09/01-11/30,0.65862525,0.0,4,0.16465631,2,6,2881,1.0946397,-1.1416725
FLOWUSDT-ROSEUSDT,09/01-11/30,1.9990883,0.0,3,0.66636276,2,4,2881,1.4277279,-0.4625864
MANAUSDC-PEOPLEUSDT,09/01-11/30,-1.2091883,0.0,30,-0.040306278,17,43,2881,2.2816863,-1.8158609
MANAUSDT-PEOPLEUSDT,09/01-11/30,5.3074274,0.0,31,0.17120734,19,43,2881,2.6808348,-1.7168556
BATUSDT-ICXUSDT,09/01-11/30,-6.369347,0.0,20,-0.31846735,12,28,2881,1.1952914,-4.8501334
HFTUSDC-HFTUSDT,09/01-11/30,-0.89338785,0.0,30,-0.029779594,13,47,2881,0.26309708,-0.35242045
ONEUSDT-WAVESUSDT,09/01-11/30,0.8058846,0.0,29,0.027789123,12,46,2881,6.503053,-2.776275
TRXUSDC-TRXUSDT,09/01-11/30,-0.6498416,0.0,13,-0.049987815,6,20,2881,0.44549176,-0.5057143
BTCDAI-BTCUSDT,10/01-12/30,4.932085,0.0,29,0.1700719,17,41,2881,3.4523396,-1.4498324
BTCDAI-BTCUSDC,10/01-12/30,4.532712,0.0,29,0.15630041,17,41,2881,3.4586332,-1.3836747
ETHDAI-STETHUSDT,10/01-12/30,2.7825227,0.0,38,0.073224284,15,61,2881,2.7776692,-2.8543923
GMXUSDT-MANAUSDT,10/01-12/30,-5.9411116,0.0,42,-0.14145504,16,68,2881,0.4111754,-1.0712831
GMXUSDT-MANAUSDC,10/01-12/30,-1.3075421,0.0,42,-0.031131955,22,62,2881,0.8496795,-0.817086
LTCUSDT-XRPUSDT,10/01-12/30,-2.1678033,0.0,39,-0.0555847,22,56,2881,4.0314226,-4.0242305
LTCUSDC-XRPUSDT,10/01-12/30,-0.018883705,0.0,39,-0.00048419758,20,58,2881,4.243974,-4.2772474
LTCUSDT-XRPUSDC,10/01-12/30,-3.7153187,0.0,37,-0.100414015,21,53,2881,4.030732,-3.9191742
LTCUSDC-XRPUSDC,10/01-12/30,0.186975,0.0,39,0.0047942307,21,57,2881,4.2433796,-4.1741977
ETCUSDT-FILUSDT,10/01-12/30,-1.3655324,0.0,44,-0.031034827,23,65,2881,4.211823,-4.697928
ETCUSDT-FILUSDC,10/01-12/30,-0.7569723,0.0,38,-0.019920325,20,56,2881,4.1097264,-4.7882247
ETCUSDT-WAVESUSDT,10/01-12/30,2.6118593,0.0,36,0.072551645,17,55,2881,7.186915,-3.9284415
ETCUSDT-SANDUSDC,10/01-12/30,-11.605469,0.0,42,-0.2763207,17,67,2881,5.3255715,-4.658997
ETCUSDT-SANDUSDT,10/01-12/30,-9.100498,0.0,43,-0.2116395,22,64,2881,5.4013166,-4.864796
AXSUSDT-GRTUSDT,10/01-12/30,1.1080787,0.0,39,0.028412275,21,57,2881,1.3050781,-1.0487169
FILUSDC-WAVESUSDT,10/01-12/30,4.798991,0.0,33,0.14542398,22,44,2881,4.988369,-3.4577196
FILUSDT-WAVESUSDT,10/01-12/30,3.5974503,0.0,40,0.08993626,23,57,2881,4.494198,-3.4363487
HOOKUSDT-RVNUSDT,10/01-12/30,2.2732043,0.0,20,0.11366022,11,29,2881,0.78116715,-0.6194105
SOLUSDC-SOLUSDT,10/01-12/30,-1.2199523,0.0,20,-0.060997616,7,33,2881,0.06521296,-0.14193179
CELOUSDT-QTUMUSDT,10/01-12/30,7.9957495,0.0,31,0.2579274,20,42,2881,4.0150404,-7.7319236
STGUSDT-XTZUSDT,10/01-12/30,-6.2239275,0.0,4,-1.5559819,1,7,2881,0.21782933,-4.0042505
CELOUSDT-IDUSDT,10/01-12/30,-12.68115,0.0,25,-0.507246,14,36,2881,3.072176,-8.823211
SANDUSDC-XEMUSDT,10/01-12/30,-3.9377294,0.0,26,-0.15145113,12,40,2881,1.5592238,-3.5189526
SANDUSDT-XEMUSDT,10/01-12/30,-6.454021,0.0,27,-0.23903781,12,42,2881,1.3094686,-3.8255887
APTUSDC-APTUSDT,10/01-12/30,-0.65653783,0.0,12,-0.054711487,7,17,2881,0.60253155,-0.48104846
LINKUSDC-LINKUSDT,10/01-12/30,-0.13917613,0.0,27,-0.0051546716,12,42,2881,0.35578176,-0.28081384
IDUSDT-LRCUSDT,10/01-12/30,0.9214254,0.0,3,0.3071418,3,3,2881,0.4334341,-0.015709613
1INCHUSDT-XEMUSDT,10/01-12/30,9.489667,0.0,15,0.6326445,10,20,2881,6.4134817,-2.8216493
SANDUSDC-WAVESUSDT,10/01-12/30,4.4909,0.0,28,0.16038929,14,42,2881,4.2371683,-3.089074
SANDUSDT-WAVESUSDT,10/01-12/30,9.139411,0.0,26,0.3515158,15,37,2881,5.3070884,-3.284418
1INCHUSDT-WAVESUSDT,10/01-12/30,-1.384512,0.0,32,-0.043266,19,45,2881,1.8635612,-2.8067503
ENJUSDT-MANAUSDC,10/01-12/30,3.6802974,0.0,27,0.13630731,13,41,2881,3.6939156,-3.7483437
ENJUSDT-MANAUSDT,10/01-12/30,4.1854334,0.0,27,0.15501605,14,40,2881,3.6852188,-3.8371427
FILUSDC-FILUSDT,10/01-12/30,4.4579387,0.0,23,0.19382343,12,34,2881,2.2737126,-1.1295756
C98USDT-QTUMUSDT,10/01-12/30,1.9287605,0.0,31,0.06221808,18,44,2881,4.4062295,-5.264239
ICPUSDC-ICPUSDT,10/01-12/30,-4.1610103,0.0,18,-0.23116724,9,27,2881,0.96173626,-1.7498494
FIDAUSDT-JASMYUSDT,10/01-12/30,31.243996,0.0,27,1.1571851,18,36,2881,11.315142,-9.693126
LDOUSDC-LDOUSDT,10/01-12/30,-1.1254628,0.0,9,-0.12505142,2,16,2881,0.03821978,-0.38458863
DOTUSDC-DOTUSDT,10/01-12/30,-0.69126654,0.0,12,-0.057605546,5,19,2881,0.3850318,-0.22753152
ALGOUSDT-THETAUSDT,10/01-12/30,1.9948245,0.0,24,0.083117686,14,34,2881,3.354245,-2.757691
DOGEUSDC-FLOWUSDT,10/01-12/30,0.68729013,0.0,3,0.22909671,2,4,2881,1.6455332,-1.3909339
DOGEUSDT-FLOWUSDT,10/01-12/30,0.1827236,0.0,3,0.060907867,2,4,2881,1.5026861,-1.313247
DOGEEUR-WAVESUSDT,10/01-12/30,5.351636,0.0,42,0.1274199,22,62,2881,4.680011,-5.312366
DOGEEUR-FLOWUSDT,10/01-12/30,-2.384035,0.0,4,-0.5960088,1,7,2881,1.2347723,-2.09266
APEUSDC-APEUSDT,10/01-12/30,0.6185491,0.0,7,0.08836416,5,9,2881,0.27282953,-0.03943555
CHZUSDC-ONEUSDT,10/01-12/30,-2.1490536,0.0,23,-0.09343711,12,34,2881,2.2032313,-2.8940258
CHZUSDT-ONEUSDT,10/01-12/30,-4.664344,0.0,26,-0.17939784,13,39,2881,2.8384821,-4.340955
OPUSDC-OPUSDT,10/01-12/30,-4.938254,0.0,19,-0.2599081,8,30,2881,0.62629735,-1.3595375
WLDUSDC-WLDUSDT,10/01-12/30,-0.51195115,0.0,17,-0.030114774,5,29,2881,0.037698112,-0.07933651
ACHUSDT-SANDUSDT,10/01-12/30,-0.86964303,0.0,5,-0.1739286,2,8,2881,1.5126265,-1.2924454
APEXUSDC-APEXUSDT,10/01-12/30,16.858377,0.0,28,0.60208493,12,44,2881,11.630388,-2.1039238
MANAUSDC-MANAUSDT,10/01-12/30,0.16144013,0.0,14,0.011531438,8,20,2881,1.481081,-1.2535615
GMTUSDC-GMTUSDT,10/01-12/30,-0.08206856,0.0,15,-0.0054712375,8,22,2881,0.19158584,-0.2230251
SANDUSDC-SANDUSDT,10/01-12/30,-2.3466227,0.0,20,-0.11733113,7,33,2881,0.431619,-0.53929275
ADAUSDC-ADAUSDT,10/01-12/30,-5.53833,0.0,18,-0.30768502,1,35,2881,0.10406652,-0.4642745
MNTUSDC-MNTUSDT,10/01-12/30,-2.0113406,0.0,17,-0.118314154,7,27,2881,0.30139855,-0.60899734
CHZUSDC-CHZUSDT,10/01-12/30,2.0336535,0.0,19,0.10703439,7,31,2881,2.813197,-0.8053951
XLMUSDC-XLMUSDT,10/01-12/30,7.8420305,0.0,19,0.41273844,13,25,2881,2.147317,-1.2491808
TRXUSDC-TRXUSDT,10/01-12/30,-0.07094419,0.0,21,-0.0033782949,11,31,2881,0.6384501,-0.5272082
DOGEUSDC-DOGEUSDT,10/01-12/30,-1.8110685,0.0,21,-0.08624136,9,33,2881,0.67344123,-0.8822999
LUNCUSDC-LUNCUSDT,10/01-12/30,5.802884,0.0,45,0.12895298,25,65,2881,4.0015383,-1.567298
SHIBUSDC-SHIBUSDT,10/01-12/30,-1.3008226,0.0,19,-0.068464346,9,29,2881,0.51565236,-0.45591384
