pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss
BTCDAI-BTCUSDT,08/02-10/31,-8.589315,0.0,32,-0.2684161,15,49,2881,2.1526341,-3.7544608
KSMUSDT-UNIUSDT,08/02-10/31,-0.48592103,0.0,16,-0.030370064,9,23,2881,0.90941596,-1.3753948
AXSUSDT-GMTUSDT,08/02-10/31,11.994098,0.0,27,0.44422585,20,34,2881,6.9465127,-5.062824
ARKMUSDT-DOTUSDC,08/02-10/31,3.2289405,0.0,28,0.115319304,18,38,2881,0.87635314,-0.3954375
THETAUSDT-XRPUSDC,08/02-10/31,9.929299,0.0,20,0.49646497,12,28,2881,6.0982184,-2.597003
FLOWUSDT-MASKUSDT,08/02-10/31,2.3455956,0.0,42,0.055847514,22,62,2881,2.6273243,-2.6822035
ICPUSDC-ICPUSDT,08/02-10/31,1.3379126,0.0,36,0.037164237,23,49,2881,1.6098272,-1.8882338
ICXUSDT-WAXPUSDT,08/02-10/31,0.85113144,0.0,8,0.10639143,4,12,2881,0.9478418,-1.6400639
ANKRUSDT-MANAUSDT,08/02-10/31,0.8619244,0.0,24,0.035913516,13,35,2881,2.6454067,-2.4581137
ETHUSDC-STETHUSDT,08/02-10/31,1.8410977,0.0,21,0.08767132,10,32,2881,2.6191204,-0.53419113
ETCUSDT-XRPUSDT,08/02-10/31,4.155962,0.0,28,0.14842722,20,36,2881,1.4837713,-0.3216642
AXSUSDT-GMTUSDC,08/02-10/31,5.806313,0.0,33,0.17594887,20,46,2881,9.825605,-4.777216
ARKMUSDT-SANDUSDT,08/02-10/31,1.1403102,0.0,29,0.03932104,17,41,2881,0.9931059,-0.42300388
THETAUSDT-XRPUSDT,08/02-10/31,9.214098,0.0,20,0.4607049,12,28,2881,5.4551234,-2.5866563
AVAXUSDC-AVAXUSDT,08/02-10/31,0.3238858,0.0,22,0.014722082,11,33,2881,1.2833608,-0.69637215
BATUSDT-THETAUSDT,08/02-10/31,-1.358441,0.0,34,-0.03995415,20,48,2881,1.4651036,-1.9080079
ALGOUSDT-ROSEUSDT,08/02-10/31,0.79789716,0.0,29,0.027513696,14,44,2881,0.69595724,-0.67114645
ADAUSDC-ADAUSDT,08/02-10/31,-0.10753816,0.0,8,-0.01344227,3,13,2881,0.17404866,-0.11163683
ETHUSDT-STETHUSDT,08/02-10/31,0.48517382,0.0,22,0.022053355,11,33,2881,2.6920042,-0.94209856
ETCUSDT-XRPUSDC,08/02-10/31,3.893433,0.0,29,0.13425632,19,39,2881,1.6786542,-0.38593954
AXSUSDT-SANDUSDT,08/02-10/31,-6.748867,0.0,16,-0.4218042,6,26,2881,2.1405694,-3.9008496
ARKMUSDT-SANDUSDC,08/02-10/31,2.0285945,0.0,30,0.067619815,16,44,2881,1.190483,-0.39108756
HFTUSDT-SUIUSDC,08/02-10/31,3.1590676,0.0,32,0.09872086,18,46,2881,4.1943946,-2.724299
MANAUSDT-XRPUSDC,08/02-10/31,0.08977687,0.0,23,0.0039033424,11,35,2881,9.513653,-2.1364677
LDOUSDC-LDOUSDT,08/02-10/31,0.35544264,0.0,5,0.07108853,3,7,2881,0.3673365,-0.1288475
GMTUSDT-SANDUSDT,08/02-10/31,-3.788035,0.0,25,-0.1515214,14,36,2881,0.9533034,-3.3824215
GMTUSDC-GMTUSDT,08/02-10/31,-2.162021,0.0,27,-0.08007485,14,40,2881,0.6268488,-1.0856682
ETHUSDC-ETHUSDT,08/02-10/31,-0.8820962,0.0,9,-0.09801069,3,15,2881,0.026177198,-0.22663702
AVAXUSDC-CAKEUSDT,08/02-10/31,2.019122,0.0,27,0.07478229,16,38,2881,8.744953,-6.261042
AXSUSDT-SANDUSDC,08/02-10/31,-4.128013,0.0,16,-0.25800082,7,25,2881,3.0450597,-4.56622
ARKMUSDT-CHZUSDT,08/02-10/31,4.7020073,0.0,32,0.14693773,18,46,2881,2.6323853,-0.46071133
HFTUSDT-SUIUSDT,08/02-10/31,4.6156254,0.0,33,0.13986744,17,49,2881,4.413818,-2.1447644
MANAUSDT-XRPUSDT,08/02-10/31,-0.34548163,0.0,22,-0.01570371,10,34,2881,8.563856,-2.2024333
BATUSDT-QTUMUSDT,08/02-10/31,-2.2813096,0.0,23,-0.099187374,13,33,2881,1.5257765,-1.8971384
GRTUSDT-RDNTUSDT,08/02-10/31,-7.8321443,0.0,26,-0.30123633,11,41,2881,0.9862398,-3.4310486
ONEUSDT-XRPUSDC,08/02-10/31,14.633516,0.0,27,0.5419821,18,36,2881,3.1903627,-1.8112365
KSMUSDT-SANDUSDT,08/02-10/31,14.927243,0.0,17,0.87807316,14,20,2881,12.447574,-0.29637352
AVAXUSDT-CAKEUSDT,08/02-10/31,2.6437545,0.0,30,0.08812515,18,42,2881,7.6153436,-6.2385745
MASKUSDT-XRPUSDC,08/02-10/31,3.385458,0.0,30,0.1128486,18,42,2881,3.1260111,-2.2020018
ARKMUSDT-CHZUSDC,08/02-10/31,-4.820563,0.0,31,-0.15550202,19,43,2881,1.0127125,-4.8198104
HFTUSDT-ICPUSDC,08/02-10/31,1.0216869,0.0,27,0.037840255,15,39,2881,4.479521,-1.8245666
MANAUSDC-XRPUSDC,08/02-10/31,-1.209705,0.0,21,-0.057605,7,35,2881,9.220378,-2.7589383
BATUSDT-LTCUSDC,08/02-10/31,1.9324119,0.0,27,0.07157081,18,36,2881,2.1060266,-1.9348081
ARBUSDC-ARBUSDT,08/02-10/31,-0.24355334,0.0,14,-0.017396668,5,23,2881,0.31284943,-0.21963659
ONEUSDT-XRPUSDT,08/02-10/31,12.011572,0.0,26,0.46198353,15,37,2881,3.378655,-1.8080275
KSMUSDT-SANDUSDC,08/02-10/31,0.13665564,0.0,19,0.007192402,11,27,2881,0.75181484,-0.9569347
AXSUSDT-UNIUSDT,08/02-10/31,-11.999271,0.0,19,-0.6315406,9,29,2881,1.3487965,-4.9736223
MASKUSDT-XRPUSDT,08/02-10/31,3.8808718,0.0,31,0.12518941,19,43,2881,2.7999036,-2.1068268
ARKMUSDT-ICPUSDT,08/02-10/31,3.1649027,0.0,28,0.11303224,19,37,2881,1.113077,-0.80727047
HFTUSDT-ICPUSDT,08/02-10/31,-0.7784208,0.0,27,-0.0288304,14,40,2881,4.366204,-3.0530615
MANAUSDC-XRPUSDT,08/02-10/31,-2.1918097,0.0,21,-0.10437189,7,35,2881,8.258312,-2.7589025
BATUSDT-LTCUSDT,08/02-10/31,1.7700354,0.0,27,0.06555687,18,36,2881,2.109593,-1.9299875
ROSEUSDT-WAXPUSDT,08/02-10/31,2.0788217,0.0,7,0.2969745,4,10,2881,1.8809738,-1.0131027
RVNUSDT-UNIUSDT,08/02-10/31,-5.330066,0.0,32,-0.16656457,15,49,2881,2.036708,-3.0772157
KSMUSDT-STETHUSDT,08/02-10/31,-0.5634186,0.0,23,-0.024496462,13,33,2881,0.9571701,-2.0816364
ARUSDT-FILUSDT,08/02-10/31,-2.1504326,0.0,30,-0.07168109,16,44,2881,5.8324666,-15.585955
QTUMUSDT-THETAUSDT,08/02-10/31,-5.1416264,0.0,21,-0.24483936,10,32,2881,4.0378876,-9.092407
ARKMUSDT-ICPUSDC,08/02-10/31,3.8026018,0.0,28,0.1358072,17,39,2881,1.6020122,-0.8143365
OMGUSDT-RDNTUSDT,08/02-10/31,-0.03962624,0.0,21,-0.0018869638,9,33,2881,1.148388,-1.9208806
FLOWUSDT-MANAUSDT,08/02-10/31,17.190422,0.0,24,0.7162676,16,32,2881,4.615611,-1.136891
GMTUSDT-UNIUSDT,08/02-10/31,3.2964776,0.0,23,0.1433251,14,32,2881,4.3504925,-3.0314498
