pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss
BTCDAI-BTCUSDT,08/02-10/31,-6.212229,0.0,28,-0.22186531,14,42,2881,2.1526341,-3.7544608
KSMUSDT-UNIUSDT,08/02-10/31,-0.02746278,0.0,12,-0.002288565,6,18,2881,0.90941596,-1.3753948
AXSUSDT-UNIUSDT,08/02-10/31,-13.513264,0.0,16,-0.844579,5,27,2881,1.3487965,-4.9736223
LDOUSDC-RDNTUSDT,08/02-10/31,-0.40638915,0.0,6,-0.06773152,0,12,2881,0.0,-0.2487701
NEARUSDT-XTZUSDT,08/02-10/31,-11.658676,0.0,27,-0.4318028,11,43,2881,1.3946133,-3.6980813
APTUSDC-APTUSDT,08/02-10/31,-1.6946571,0.0,6,-0.28244284,2,10,2881,0.16102806,-0.8164546
LDOUSDC-LDOUSDT,08/02-10/31,0.4938498,0.0,4,0.12346245,3,5,2881,0.3673365,-0.088383645
GMTUSDT-SANDUSDT,08/02-10/31,5.049996,0.0,16,0.31562474,12,20,2881,1.5704355,-1.0466907
ONEUSDT-XRPUSDC,08/02-10/31,4.8645926,0.0,20,0.24322963,12,28,2881,3.1903627,-2.11408
ETHUSDC-STETHUSDT,08/02-10/31,2.050939,0.0,17,0.120643474,9,25,2881,2.6191204,-0.53419113
ETCUSDT-XRPUSDT,08/02-10/31,2.3652353,0.0,25,0.09460941,15,35,2881,1.4837713,-0.916613
ARUSDT-FILUSDT,08/02-10/31,-7.2035646,0.0,20,-0.36017823,12,28,2881,2.2187114,-15.585955
ARKMUSDT-DOTUSDT,08/02-10/31,1.0850157,0.0,23,0.047174595,12,34,2881,0.8931347,-0.4030337
THETAUSDT-XRPUSDC,08/02-10/31,9.307407,0.0,16,0.58171296,10,22,2881,6.0982184,-2.597003
FLOWUSDT-MASKUSDT,08/02-10/31,-0.92893267,0.0,36,-0.025803685,18,54,2881,2.6273243,-2.6822035
BATUSDT-QTUMUSDT,08/02-10/31,0.34222502,0.0,18,0.019012501,11,25,2881,1.5257765,-1.8971384
GRTUSDT-RDNTUSDT,08/02-10/31,-8.811026,0.0,20,-0.44055128,7,33,2881,0.9862398,-3.4310486
ONEUSDT-XRPUSDT,08/02-10/31,6.794442,0.0,21,0.32354486,12,30,2881,3.378655,-2.002784
ETHUSDT-STETHUSDT,08/02-10/31,0.5342573,0.0,17,0.0314269,8,26,2881,2.6920042,-0.60920995
ETCUSDT-XRPUSDC,08/02-10/31,2.7534063,0.0,22,0.12515484,14,30,2881,1.6786542,-0.91497445
AXSUSDT-GMTUSDT,08/02-10/31,10.988567,0.0,21,0.5232651,15,27,2881,6.9465127,-5.062824
ARKMUSDT-SANDUSDT,08/02-10/31,1.1107948,0.0,26,0.042722877,16,36,2881,0.9931059,-0.42300388
THETAUSDT-XRPUSDT,08/02-10/31,8.510805,0.0,18,0.47282252,11,25,2881,5.4551234,-2.5866563
AVAXUSDC-AVAXUSDT,08/02-10/31,0.379974,0.0,18,0.021109667,9,27,2881,1.2833608,-0.69637215
BATUSDT-LTCUSDC,08/02-10/31,2.635759,0.0,22,0.119807236,14,30,2881,2.1060266,-1.9348081
ARBUSDC-ARBUSDT,08/02-10/31,0.16430683,0.0,10,0.016430683,5,15,2881,0.31284943,-0.117838405
RVNUSDT-UNIUSDT,08/02-10/31,-3.2123632,0.0,19,-0.16907175,10,28,2881,1.6834332,-3.0772157
ETHUSDC-ETHUSDT,08/02-10/31,-0.6349832,0.0,6,-0.10583053,2,10,2881,0.026177198,-0.22663702
APTUSDC-MAGICUSDT,08/02-10/31,0.5055634,0.0,17,0.029739022,10,24,2881,2.1861057,-2.2031217
AXSUSDT-GMTUSDC,08/02-10/31,8.168224,0.0,24,0.34034267,15,33,2881,9.825605,-4.777216
ARKMUSDT-SANDUSDC,08/02-10/31,1.5480518,0.0,23,0.0673066,14,32,2881,1.190483,-0.39108756
HFTUSDT-SUIUSDC,08/02-10/31,3.0917182,0.0,23,0.13442253,12,34,2881,4.1943946,-2.1323476
MANAUSDT-XRPUSDT,08/02-10/31,-1.399748,0.0,18,-0.07776377,7,29,2881,8.563856,-2.2024333
BATUSDT-LTCUSDT,08/02-10/31,2.7634387,0.0,21,0.13159232,13,29,2881,2.109593,-1.9299875
ROSEUSDT-WAXPUSDT,08/02-10/31,2.1550298,0.0,6,0.35917163,4,8,2881,1.8809738,-1.0131027
XECUSDT-ZILUSDT,08/02-10/31,-14.537999,0.0,24,-0.60574996,12,36,2881,15.63877,-12.450613
KSMUSDT-SANDUSDT,08/02-10/31,0.49384165,0.0,13,0.03798782,10,16,2881,0.85454607,-1.0597472
APTUSDT-MAGICUSDT,08/02-10/31,1.6224339,0.0,16,0.10140212,10,22,2881,2.4466617,-2.3025265
AXSUSDT-SANDUSDT,08/02-10/31,-4.756963,0.0,12,-0.39641356,5,19,2881,2.1405694,-3.9008496
ARKMUSDT-CHZUSDT,08/02-10/31,-2.8914087,0.0,24,-0.12047536,13,35,2881,1.007699,-4.1452174
HFTUSDT-SUIUSDT,08/02-10/31,2.6234524,0.0,23,0.11406315,10,36,2881,4.413818,-1.826119
MANAUSDC-XRPUSDC,08/02-10/31,-2.6525822,0.0,20,-0.13262911,6,34,2881,9.220378,-2.7589383
GMTUSDT-UNIUSDT,08/02-10/31,3.519847,0.0,22,0.15999304,14,30,2881,4.3504925,-3.0314498
WAXPUSDT-ZILUSDT,08/02-10/31,0.18371773,0.0,3,0.061239243,3,3,2881,0.106035195,-0.01836001
LUNCUSDC-LUNCUSDT,08/02-10/31,2.47852,0.0,20,0.123926,11,29,2881,2.1903212,-2.3782556
KSMUSDT-SANDUSDC,08/02-10/31,1.2674559,0.0,11,0.115223266,8,14,2881,0.75181484,-0.82393056
AVAXUSDC-CAKEUSDT,08/02-10/31,1.6688224,0.0,24,0.069534265,13,35,2881,8.744953,-6.261042
