pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss
COMPUSDT-GMXUSDT,08/02-10/31,3.5074077,0.0,12,0.29228398,8,16,2881,1.6046178,-0.35414916
MASKUSDT-XRPUSDC,08/02-10/31,3.385458,0.0,30,0.1128486,18,42,2881,3.1260111,-2.2020018
MASKUSDT-XRPUSDT,08/02-10/31,3.8808718,0.0,31,0.12518941,19,43,2881,2.7999036,-2.1068268
ETHWUSDT-GMTUSDT,08/02-10/31,17.158737,0.0,28,0.61281204,22,34,2881,3.2163916,-3.799051
FLOWUSDT-MASKUSDT,08/02-10/31,2.3455956,0.0,42,0.055847514,22,62,2881,2.6273243,-2.6822035
ALGOUSDT-IMXUSDT,08/02-10/31,2.650029,0.0,28,0.09464389,16,40,2881,0.96183914,-0.6854752
GMTUSDT-SANDUSDT,08/02-10/31,-3.788035,0.0,25,-0.1515214,14,36,2881,0.9533034,-3.3824215
DOGEUSDC-ETHWUSDT,08/02-10/31,-3.4268353,0.0,36,-0.09518987,18,54,2881,4.84559,-6.1409926
DOGEUSDT-ETHWUSDT,08/02-10/31,1.6286545,0.0,34,0.0479016,21,47,2881,4.9843802,-5.997596
PERPUSDT-XLMUSDT,09/01-11/30,9.668309,0.0,23,0.42036128,14,32,2881,8.436094,-1.4408507
MVUSDT-XLMUSDT,09/01-11/30,15.545351,0.0,20,0.7772676,9,31,2881,12.5367775,-1.507788
GMXUSDT-WAVESUSDT,10/01-12/30,5.5338135,0.0,26,0.21283898,18,34,2881,2.8069491,-1.2054896
FILUSDT-WAVESUSDT,10/01-12/30,3.5974503,0.0,40,0.08993626,23,57,2881,4.494198,-3.4363487
FILUSDT-SANDUSDT,10/01-12/30,7.1570287,0.0,30,0.23856762,17,43,2881,3.3767247,-1.4988776
SANDUSDT-WAVESUSDT,10/01-12/30,9.139411,0.0,26,0.3515158,15,37,2881,5.3070884,-3.284418
MVUSDT-TONUSDT,10/01-12/30,3.7383044,0.0,5,0.7476609,2,8,2881,7.6226616,-4.0643153
