pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss
COMPUSDT-GMXUSDT,08/02-10/31,2.653499,0.0,7,0.37907127,6,8,2881,1.0811377,-0.036653537
ETHUSDC-ETHUSDT,08/02-10/31,-0.08908099,0.0,2,-0.044540495,1,3,2881,0.0107286135,-0.043064326
MASKUSDT-XRPUSDC,08/02-10/31,-1.5137897,0.0,20,-0.07568948,12,28,2881,1.7145989,-2.2020018
MASKUSDT-XRPUSDT,08/02-10/31,0.96995485,0.0,20,0.048497744,12,28,2881,2.7999036,-2.1068268
ETHWUSDT-GMTUSDT,08/02-10/31,14.568406,0.0,18,0.8093559,14,22,2881,3.2163916,-1.3649424
FLOWUSDT-MASKUSDT,08/02-10/31,1.0905428,0.0,26,0.041943952,13,39,2881,2.6273243,-2.6822035
ALGOUSDT-IMXUSDT,08/02-10/31,3.7277193,0.0,17,0.2192776,12,22,2881,0.96183914,-0.6518773
GMTUSDT-SANDUSDT,08/02-10/31,4.3626165,0.0,13,0.3355859,10,16,2881,1.5704355,-1.0466907
DOGEUSDC-ETHWUSDT,08/02-10/31,1.7588606,0.0,22,0.07994821,9,35,2881,4.84559,-6.1409926
DOGEUSDT-ETHWUSDT,08/02-10/31,5.403113,0.0,22,0.24559604,12,32,2881,4.9843802,-5.997596
PERPUSDT-XLMUSDT,09/01-11/30,10.404283,0.0,15,0.69361883,11,19,2881,8.436094,-1.9294084
MVUSDT-XLMUSDT,09/01-11/30,16.72389,0.0,11,1.5203537,6,16,2881,12.5367775,-1.507788
DAIUSDT-USDCUSDT,09/01-11/30,89.96573,0.0,7,12.852247,3,11,2881,76.25321,-9.30072
GMXUSDT-WAVESUSDT,10/01-12/30,2.3401875,0.0,15,0.1560125,9,21,2881,2.8069491,-0.3310689
FILUSDT-WAVESUSDT,10/01-12/30,2.8806014,0.0,28,0.10287862,17,39,2881,4.494198,-3.4363487
FILUSDT-SANDUSDT,10/01-12/30,-2.6631925,0.0,14,-0.19022803,6,22,2881,1.1466985,-1.4999193
SANDUSDT-WAVESUSDT,10/01-12/30,2.164611,0.0,17,0.12733006,9,25,2881,1.7959156,-2.0031514
MVUSDT-TONUSDT,10/01-12/30,7.8111963,0.0,4,1.9527991,2,6,2881,7.6226616,-2.1449294
