pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss
COMPUSDT-GMXUSDT,08/02-10/31,0.0,0.0,0,0.0,0,0,2881,0.0,0.0
MASKUSDT-XRPUSDC,08/02-10/31,-0.08711302,0.0,8,-0.010889128,5,11,2881,1.7145989,-2.2020018
MASKUSDT-XRPUSDT,08/02-10/31,-0.10774532,0.0,8,-0.013468165,5,11,2881,1.6673847,-2.1068268
ALGOUSDT-IMXUSDT,08/02-10/31,-0.10633755,0.0,4,-0.026584387,2,6,2881,0.726078,-0.6518773
GMTUSDT-SANDUSDT,08/02-10/31,-1.4610739,0.0,4,-0.36526847,2,6,2881,1.3039638,-1.584408
MVUSDT-XLMUSDT,09/01-11/30,13.105717,0.0,5,2.6211433,4,6,2881,12.5367775,-0.14485972
GMXUSDT-WAVESUSDT,10/01-12/30,2.353212,0.0,5,0.47064242,3,7,2881,2.8069491,-0.3045381
FILUSDT-WAVESUSDT,10/01-12/30,2.3187902,0.0,6,0.38646504,4,8,2881,1.8853208,-0.397743
FILUSDT-SANDUSDT,10/01-12/30,-0.32705164,0.0,5,-0.06541033,3,7,2881,1.1466985,-1.4988776
SANDUSDT-WAVESUSDT,10/01-12/30,2.3041766,0.0,6,0.38402942,4,8,2881,1.7959156,-2.0031514
MVUSDT-TONUSDT,10/01-12/30,-0.35044092,0.0,1,-0.35044092,0,2,2881,0.0,-0.3417655
