pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss
ETHUSDC-ETHUSDT,08/02-10/31,-0.9099646,0.0,9,-0.10110718,3,15,2881,0.026177198,-0.22663702
AXSUSDT-SANDUSDC,08/02-10/31,-4.128013,0.0,16,-0.25800082,7,25,2881,3.0450597,-4.56622
THETAUSDT-XRPUSDT,08/02-10/31,9.214098,0.0,20,0.4607049,12,28,2881,5.4551234,-2.5866563
GMTUSDC-UNIUSDT,08/02-10/31,1.2839447,0.0,29,0.044273958,14,44,2881,3.2360535,-3.321006
WAXPUSDT-ZILUSDT,08/02-10/31,1.2249676,0.0,6,0.20416127,5,7,2881,0.67941004,-1.1408656
AXSUSDT-UNIUSDT,08/02-10/31,-11.999271,0.0,19,-0.6315406,9,29,2881,1.3487965,-4.9736223
MASKUSDT-XRPUSDC,08/02-10/31,3.385458,0.0,30,0.1128486,18,42,2881,3.1260111,-2.2020018
OMGUSDT-RDNTUSDT,08/02-10/31,-0.03962624,0.0,21,-0.0018869638,9,33,2881,1.148388,-1.9208806
ALGOUSDT-ROSEUSDT,08/02-10/31,0.79789716,0.0,29,0.027513696,14,44,2881,0.69595724,-0.67114645
ONEUSDT-XRPUSDC,08/02-10/31,14.633516,0.0,27,0.5419821,18,36,2881,3.1903627,-1.8112365
ARUSDT-FILUSDT,08/02-10/31,-2.1504326,0.0,30,-0.07168109,16,44,2881,5.8324666,-15.585955
MASKUSDT-XRPUSDT,08/02-10/31,3.8808718,0.0,31,0.12518941,19,43,2881,2.7999036,-2.1068268
FLOWUSDT-MASKUSDT,08/02-10/31,2.3455956,0.0,42,0.055847514,22,62,2881,2.6273243,-2.6822035
GMTUSDT-SANDUSDT,08/02-10/31,-3.788035,0.0,25,-0.1515214,14,36,2881,0.9533034,-3.3824215
ONEUSDT-XRPUSDT,08/02-10/31,12.011572,0.0,26,0.46198353,15,37,2881,3.378655,-1.8080275
AXSUSDT-SANDUSDT,08/02-10/31,-6.748867,0.0,16,-0.4218042,6,26,2881,2.1405694,-3.9008496
THETAUSDT-XRPUSDC,08/02-10/31,10.843869,0.0,20,0.5421935,12,28,2881,6.0982184,-2.597003
BATUSDT-QTUMUSDT,08/02-10/31,-2.2813096,0.0,23,-0.099187374,13,33,2881,1.5257765,-1.8971384
ROSEUSDT-WAXPUSDT,08/02-10/31,2.0788217,0.0,7,0.2969745,4,10,2881,1.8809738,-1.0131027
UMAUSDT-WAVESUSDT,09/01-11/30,0.80212593,0.0,7,0.114589415,7,7,2881,0.34714052,-0.011247885
ONEUSDT-WAVESUSDT,09/01-11/30,0.8058846,0.0,29,0.027789123,12,46,2881,6.503053,-2.776275
FLOWUSDT-ROSEUSDT,09/01-11/30,1.9990883,0.0,3,0.66636276,2,4,2881,1.4277279,-0.4625864
BATUSDT-ICXUSDT,09/01-11/30,-6.369347,0.0,20,-0.31846735,12,28,2881,1.1952914,-4.8501334
HFTUSDC-HFTUSDT,09/01-11/30,-1.2549089,0.0,30,-0.041830298,12,48,2881,0.26309708,-0.3792946
BTCDAI-BTCUSDT,10/01-12/30,5.3010297,0.0,29,0.18279412,17,41,2881,3.4523396,-1.4498324
KSMUSDT-OMGUSDT,10/01-12/30,15.467601,0.0,33,0.4687152,20,46,2881,11.548071,-10.830097
HOOKUSDT-RVNUSDT,10/01-12/30,2.2732043,0.0,20,0.11366022,11,29,2881,0.78116715,-0.6194105
SANDUSDT-WAVESUSDT,10/01-12/30,9.139411,0.0,26,0.3515158,15,37,2881,5.3070884,-3.284418
CHZUSDC-KSMUSDT,10/01-12/30,5.2838182,0.0,28,0.1887078,19,37,2881,2.7217484,-2.8718066
BTCDAI-BTCUSDC,10/01-12/30,4.9448466,0.0,29,0.17051195,17,41,2881,3.4586332,-1.3836747
FILUSDC-WAVESUSDT,10/01-12/30,4.798991,0.0,33,0.14542398,22,44,2881,4.988369,-3.4577196
STGUSDT-XTZUSDT,10/01-12/30,-6.2239275,0.0,4,-1.5559819,1,7,2881,0.21782933,-4.0042505
ENJUSDT-MANAUSDC,10/01-12/30,3.5701156,0.0,27,0.1322265,13,41,2881,3.6939156,-3.7483437
CHZUSDT-KSMUSDT,10/01-12/30,-1.5425107,0.0,27,-0.057130028,12,42,2881,3.088628,-3.6951857
ETHDAI-STETHUSDT,10/01-12/30,6.0866895,0.0,39,0.15606897,17,61,2881,2.7776692,-2.8266177
FILUSDT-WAVESUSDT,10/01-12/30,3.5974503,0.0,40,0.08993626,23,57,2881,4.494198,-3.4363487
IDUSDT-LRCUSDT,10/01-12/30,0.9214254,0.0,3,0.3071418,3,3,2881,0.4334341,-0.015709613
ENJUSDT-MANAUSDT,10/01-12/30,4.064945,0.0,27,0.15055352,14,40,2881,3.6852188,-3.8371427
ACHUSDT-SANDUSDT,10/01-12/30,-0.86964303,0.0,5,-0.1739286,2,8,2881,1.5126265,-1.2924454
GMXUSDT-WAVESUSDT,10/01-12/30,5.5338135,0.0,26,0.21283898,18,34,2881,2.8069491,-1.2054896
FILUSDT-SANDUSDT,10/01-12/30,7.1570287,0.0,30,0.23856762,17,43,2881,3.3767247,-1.4988776
SANDUSDC-WAVESUSDT,10/01-12/30,4.4909,0.0,28,0.16038929,14,42,2881,4.2371683,-3.089074
C98USDT-QTUMUSDT,10/01-12/30,1.9287605,0.0,31,0.06221808,18,44,2881,4.4062295,-5.264239
LUNCUSDC-LUNCUSDT,10/01-12/30,7.408374,0.0,45,0.16463053,28,62,2881,4.0015383,-1.2458255
