s1,s2,reason
BCHUSDT,XECUSDT,low_correlation_0.46
FITFIUSDT,KCALUSDT,low_correlation_0.18
BCHUSDT,LTCUSDC,low_correlation_0.47
BCHUSDT,LTCUSDT,low_correlation_0.47
DOTBTC,DOTUSDT,low_correlation_0.45
DOTBTC,DOTUSDC,low_correlation_0.45
BCHUSDT,DOTUSDT,low_correlation_0.09
BCHUSDT,DOTUSDC,low_correlation_0.09
AVAXUSDC,LTCEUR,low_correlation_0.44
AVAXUSDT,LTCEUR,low_correlation_0.44
HFTUSDT,ONEUSDT,low_correlation_0.16
NFTUSDT,TRXUSDC,low_correlation_0.21
NFTUSDT,TRXUSDT,low_correlation_0.21
BCHUSDT,COMPUSDT,low_correlation_0.23
HFTUSDC,ONEUSDT,low_correlation_0.16
HFTUSDT,RVNUSDT,low_correlation_0.22
BCHUSDT,WAVESUSDT,low_correlation_0.16
BCHUSDT,BTCUSDT,low_correlation_0.27
HFTUSDC,RVNUSDT,low_correlation_0.22
BCHUSDT,SANDUSDC,low_correlation_0.14
BCHUSDT,BTCUSDC,low_correlation_0.27
BCHUSDT,SANDUSDT,low_correlation_0.14
BCHUSDT,RDNTUSDT,low_correlation_0.38
ARBUSDC,BCHUSDT,low_correlation_0.27
ARBUSDT,BCHUSDT,low_correlation_0.27
BCHUSDT,WBTCUSDT,low_correlation_0.27
BCHUSDT,BTCDAI,low_correlation_0.27
HFTUSDT,MANAUSDT,low_correlation_0.19
HFTUSDC,MANAUSDT,low_correlation_0.19
ENSUSDT,HFTUSDT,low_correlation_0.42
HFTUSDC,MANAUSDC,low_correlation_0.19
HFTUSDT,MANAUSDC,low_correlation_0.19
BCHUSDT,STETHUSDT,low_correlation_0.15
BCHUSDT,ETCUSDT,low_correlation_0.15
HFTUSDC,SANDUSDT,low_correlation_0.22
AAVEUSDT,BCHUSDT,low_correlation_0.30
HFTUSDT,SANDUSDT,low_correlation_0.22
1INCHUSDT,HFTUSDT,low_correlation_0.20
HFTUSDC,SANDUSDC,low_correlation_0.22
BCHUSDT,ETHUSDT,low_correlation_0.15
BCHUSDT,ETHUSDC,low_correlation_0.15
HFTUSDT,SANDUSDC,low_correlation_0.22
BCHUSDT,BTCEUR,low_correlation_0.33
ARBUSDT,HFTUSDT,low_correlation_0.28
ARBUSDC,HFTUSDT,low_correlation_0.28
HFTUSDT,WAVESUSDT,low_correlation_0.20
ARBUSDT,HFTUSDC,low_correlation_0.28
ARBUSDC,HFTUSDC,low_correlation_0.28
BCHUSDT,XTZUSDT,low_correlation_0.15
BELUSDT,SEIUSDT,low_correlation_0.40
ENSUSDT,HFTUSDC,low_correlation_0.42
HFTUSDC,WAVESUSDT,low_correlation_0.20
COMPUSDT,HFTUSDT,low_correlation_0.33
ARBUSDC,SEIUSDT,low_correlation_0.49
ARBUSDT,SEIUSDT,low_correlation_0.49
RDNTUSDT,SSVUSDT,low_correlation_0.49
1INCHUSDT,HFTUSDC,low_correlation_0.20
BCHUSDT,GMXUSDT,low_correlation_0.21
COMPUSDT,HFTUSDC,low_correlation_0.33
HFTUSDC,SPELLUSDT,low_correlation_0.47
APTUSDT,BCHUSDT,low_correlation_0.35
APTUSDC,BCHUSDT,low_correlation_0.35
BCHUSDT,CRVUSDT,low_correlation_0.11
BCHUSDT,MANAUSDC,low_correlation_0.19
BCHUSDT,SHIBUSDC,low_correlation_0.24
BCHUSDT,MANAUSDT,low_correlation_0.19
BCHUSDT,SHIBUSDT,low_correlation_0.24
HFTUSDT,IDUSDT,low_correlation_0.20
BELUSDT,USTCUSDT,low_correlation_0.29
AVAXUSDC,RDNTUSDT,low_correlation_0.47
BCHUSDT,ZENUSDT,low_correlation_0.27
