pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,error
BTCDAI-BTCUSDT,08/02-10/31,-9.13827896118164,0.0,32,-0.28557121753692627,15,49,2881,2.1526341438293457,-3.7544608116149902,
AVAXUSDC-CAKEUSDT,08/02-10/31,2.0191218852996826,0.0,27,0.07478228956460953,16,38,2881,8.744953155517578,-6.26104211807251,
CITYUSDT-DOTUSDC,08/02-10/31,0.5228585004806519,0.0,27,0.019365129992365837,12,42,2881,2.9386467933654785,-2.7281618118286133,
ARKMUSDT-GMTUSDC,08/02-10/31,2.557473659515381,0.0,30,0.08524911850690842,18,42,2881,1.3070831298828125,-0.7312254309654236,
HFTUSDT-RPLUSDT,08/02-10/31,-0.8310838937759399,0.0,30,-0.027702797204256058,16,44,2881,1.2403836250305176,-2.4151265621185303,
CELOUSDT-ZRXUSDT,08/02-10/31,3.255521774291992,0.0,2,1.627760887145996,2,2,2881,2.7316954135894775,-0.015819648280739784,
BATUSDT-THETAUSDT,08/02-10/31,-1.3584409952163696,0.0,34,-0.03995414823293686,20,48,2881,1.4651036262512207,-1.9080078601837158,
ALGOUSDT-CRVUSDT,08/02-10/31,0.5897283554077148,0.0,18,0.032762687653303146,10,26,2881,0.7069798707962036,-0.6616330146789551,
ROSEUSDT-WAXPUSDT,08/02-10/31,2.0788216590881348,0.0,7,0.2969745099544525,4,10,2881,1.8809738159179688,-1.013102650642395,
XECUSDT-ZILUSDT,08/02-10/31,8.63916015625,0.0,27,0.31996890902519226,16,38,2881,15.63877010345459,-12.450613021850586,
BNBUSDT-ETHWUSDT,08/02-10/31,-0.8006289005279541,0.0,27,-0.029652921482920647,16,38,2881,2.507209539413452,-4.436862468719482,
AVAXUSDT-CAKEUSDT,08/02-10/31,2.643754482269287,0.0,30,0.08812514692544937,18,42,2881,7.6153435707092285,-6.238574504852295,
CITYUSDT-DOTUSDT,08/02-10/31,0.31840646266937256,0.0,28,0.011371659114956856,12,44,2881,2.935354471206665,-2.779186964035034,
ARKMUSDT-SANDUSDT,08/02-10/31,1.1403101682662964,0.0,29,0.039321038872003555,17,41,2881,0.9931058883666992,-0.4230038821697235,
THETAUSDT-XRPUSDC,08/02-10/31,10.84386920928955,0.0,20,0.5421934723854065,12,28,2881,6.0982184410095215,-2.5970029830932617,
HFTUSDC-MOVRUSDT,08/02-10/31,5.43917179107666,0.0,31,0.1754571497440338,20,42,2881,1.3076564073562622,-1.201075792312622,
WOOUSDT-XRPUSDT,08/02-10/31,2.7528834342956543,0.0,26,0.10588013380765915,15,37,2881,2.7701547145843506,-1.5902774333953857,
ALGOUSDT-USTCUSDT,08/02-10/31,4.559767723083496,0.0,22,0.20726217329502106,18,26,2881,1.1507444381713867,-0.6535529494285583,
