pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss
ARUSDT-FILUSDT,08/02-10/31,-7.2034583,0.0,20,-0.36017293,12,28,2881,2.218776,-15.585955
AXSUSDT-SANDUSDT,08/02-10/31,-4.7570276,0.0,12,-0.39641896,5,19,2881,2.140541,-3.900863
AXSUSDT-SANDUSDC,08/02-10/31,-7.0729346,0.0,9,-0.78588164,4,14,2881,1.8333126,-4.566233
MASKUSDT-XRPUSDC,08/02-10/31,2.7522094,0.0,26,0.105854206,15,37,2881,3.1260169,-2.201986
MASKUSDT-XRPUSDT,08/02-10/31,1.1479642,0.0,24,0.047831845,14,34,2881,2.799905,-2.106826
FLOWUSDT-MASKUSDT,08/02-10/31,-0.9289059,0.0,36,-0.025802942,18,54,2881,2.6273289,-2.682216
BATUSDT-QTUMUSDT,08/02-10/31,0.34221643,0.0,18,0.019012025,11,25,2881,1.5257689,-1.8971336
ALGOUSDT-ROSEUSDT,08/02-10/31,1.053777,0.0,25,0.04215108,13,37,2881,0.69595665,-0.671147
GMTUSDT-SANDUSDT,08/02-10/31,5.049979,0.0,16,0.3156237,12,20,2881,1.5704324,-1.0466928
WAXPUSDT-ZILUSDT,08/02-10/31,0.18370733,0.0,3,0.061235774,3,3,2881,0.10603438,-0.018359989
ONEUSDT-XRPUSDC,08/02-10/31,4.8645825,0.0,20,0.24322912,12,28,2881,3.1903708,-2.1140301
ONEUSDT-XRPUSDT,08/02-10/31,9.487533,0.0,21,0.45178726,13,29,2881,3.378631,-2.0028186
FLOWUSDT-ROSEUSDT,09/01-11/30,0.94912934,0.0,2,0.47456467,1,3,2881,1.4277264,-0.46258542
BATUSDT-ICXUSDT,09/01-11/30,-6.527135,0.0,14,-0.46622393,8,20,2881,1.1953028,-4.8501344
HFTUSDC-HFTUSDT,09/01-11/30,-0.94119227,0.0,25,-0.03764769,10,40,2881,0.26310557,-0.3524234
ONEUSDT-WAVESUSDT,09/01-11/30,2.9463868,0.0,24,0.122766115,11,37,2881,6.5030427,-2.7762847
BTCDAI-BTCUSDT,10/01-12/30,4.6117983,0.0,24,0.19215827,14,34,2881,3.452333,-1.8138056
BTCDAI-BTCUSDC,10/01-12/30,3.9726863,0.0,23,0.17272548,13,33,2881,3.458625,-1.7845769
ETHDAI-STETHUSDT,10/01-12/30,8.4852295,0.0,32,0.26516342,17,47,2881,2.777664,-2.8266172
GMXUSDT-WAVESUSDT,10/01-12/30,4.6681223,0.0,19,0.24569064,14,24,2881,2.806945,-0.33106866
KSMUSDT-OMGUSDT,10/01-12/30,5.9682865,0.0,26,0.22954948,15,37,2881,11.548057,-11.543197
FILUSDC-WAVESUSDT,10/01-12/30,4.2689033,0.0,28,0.15246083,18,38,2881,4.9883857,-3.4577003
FILUSDT-WAVESUSDT,10/01-12/30,4.1628675,0.0,31,0.13428605,20,42,2881,4.494215,-3.436319
FILUSDT-SANDUSDT,10/01-12/30,2.6960237,0.0,20,0.13480118,12,28,2881,2.312179,-1.4999267
HOOKUSDT-RVNUSDT,10/01-12/30,1.9092395,0.0,17,0.112308204,9,25,2881,0.78116643,-0.61941123
STGUSDT-XTZUSDT,10/01-12/30,-6.2239304,0.0,4,-1.5559826,1,7,2881,0.21782328,-4.00425
SANDUSDC-WAVESUSDT,10/01-12/30,6.007661,0.0,21,0.28607908,13,29,2881,2.3540566,-2.1851938
SANDUSDT-WAVESUSDT,10/01-12/30,5.874742,0.0,20,0.2937371,12,28,2881,2.9809296,-2.0031388
CHZUSDC-KSMUSDT,10/01-12/30,6.039291,0.0,20,0.30196455,13,27,2881,3.093501,-2.8718026
ACHUSDT-SANDUSDT,10/01-12/30,1.4083649,0.0,3,0.46945497,2,4,2881,1.5126188,-0.98078555
LUNCUSDC-LUNCUSDT,10/01-12/30,6.694314,0.0,38,0.17616616,21,55,2881,4.001541,-1.2458259
