pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss
ETHUSDC-ETHUSDT,08/02-10/31,-0.67038614,0.0,6,-0.11173102,2,10,2881,0.026189504,-0.22663312
AXSUSDT-UNIUSDT,08/02-10/31,-13.513328,0.0,16,-0.844583,5,27,2881,1.348789,-4.9736133
ARUSDT-FILUSDT,08/02-10/31,-7.2034583,0.0,20,-0.36017293,12,28,2881,2.218776,-15.585955
AXSUSDT-SANDUSDT,08/02-10/31,-4.7570276,0.0,12,-0.39641896,5,19,2881,2.140541,-3.900863
AXSUSDT-SANDUSDC,08/02-10/31,-7.0729346,0.0,9,-0.78588164,4,14,2881,1.8333126,-4.566233
MASKUSDT-XRPUSDC,08/02-10/31,2.7522094,0.0,26,0.105854206,15,37,2881,3.1260169,-2.201986
MASKUSDT-XRPUSDT,08/02-10/31,1.1479642,0.0,24,0.047831845,14,34,2881,2.799905,-2.106826
CITYUSDT-JUVUSDT,08/02-10/31,0.41520715,0.0,23,0.018052485,5,41,2881,2.9586391,-2.6894968
ETHWUSDT-GMTUSDC,08/02-10/31,6.5277896,0.0,24,0.27199122,16,32,2881,3.1398714,-6.040352
ETHWUSDT-GMTUSDT,08/02-10/31,15.168063,0.0,22,0.6894574,17,27,2881,3.2163973,-1.3649393
THETAUSDT-XRPUSDC,08/02-10/31,10.222022,0.0,16,0.6388764,10,22,2881,6.0982165,-2.5970025
THETAUSDT-XRPUSDT,08/02-10/31,8.510765,0.0,18,0.47282028,11,25,2881,5.4551115,-2.5866573
OMGUSDT-RDNTUSDT,08/02-10/31,0.36963952,0.0,19,0.019454712,9,29,2881,1.1483898,-1.9208755
FLOWUSDT-MASKUSDT,08/02-10/31,-0.9289059,0.0,36,-0.025802942,18,54,2881,2.6273289,-2.682216
BATUSDT-UMAUSDT,08/02-10/31,-3.64921,0.0,25,-0.14596839,15,35,2881,3.2513247,-7.3930154
BATUSDT-QTUMUSDT,08/02-10/31,0.34221643,0.0,18,0.019012025,11,25,2881,1.5257689,-1.8971336
BATUSDT-PEOPLEUSDT,08/02-10/31,0.5515833,0.0,19,0.0290307,12,26,2881,1.5248518,-1.8978006
ALGOUSDT-WAXPUSDT,08/02-10/31,0.0116382055,0.0,3,0.0038794018,1,5,2881,0.7061951,-0.6670066
ALGOUSDT-ROSEUSDT,08/02-10/31,1.053777,0.0,25,0.04215108,13,37,2881,0.69595665,-0.671147
GMTUSDT-SANDUSDT,08/02-10/31,5.049979,0.0,16,0.3156237,12,20,2881,1.5704324,-1.0466928
DOGEUSDC-ETHWUSDT,08/02-10/31,3.3946824,0.0,27,0.12572898,13,41,2881,4.845551,-6.1409955
DOGEUSDT-ETHWUSDT,08/02-10/31,3.9850745,0.0,26,0.15327209,14,38,2881,4.9843745,-5.9975953
ROSEUSDT-WAXPUSDT,08/02-10/31,2.154996,0.0,6,0.359166,4,8,2881,1.880968,-1.013106
WAXPUSDT-ZILUSDT,08/02-10/31,0.18370733,0.0,3,0.061235774,3,3,2881,0.10603438,-0.018359989
ONEUSDT-XRPUSDC,08/02-10/31,4.8645825,0.0,20,0.24322912,12,28,2881,3.1903708,-2.1140301
ONEUSDT-XRPUSDT,08/02-10/31,9.487533,0.0,21,0.45178726,13,29,2881,3.378631,-2.0028186
SCUSDT-ZILUSDT,08/02-10/31,-7.912145,0.0,13,-0.60862654,6,20,2881,0.21498507,-8.274931
UMAUSDT-WAVESUSDT,09/01-11/30,0.45766398,0.0,6,0.07627733,6,6,2881,0.18002209,-0.011247888
FLOWUSDT-ROSEUSDT,09/01-11/30,0.94912934,0.0,2,0.47456467,1,3,2881,1.4277264,-0.46258542
ADAEUR-LDOUSDT,09/01-11/30,-2.9576952,0.0,23,-0.12859544,7,39,2881,4.7427254,-1.6448041
ADAEUR-LDOUSDC,09/01-11/30,-2.1001163,0.0,24,-0.08750484,9,39,2881,5.2451925,-1.7541864
BATUSDT-ICXUSDT,09/01-11/30,-6.527135,0.0,14,-0.46622393,8,20,2881,1.1953028,-4.8501344
HFTUSDC-HFTUSDT,09/01-11/30,-0.94119227,0.0,25,-0.03764769,10,40,2881,0.26310557,-0.3524234
DOGEEUR-DYDXUSDT,09/01-11/30,2.9231646,0.0,2,1.4615823,2,2,2881,1.570876,-0.035291724
ONEUSDT-WAVESUSDT,09/01-11/30,2.9463868,0.0,24,0.122766115,11,37,2881,6.5030427,-2.7762847
DAIUSDT-USDCUSDT,09/01-11/30,93.70546,0.0,10,9.370546,4,16,2881,76.252594,-9.300809
LUNCUSDC-RVNUSDT,09/01-11/30,-5.706222,0.0,34,-0.16783006,15,53,2881,11.164721,-20.474201
LUNCUSDT-RVNUSDT,09/01-11/30,42.390667,0.0,27,1.5700247,18,36,2881,14.481793,-4.129491
BTCDAI-BTCUSDT,10/01-12/30,4.6117983,0.0,24,0.19215827,14,34,2881,3.452333,-1.8138056
BTCDAI-BTCUSDC,10/01-12/30,3.9726863,0.0,23,0.17272548,13,33,2881,3.458625,-1.7845769
ETHDAI-STETHUSDT,10/01-12/30,8.4852295,0.0,32,0.26516342,17,47,2881,2.777664,-2.8266172
GMXUSDT-WAVESUSDT,10/01-12/30,4.6681223,0.0,19,0.24569064,14,24,2881,2.806945,-0.33106866
GMXUSDT-OMGUSDT,10/01-12/30,-0.5615331,0.0,3,-0.1871777,1,5,2881,0.13693321,-0.38233566
KSMUSDT-OMGUSDT,10/01-12/30,5.9682865,0.0,26,0.22954948,15,37,2881,11.548057,-11.543197
CYBERUSDT-MASKUSDT,10/01-12/30,6.2152405,0.0,21,0.29596382,16,26,2881,2.6847408,-2.8620641
ETCUSDT-KDAUSDT,10/01-12/30,-2.7791018,0.0,29,-0.095831096,16,42,2881,3.9228475,-4.351407
FILUSDC-WAVESUSDT,10/01-12/30,4.2689033,0.0,28,0.15246083,18,38,2881,4.9883857,-3.4577003
FILUSDT-WAVESUSDT,10/01-12/30,4.1628675,0.0,31,0.13428605,20,42,2881,4.494215,-3.436319
FILUSDT-SANDUSDT,10/01-12/30,2.6960237,0.0,20,0.13480118,12,28,2881,2.312179,-1.4999267
HOOKUSDT-RVNUSDT,10/01-12/30,1.9092395,0.0,17,0.112308204,9,25,2881,0.78116643,-0.61941123
CRVUSDT-VRAUSDT,10/01-12/30,0.0,0.0,0,0.0,0,0,2881,0.0,0.0
STGUSDT-XTZUSDT,10/01-12/30,-6.2239304,0.0,4,-1.5559826,1,7,2881,0.21782328,-4.00425
AVAUSDT-LRCUSDT,10/01-12/30,18.156527,0.0,19,0.95560664,11,27,2881,8.974082,-0.8689286
IDUSDT-LRCUSDT,10/01-12/30,0.9214165,0.0,3,0.30713883,3,3,2881,0.4334321,-0.015709631
SANDUSDC-WAVESUSDT,10/01-12/30,6.007661,0.0,21,0.28607908,13,29,2881,2.3540566,-2.1851938
SANDUSDT-WAVESUSDT,10/01-12/30,5.874742,0.0,20,0.2937371,12,28,2881,2.9809296,-2.0031388
ENJUSDT-MANAUSDC,10/01-12/30,-2.5408092,0.0,25,-0.101632364,11,39,2881,3.6939228,-4.850302
ENJUSDT-MANAUSDT,10/01-12/30,-1.9560318,0.0,24,-0.08150133,12,36,2881,3.685226,-4.767395
C98USDT-QTUMUSDT,10/01-12/30,4.4507904,0.0,23,0.19351263,15,31,2881,4.406225,-5.264233
CHZUSDC-KSMUSDT,10/01-12/30,6.039291,0.0,20,0.30196455,13,27,2881,3.093501,-2.8718026
CHZUSDT-KSMUSDT,10/01-12/30,9.235677,0.0,18,0.5130932,10,26,2881,5.065286,-2.7008135
ACHUSDT-SANDUSDT,10/01-12/30,1.4083649,0.0,3,0.46945497,2,4,2881,1.5126188,-0.98078555
LUNCUSDC-LUNCUSDT,10/01-12/30,6.694314,0.0,38,0.17616616,21,55,2881,4.001541,-1.2458259
