pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,error
COMPUSDT-GMXUSDT,08/02-10/31,2.248569965362549,0.0,9,0.24984110891819,6,12,2881,1.0811376571655273,-0.19366726279258728,
ARUSDT-MANAUSDC,08/02-10/31,-9.173909187316895,0.0,20,-0.4586954712867737,14,26,2881,3.85718035697937,-15.202537536621094,
INTERUSDT-XRPUSDC,08/02-10/31,1.8785851001739502,0.0,29,0.06477879732847214,14,44,2881,2.690232276916504,-3.5479917526245117,
INTERUSDT-QTUMUSDT,08/02-10/31,0.4384968876838684,0.0,27,0.016240624710917473,6,48,2881,0.3744852840900421,-0.06340937316417694,
INTERUSDT-MANAUSDC,08/02-10/31,-1.2993968725204468,0.0,31,-0.041916027665138245,11,51,2881,1.646927833557129,-2.2178945541381836,
AFCUSDT-DOTUSDC,08/02-10/31,-1.9420170783996582,0.0,14,-0.13871550559997559,7,21,2881,4.959356784820557,-4.488110542297363,
UMAUSDT-XRPUSDC,08/02-10/31,1.89817476272583,0.0,21,0.09038927406072617,8,34,2881,4.980421543121338,-8.970625877380371,
THETAUSDT-XRPUSDC,08/02-10/31,10.221977233886719,0.0,16,0.6388735771179199,10,22,2881,6.0982184410095215,-2.5970029830932617,
CTCUSDT-ICPUSDC,08/02-10/31,9.876775741577148,0.0,26,0.3798759877681732,12,40,2881,4.695761680603027,-1.8440451622009277,
ADAUSDC-PSGUSDT,08/02-10/31,-2.1674962043762207,0.0,17,-0.1274997740983963,10,24,2881,1.8463588953018188,-4.804309844970703,
FORTUSDT-SFUNDUSDT,08/02-10/31,-3.117152452468872,0.0,37,-0.08424736559391022,11,63,2881,5.901173114776611,-7.646801948547363,
DOGEUSDC-TELUSDT,08/02-10/31,-3.4844393730163574,0.0,25,-0.13937757909297943,10,40,2881,3.4998650550842285,-6.7589216232299805,
ONEUSDT-TELUSDT,08/02-10/31,11.5477933883667,0.0,22,0.5248997211456299,10,34,2881,8.334548950195312,-1.7167466878890991,
LTCBTC-XRPUSDT,08/02-10/31,6.738435745239258,0.0,14,0.48131683468818665,9,19,2881,6.617767810821533,-1.5891826152801514,
COMPUSDT-LTCUSDC,08/02-10/31,1.335503339767456,0.0,13,0.10273102670907974,7,19,2881,1.6195638179779053,-0.7877205014228821,
AXSUSDT-UNIUSDT,08/02-10/31,-13.513263702392578,0.0,16,-0.8445789813995361,5,27,2881,1.3487964868545532,-4.9736223220825195,
INTERUSDT-XRPUSDT,08/02-10/31,1.795928716659546,0.0,29,0.06192857772111893,15,43,2881,2.623495578765869,-3.5642056465148926,
INTERUSDT-ZILUSDT,08/02-10/31,2.461599826812744,0.0,29,0.08488275110721588,14,44,2881,1.5880893468856812,-0.2690906524658203,
INTERUSDT-XEMUSDT,08/02-10/31,-1.8303574323654175,0.0,25,-0.07321429997682571,4,46,2881,1.5363341569900513,-3.7224888801574707,
AFCUSDT-DOTUSDT,08/02-10/31,-1.9643511772155762,0.0,14,-0.14031079411506653,6,22,2881,4.933905601501465,-4.487490653991699,
UMAUSDT-XRPUSDT,08/02-10/31,1.834385871887207,0.0,22,0.08338117599487305,10,34,2881,4.568976879119873,-9.095253944396973,
ARKMUSDT-NEXOUSDT,08/02-10/31,3.4914774894714355,0.0,24,0.1454782336950302,16,32,2881,1.3193930387496948,-0.41218024492263794,
THETAUSDT-XRPUSDT,08/02-10/31,8.510805130004883,0.0,18,0.47282251715660095,11,25,2881,5.455123424530029,-2.586656332015991,
CTCUSDT-ICPUSDT,08/02-10/31,11.80813980102539,0.0,24,0.4920058250427246,13,35,2881,4.707946300506592,-2.083521842956543,
RSS3USDT-SCRTUSDT,08/02-10/31,3.204576253890991,0.0,8,0.4005720317363739,2,14,2881,15.367015838623047,-6.442600250244141,
ADAUSDT-PSGUSDT,08/02-10/31,-3.045316696166992,0.0,18,-0.16918426752090454,10,26,2881,1.3732380867004395,-4.458204746246338,
XDCUSDT-XTZUSDT,08/02-10/31,2.342937707901001,0.0,13,0.18022598326206207,9,17,2881,1.539307951927185,-0.09692221134901047,
ROSEUSDT-USTCUSDT,08/02-10/31,2.5167081356048584,0.0,10,0.25167080760002136,5,15,2881,1.1035258769989014,-0.7759646773338318,
ONEUSDT-XRPUSDC,08/02-10/31,4.864592552185059,0.0,20,0.24322962760925293,12,28,2881,3.1903626918792725,-2.1140799522399902,
RACAUSDT-VPADUSDT,08/02-10/31,1.8004339933395386,0.0,7,0.2572048604488373,4,10,2881,2.148087501525879,-1.4981669187545776,
COMPUSDT-LTCUSDT,08/02-10/31,0.5160186290740967,0.0,14,0.03685847297310829,7,21,2881,0.7869451642036438,-0.7680624723434448,
ARUSDT-FILUSDT,08/02-10/31,-7.203564643859863,0.0,20,-0.36017823219299316,12,28,2881,2.2187113761901855,-15.585954666137695,
INTERUSDT-ZENUSDT,08/02-10/31,3.3301773071289062,0.0,25,0.13320709764957428,8,42,2881,1.8339393138885498,-0.2752441465854645,
HNTUSDT-VPADUSDT,08/02-10/31,6.1409430503845215,0.0,5,1.2281886339187622,1,9,2881,7.513505935668945,-1.3251779079437256,
INTERUSDT-WAVESUSDT,08/02-10/31,-0.0411030650138855,0.0,23,-0.001787089742720127,5,41,2881,0.37398064136505127,-0.2289617508649826,
AFCUSDT-MDAOUSDT,08/02-10/31,10.19756031036377,0.0,13,0.7844277024269104,3,23,2881,7.418637275695801,-4.497295379638672,
ETHWUSDT-GMTUSDC,08/02-10/31,6.527736663818359,0.0,24,0.27198901772499084,16,32,2881,3.139864683151245,-6.040374755859375,
HFTUSDT-SFUNDUSDT,08/02-10/31,-3.5854804515838623,0.0,22,-0.16297638416290283,10,34,2881,2.4926352500915527,-2.691633701324463,
BICOUSDT-ROSEUSDT,08/02-10/31,-0.8859928250312805,0.0,22,-0.04027239978313446,11,33,2881,0.5373022556304932,-0.8996118307113647,
CTCUSDT-DOTUSDC,08/02-10/31,18.072860717773438,0.0,26,0.695110023021698,15,37,2881,4.53864049911499,-2.353640079498291,
RDNTUSDT-UNIUSDT,08/02-10/31,2.9472241401672363,0.0,17,0.17336612939834595,13,21,2881,1.3668681383132935,-1.1136716604232788,
BATUSDT-QTUMUSDT,08/02-10/31,0.34222501516342163,0.0,18,0.01901250146329403,11,25,2881,1.5257765054702759,-1.8971383571624756,
ALGOUSDT-IMXUSDT,08/02-10/31,2.868454933166504,0.0,23,0.12471543252468109,14,32,2881,0.9618391394615173,-0.6854751706123352,
DOGEUSDC-ETHWUSDT,08/02-10/31,3.394758701324463,0.0,27,0.12573181092739105,13,41,2881,4.845590114593506,-6.140992641448975,
ONEUSDT-XRPUSDT,08/02-10/31,9.487547874450684,0.0,21,0.4517880082130432,13,29,2881,3.378654956817627,-2.002784013748169,
ALGOBTC-NFTUSDT,08/02-10/31,-0.6090731620788574,0.0,19,-0.03205648064613342,9,29,2881,1.3310893774032593,-1.3595067262649536,
TIMEUSDT-ZENUSDT,08/02-10/31,-4.00653076171875,0.0,35,-0.11447230726480484,8,62,2881,1.676559329032898,-2.292367458343506,
