pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,error
COMPUSDT-GMXUSDT,08/02-10/31,2.248569965362549,0.20110806822776794,9,0.24984110891819,6,12,2881,1.0811376571655273,-0.19366726279258728,
SNXUSDT-SOLOUSDT,08/02-10/31,0.4181850552558899,0.22042670845985413,14,0.02987036108970642,4,24,2881,1.2178385257720947,-0.7530583143234253,
INTERUSDT-QTUMUSDT,08/02-10/31,0.4384968876838684,0.26639699935913086,27,0.016240624710917473,6,48,2881,0.3744852840900421,-0.06340937316417694,
INTERUSDT-XEMUSDT,08/02-10/31,-1.8303574323654175,0.22513613104820251,25,-0.07321429997682571,4,46,2881,1.5363341569900513,-3.7224888801574707,
CITYUSDT-DOTUSDC,08/02-10/31,-0.2881566286087036,0.21337977051734924,20,-0.014407831244170666,8,32,2881,2.9386467933654785,-2.7281618118286133,
SUSHIUSDT-UMAUSDT,08/02-10/31,-5.643356800079346,0.430536687374115,18,-0.31351983547210693,9,27,2881,1.1545627117156982,-4.88386869430542,
CELOUSDT-ZRXUSDT,08/02-10/31,3.255521774291992,0.05444662272930145,2,1.627760887145996,2,2,2881,2.7316954135894775,-0.015819648280739784,
RSS3USDT-SCRTUSDT,08/02-10/31,3.204576253890991,0.32868990302085876,8,0.4005720317363739,2,14,2881,15.367015838623047,-6.442600250244141,
BATUSDT-PEOPLEUSDT,08/02-10/31,0.5515851974487305,0.369185209274292,19,0.029030799865722656,12,26,2881,1.5248591899871826,-1.8978052139282227,
ALGOUSDT-WAXPUSDT,08/02-10/31,0.011638989672064781,0.008958614431321621,3,0.0038796633016318083,1,5,2881,0.706195056438446,-0.6670071482658386,
ROSEUSDT-WAXPUSDT,08/02-10/31,2.155029773712158,0.19642102718353271,6,0.35917162895202637,4,8,2881,1.8809738159179688,-1.013102650642395,
LTCBTC-RVNUSDT,08/02-10/31,1.9940364360809326,0.49020540714263916,10,0.19940364360809326,5,15,2881,2.8814327716827393,-0.5940425992012024,
TIMEUSDT-ZENUSDT,08/02-10/31,-4.00653076171875,0.39470070600509644,35,-0.11447230726480484,8,62,2881,1.676559329032898,-2.292367458343506,
INTERUSDT-XRPUSDC,08/02-10/31,1.8785851001739502,0.3172371983528137,29,0.06477879732847214,14,44,2881,2.690232276916504,-3.5479917526245117,
INTERUSDT-ZILUSDT,08/02-10/31,2.461599826812744,0.3209436237812042,29,0.08488275110721588,14,44,2881,1.5880893468856812,-0.2690906524658203,
INTERUSDT-WAVESUSDT,08/02-10/31,-0.0411030650138855,0.2433066964149475,23,-0.001787089742720127,5,41,2881,0.37398064136505127,-0.2289617508649826,
CITYUSDT-DOTUSDT,08/02-10/31,-0.3722834587097168,0.2084045708179474,20,-0.01861417293548584,8,32,2881,2.935354471206665,-2.779186964035034,
HFTUSDT-PSGUSDT,08/02-10/31,-3.9743130207061768,1.4661697149276733,31,-0.1282036453485489,13,49,2881,1.205237865447998,-1.6043545007705688,
HFTUSDC-MOVRUSDT,08/02-10/31,5.778192520141602,0.7368921637535095,27,0.21400712430477142,18,36,2881,1.2628443241119385,-0.8938581347465515,
RSS3USDT-XTZUSDT,08/02-10/31,7.606879711151123,0.4456292390823364,9,0.8452088832855225,5,13,2881,14.958142280578613,-6.927985668182373,
FORTUSDT-ICPUSDT,08/02-10/31,3.9414992332458496,1.1060707569122314,42,0.09384521842002869,20,64,2881,5.980608940124512,-7.861912250518799,
ALGOUSDT-ROSEUSDT,08/02-10/31,1.0537805557250977,0.3536950349807739,25,0.04215122386813164,13,37,2881,0.6959572434425354,-0.6711464524269104,
WAXPUSDT-ZILUSDT,08/02-10/31,0.1837177276611328,0.04361036792397499,3,0.06123924255371094,3,3,2881,0.10603519529104233,-0.018360009416937828,
RACAUSDT-VPADUSDT,08/02-10/31,1.8004339933395386,0.1882677972316742,7,0.2572048604488373,4,10,2881,2.148087501525879,-1.4981669187545776,
ETHUSDC-ETHUSDT,08/02-10/31,-0.6704023480415344,0.5325340628623962,6,-0.11173372715711594,2,10,2881,0.026177197694778442,-0.22663702070713043,
INTERUSDT-XRPUSDT,08/02-10/31,1.795928716659546,0.3180926442146301,29,0.06192857772111893,15,43,2881,2.623495578765869,-3.5642056465148926,
INTERUSDT-LTCUSDC,08/02-10/31,-1.2236162424087524,0.3187985420227051,30,-0.04078720882534981,15,45,2881,1.5864489078521729,-3.4687368869781494,
INTERUSDT-USTCUSDT,08/02-10/31,0.5025203824043274,0.3446836769580841,24,0.02093834988772869,7,41,2881,0.4420112669467926,-0.08389881998300552,
CITYUSDT-JUVUSDT,08/02-10/31,0.4151967763900757,0.1969699114561081,23,0.018052034080028534,5,41,2881,2.9586341381073,-2.689497232437134,
HFTUSDC-PSGUSDT,08/02-10/31,-0.22551560401916504,1.044273853302002,34,-0.006632811855524778,14,54,2881,0.7451292872428894,-0.9732336401939392,
HFTUSDT-MOVRUSDT,08/02-10/31,8.942951202392578,1.1527082920074463,24,0.3726229667663574,17,31,2881,1.9293864965438843,-2.3843679428100586,
RSS3USDT-RVNUSDT,08/02-10/31,20.921932220458984,1.826106071472168,32,0.6538103818893433,14,50,2881,15.305890083312988,-6.269296646118164,
FORTUSDT-ICPUSDC,08/02-10/31,4.489511966705322,1.0803313255310059,42,0.1068931445479393,19,65,2881,6.02486515045166,-7.910719394683838,
GMTUSDT-SANDUSDT,08/02-10/31,5.0499958992004395,0.6596810817718506,16,0.31562474370002747,12,20,2881,1.5704355239868164,-1.0466907024383545,
USTCUSDT-ZILUSDT,08/02-10/31,6.526987552642822,0.7273860573768616,20,0.3263493776321411,12,28,2881,2.916968584060669,-7.433085918426514,
AXSUSDT-UNIUSDT,08/02-10/31,-13.513263702392578,0.8691362142562866,16,-0.8445789813995361,5,27,2881,1.3487964868545532,-4.9736223220825195,
INTERUSDT-ZENUSDT,08/02-10/31,3.3301773071289062,0.2349061220884323,25,0.13320709764957428,8,42,2881,1.8339393138885498,-0.2752441465854645,
INTERUSDT-LTCUSDT,08/02-10/31,-1.6735461950302124,0.31178292632102966,29,-0.057708490639925,17,41,2881,1.6171455383300781,-3.4832212924957275,
PSGUSDT-VPADUSDT,08/02-10/31,0.19660703837871552,0.08660749346017838,10,0.01966070383787155,3,17,2881,0.25165483355522156,-0.014393195509910583,
ETHWUSDT-GMTUSDC,08/02-10/31,6.527736663818359,0.7480284571647644,24,0.27198901772499084,16,32,2881,3.139864683151245,-6.040374755859375,
HFTUSDC-RPLUSDT,08/02-10/31,0.2147199511528015,1.0182209014892578,24,0.00894666463136673,11,37,2881,1.3745607137680054,-1.7279342412948608,
CTCUSDT-DOTUSDC,08/02-10/31,18.072860717773438,0.637582540512085,26,0.695110023021698,15,37,2881,4.53864049911499,-2.353640079498291,
BATUSDT-FIDAUSDT,08/02-10/31,5.49609375,0.38709840178489685,23,0.23896059393882751,16,30,2881,2.515895128250122,-1.8820805549621582,
FORTUSDT-PSGUSDT,08/02-10/31,0.3652639389038086,1.1805232763290405,48,0.007609665393829346,16,80,2881,5.8977766036987305,-7.720026969909668,
DOGEUSDT-TELUSDT,08/02-10/31,-3.2731528282165527,1.3239988088607788,25,-0.13092611730098724,11,39,2881,3.5606191158294678,-7.499290943145752,
ONEUSDT-XRPUSDC,08/02-10/31,4.864592552185059,0.9729560613632202,20,0.24322962760925293,12,28,2881,3.1903626918792725,-2.1140799522399902,
ARUSDT-FILUSDT,08/02-10/31,-7.203564643859863,1.6033817529678345,20,-0.36017823219299316,12,28,2881,2.2187113761901855,-15.585954666137695,
INTERUSDT-STXUSDT,08/02-10/31,-0.006402313709259033,0.36663877964019775,28,-0.00022865405480843037,6,50,2881,0.3730902075767517,-0.2869150638580322,
MASKUSDT-XRPUSDC,08/02-10/31,2.7521815299987793,0.5601527690887451,26,0.1058531329035759,15,37,2881,3.1260111331939697,-2.2020018100738525,
AFCUSDT-DOTUSDC,08/02-10/31,-1.9420170783996582,0.21391400694847107,14,-0.13871550559997559,7,21,2881,4.959356784820557,-4.488110542297363,
ETHWUSDT-GMTUSDT,08/02-10/31,15.168025016784668,0.6293951869010925,22,0.6894556879997253,17,27,2881,3.2163915634155273,-1.3649424314498901,
HFTUSDT-RPLUSDT,08/02-10/31,-1.4184266328811646,1.411508560180664,23,-0.06167072430253029,12,34,2881,1.2403836250305176,-2.4151265621185303,
CTCUSDT-VPADUSDT,08/02-10/31,20.350339889526367,0.2693735361099243,9,2.2611489295959473,6,12,2881,4.910008430480957,-0.3927612006664276,
BATUSDT-UMAUSDT,08/02-10/31,-3.6492185592651367,0.4346887469291687,25,-0.1459687352180481,15,35,2881,3.2513210773468018,-7.3930158615112305,
FORTUSDT-SFUNDUSDT,08/02-10/31,-3.117152452468872,0.8887288570404053,37,-0.08424736559391022,11,63,2881,5.901173114776611,-7.646801948547363,
DOGEUSDC-TELUSDT,08/02-10/31,-3.4844393730163574,1.2725940942764282,25,-0.13937757909297943,10,40,2881,3.4998650550842285,-6.7589216232299805,
