pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,error
COMPUSDT-GMXUSDT,08/02-10/31,0.8121715784072876,0.02655908465385437,2,0.4060857892036438,2,2,2881,0.4565959870815277,-0.00760294497013092,
SNXUSDT-SOLOUSDT,08/02-10/31,0.20497338473796844,0.04863157495856285,4,0.05124334618449211,1,7,2881,0.66108238697052,-0.31550776958465576,
INTERUSDT-QTUMUSDT,08/02-10/31,-0.06709406524896622,0.10253042727708817,11,-0.006099460646510124,2,20,2881,0.0432378426194191,-0.05391714721918106,
INTERUSDT-XEMUSDT,08/02-10/31,-0.14426687359809875,0.09370283037424088,9,-0.01602965220808983,0,18,2881,0.0,-0.054360631853342056,
CITYUSDT-DOTUSDC,08/02-10/31,1.4462940692901611,0.10946890711784363,9,0.16069933772087097,4,14,2881,1.744491457939148,-0.10777641832828522,
SUSHIUSDT-UMAUSDT,08/02-10/31,-3.278848171234131,0.1677677184343338,6,-0.5464746952056885,3,9,2881,1.1545627117156982,-4.88386869430542,
CELOUSDT-ZRXUSDT,08/02-10/31,2.7158758640289307,0.03006267547607422,1,2.7158758640289307,1,1,2881,2.7316954135894775,-0.015819648280739784,
RSS3USDT-SCRTUSDT,08/02-10/31,6.117191314697266,0.24399186670780182,6,1.0195318460464478,2,10,2881,15.367015838623047,-6.442600250244141,
BATUSDT-PEOPLEUSDT,08/02-10/31,-1.2364954948425293,0.19569629430770874,10,-0.12364955246448517,6,14,2881,0.8485247492790222,-1.8978052139282227,
ALGOUSDT-WAXPUSDT,08/02-10/31,0.6800689101219177,0.006689160130918026,2,0.34003445506095886,1,3,2881,0.706195056438446,-0.022937025874853134,
ROSEUSDT-WAXPUSDT,08/02-10/31,0.3660506308078766,0.04508877545595169,2,0.1830253154039383,2,2,2881,0.3246056139469147,-0.016783948987722397,
LTCBTC-RVNUSDT,08/02-10/31,2.708120822906494,0.2126779407262802,4,0.6770302057266235,3,5,2881,2.8814327716827393,-0.4199730455875397,
TIMEUSDT-ZENUSDT,08/02-10/31,-3.2247047424316406,0.22755038738250732,20,-0.1612352430820465,5,35,2881,1.676559329032898,-2.292367458343506,
INTERUSDT-XRPUSDC,08/02-10/31,3.3864495754241943,0.11731952428817749,11,0.30785906314849854,6,16,2881,2.690232276916504,-0.06207038089632988,
INTERUSDT-ZILUSDT,08/02-10/31,0.3154437243938446,0.12239450216293335,12,0.026286976411938667,5,19,2881,0.30669817328453064,-0.05991541966795921,
INTERUSDT-WAVESUSDT,08/02-10/31,0.26507025957107544,0.0965045690536499,9,0.0294522512704134,3,15,2881,0.2293478399515152,-0.03542343154549599,
CITYUSDT-DOTUSDT,08/02-10/31,4.354072093963623,0.11353504657745361,10,0.43540722131729126,4,16,2881,2.935354471206665,-0.08920542895793915,
HFTUSDT-PSGUSDT,08/02-10/31,-2.640920639038086,0.5751291513442993,13,-0.2031477391719818,6,20,2881,1.034302830696106,-1.2695915699005127,
HFTUSDC-MOVRUSDT,08/02-10/31,1.2431244850158691,0.23817679286003113,11,0.11301131546497345,7,15,2881,0.6019080281257629,-1.201075792312622,
RSS3USDT-XTZUSDT,08/02-10/31,5.2198638916015625,0.3536829948425293,6,0.8699772953987122,2,10,2881,14.958142280578613,-6.927985668182373,
FORTUSDT-ICPUSDT,08/02-10/31,-3.4204294681549072,0.6038548946380615,25,-0.13681717216968536,12,38,2881,5.547260284423828,-7.861912250518799,
ALGOUSDT-ROSEUSDT,08/02-10/31,0.921283483505249,0.08521351218223572,8,0.11516043543815613,4,12,2881,0.6959572434425354,-0.6711464524269104,
WAXPUSDT-ZILUSDT,08/02-10/31,0.17827966809272766,0.040336817502975464,2,0.08913983404636383,2,2,2881,0.10603519529104233,-0.018360009416937828,
RACAUSDT-VPADUSDT,08/02-10/31,1.9396941661834717,0.13586844503879547,4,0.4849235415458679,2,6,2881,2.148087501525879,-0.30218374729156494,
