,PnL
2023-10-01,0.0
2023-10-02,-5.2131193903042
2023-10-03,13.149919800926
2023-10-04,-6.2777724142652005
2023-10-05,13.038311847834848
2023-10-06,-1.9241154030896723
2023-10-07,0.50938286841847
2023-10-08,3.24495617672801
2023-10-09,27.926420640549622
2023-10-10,4.501792696770281
2023-10-11,15.488999940920621
2023-10-12,-0.011107794009149075
2023-10-13,4.892244077287614
2023-10-14,-1.1575670733582228
2023-10-15,10.064941466320306
2023-10-16,0.802819094620645
2023-10-17,21.504681518301368
2023-10-18,0.3034957996569574
2023-10-19,-6.611511783674359
2023-10-20,44.83795486250892
2023-10-21,13.428170354571193
2023-10-22,-10.531113158445805
2023-10-23,15.636658276664093
2023-10-24,20.310408371966332
2023-10-25,10.634777572005987
2023-10-26,-13.683420361950994
2023-10-27,-8.40091477939859
2023-10-28,-35.05030993372202
2023-10-29,9.711221679113805
2023-10-30,3.6815403101500124
2023-10-31,0.0
2024-01-29,0.0
2024-01-30,0.0
2024-01-31,0.0
2024-02-01,0.0
2024-02-02,0.0
2024-02-03,0.0
2024-02-04,0.09791504556778818
2024-02-05,0.0
2024-02-06,-0.6923152841627598
2024-02-07,0.0
2024-02-08,0.44468681886792183
2024-02-09,0.06943688914179802
2024-02-10,0.0
2024-02-11,0.0
2024-02-12,0.0
2024-02-13,0.0
2024-02-14,0.5426289229653776
2024-02-15,0.0
2024-02-16,0.0
2024-02-17,-0.4058158928528428
2024-02-18,0.0
2024-02-19,0.0
2024-02-20,0.0
2024-02-21,0.0
2024-02-22,1.952228307723999
2024-02-23,0.0
2024-02-24,0.0
2024-02-25,0.29929690062999725
2024-02-26,0.8087839335203171
2024-02-27,0.33955635130405426
2024-02-28,0.0
