pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,error
COMPUSDT-GMXUSDT,08/02-10/31,2.248569965362549,0.20110806822776794,9,0.24984110891819,6,12,2881,1.0811376571655273,-0.19366726279258728,
TIMEUSDT-XRPUSDT,08/02-10/31,1.2014281749725342,0.4117087721824646,34,0.035336121916770935,11,57,2881,3.615689754486084,-2.29781174659729,
APTUSDC-ARBUSDT,08/02-10/31,1.4850273132324219,0.4861961305141449,18,0.08250151574611664,10,26,2881,2.229494571685791,-2.283602237701416,
DOTUSDC-SDUSDT,08/02-10/31,2.2891488075256348,0.6268490552902222,7,0.3270212709903717,6,8,2881,1.3228753805160522,-1.0430673360824585,
INTERUSDT-LUNAUSDT,08/02-10/31,2.11745285987854,0.3251124620437622,25,0.08469811081886292,13,37,2881,1.6077845096588135,-0.07357852905988693,
INTERUSDT-SOLOUSDT,08/02-10/31,-2.597907304763794,0.27258849143981934,28,-0.0927824005484581,11,45,2881,0.3780823349952698,-3.6031975746154785,
APEUSDC-PSTAKEUSDT,08/02-10/31,-0.26158082485198975,0.06332172453403473,2,-0.13079041242599487,1,3,2881,0.2214740514755249,-0.45148321986198425,
HNTUSDT-SDUSDT,08/02-10/31,-3.93569016456604,0.3561580777168274,32,-0.12299031764268875,9,55,2881,2.7546286582946777,-3.6306631565093994,
AFCUSDT-ICPUSDC,08/02-10/31,-1.4451992511749268,0.147679403424263,13,-0.11116917431354523,7,19,2881,4.940931797027588,-4.473747253417969,
AFCUSDT-VPADUSDT,08/02-10/31,-4.548769950866699,0.061680570244789124,3,-1.5162566900253296,0,6,2881,0.0,-4.488806247711182,
ETHWUSDT-XTZUSDT,08/02-10/31,1.9464967250823975,0.5339147448539734,19,0.10244719684123993,8,30,2881,2.7942800521850586,-4.022794723510742,
SUSHIUSDT-USTCUSDT,08/02-10/31,-1.3497241735458374,0.28279611468315125,13,-0.10382493585348129,6,20,2881,1.7341829538345337,-1.1532059907913208,
ARKMUSDT-IZIUSDT,08/02-10/31,5.311610221862793,0.37084728479385376,27,0.19672630727291107,20,34,2881,0.9639120101928711,-0.3687860071659088,
SDUSDT-VPADUSDT,08/02-10/31,-1.1935951709747314,0.25727006793022156,20,-0.05967975780367851,5,35,2881,3.008112907409668,-1.6622474193572998,
HFTUSDC-RPLUSDT,08/02-10/31,0.2147199511528015,1.0182209014892578,24,0.00894666463136673,11,37,2881,1.3745607137680054,-1.7279342412948608,
BICOUSDT-WAXPUSDT,08/02-10/31,0.5189287662506104,0.06278480589389801,5,0.10378575325012207,3,7,2881,0.5023279786109924,-0.2972336709499359,
OMGUSDT-RDNTUSDT,08/02-10/31,0.36965322494506836,0.334419310092926,19,0.019455432891845703,9,29,2881,1.1483880281448364,-1.9208805561065674,
1INCHUSDT-SCUSDT,08/02-10/31,6.864957332611084,0.29708966612815857,11,0.6240870356559753,6,16,2881,6.525722980499268,-2.566652774810791,
RSS3USDT-SFUNDUSDT,08/02-10/31,23.785390853881836,1.0453687906265259,31,0.7672706842422485,14,48,2881,15.365776062011719,-6.444212436676025,
