,PnL
2023-10-01,0.0
2023-10-02,-26.55327636032598
2023-10-03,30.07722351467237
2023-10-04,50.51078666187823
2023-10-05,28.840804415289313
2023-10-06,-7.873537409468554
2023-10-07,0.028467655181884766
2023-10-08,14.892248312360607
2023-10-09,52.96815196366515
2023-10-10,10.348429287725594
2023-10-11,28.235842848662287
2023-10-12,0.7753667595388833
2023-10-13,3.5153438129927963
2023-10-14,-5.407587879220955
2023-10-15,6.029405894689262
2023-10-16,19.155819941544905
2023-10-17,91.92535375524312
2023-10-18,-1.8623141166754067
2023-10-19,16.894162547774613
2023-10-20,73.37235889211297
2023-10-21,28.941906407271745
2023-10-22,-33.889939113054425
2023-10-23,14.611728514311835
2023-10-24,161.6639925125055
2023-10-25,8.542374623939395
2023-10-26,-15.099580286536366
2023-10-27,9.333457864355296
2023-10-28,-68.16125463321805
2023-10-29,-6.070544230751693
2023-10-30,2.622684382367879
2023-10-31,0.0
2023-11-01,13.926892452480388
2023-11-02,10.3917575776577
2023-11-03,-35.728894385218155
2023-11-04,1.353782810503617
2023-11-05,14.590247838757932
2023-11-06,-4.1851403473410755
2023-11-07,-8.306682587601244
2023-11-08,36.403122225543484
2023-11-09,1.9546799617819488
2023-11-10,20.86353121045977
2023-11-11,16.141258370596915
2023-11-12,29.044836678076535
2023-11-13,177.56089605437592
2023-11-14,-33.06370668282034
2023-11-15,6.340228580404073
2023-11-16,7.82099926751107
2023-11-17,-21.770635354798287
2023-11-18,23.150299946544692
2023-11-19,22.64145656430628
2023-11-20,24.61113507859409
2023-11-21,13.511272612959146
2023-11-22,-5.34136911528185
2023-11-23,-12.162350348196924
2023-11-24,-4.634862040169537
2023-11-25,-2.3155272419098765
2023-11-26,-5.266157275415026
2023-11-27,108.25045521557331
2023-11-28,14.84523683792213
2023-11-29,-8.101833384484053
2023-11-30,0.0
2024-01-29,0.0
2024-01-30,0.0
2024-01-31,0.0
2024-02-01,0.0
2024-02-02,0.0
2024-02-03,0.0
2024-02-04,0.09791504556778818
2024-02-05,0.0
2024-02-06,-0.6923152841627598
2024-02-07,0.0
2024-02-08,0.44468681886792183
2024-02-09,0.06943688914179802
2024-02-10,0.0
2024-02-11,0.0
2024-02-12,0.0
2024-02-13,0.0
2024-02-14,0.5426289229653776
2024-02-15,0.0
2024-02-16,0.0
2024-02-17,-0.4058158928528428
2024-02-18,0.0
2024-02-19,0.0
2024-02-20,0.0
2024-02-21,0.0
2024-02-22,1.952228307723999
2024-02-23,0.0
2024-02-24,0.0
2024-02-25,0.29929690062999725
2024-02-26,0.8087839335203171
2024-02-27,0.33955635130405426
2024-02-28,0.0
