,PnL
2023-10-01,0.0
2023-10-02,-6.505113562569022
2023-10-03,0.0
2023-10-04,-0.07108058780431747
2023-10-05,0.0
2023-10-06,-0.018265733029693365
2023-10-07,0.1201705529820174
2023-10-08,1.8623832315206528
2023-10-09,0.5600498467683792
2023-10-10,0.7559191826730967
2023-10-11,0.13331327959895134
2023-10-12,0.0
2023-10-13,-0.3176208045333624
2023-10-14,0.5517040565609932
2023-10-15,6.336191306822002
2023-10-16,6.590021234937012
2023-10-17,-1.308602555654943
2023-10-18,0.0
2023-10-19,2.931834675371647
2023-10-20,1.5324548110365868
2023-10-21,-0.8526173199061304
2023-10-22,-0.9516400657594204
2023-10-23,0.0
2023-10-24,5.377578072249889
2023-10-25,0.0
2023-10-26,-1.2704694792628288
2023-10-27,1.5063937567174435
2023-10-28,0.0
2023-10-29,-0.28387464955449104
2023-10-30,0.0
2023-10-31,0.0
