pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,error
BTCDAI-BTCEUR,02/01-05/31,0.18263022601604462,0.09977752715349197,6,0.030438371002674103,3,9,2881,0.42308926582336426,-0.11835791915655136,
KCSUSDT-KDAUSDT,02/01-05/31,-0.6701639890670776,0.008125209249556065,1,-0.6701639890670776,0,2,2881,0.0,-0.6665663719177246,
ATOMUSDT-KDAUSDT,02/01-05/31,-0.05241501331329346,0.02487587183713913,3,-0.017471671104431152,2,4,2881,0.0840589627623558,-0.1878226101398468,
FTTUSDT-GSWIFTUSDT,02/01-05/31,0.22586017847061157,0.03240217640995979,1,0.22586017847061157,1,1,2881,0.24226787686347961,-0.016407698392868042,
FLOWUSDT-JUVUSDT,02/01-05/31,0.0,0.0,0,0.0,0,0,2881,0.0,0.0,
AFCUSDT-CITYUSDT,02/01-05/31,0.12756800651550293,0.1658652424812317,11,0.01159709133207798,5,17,2881,4.28468132019043,-6.018687725067139,
DMAILUSDT-GMTUSDT,02/01-05/31,0.46348148584365845,0.1700906753540039,6,0.07724691182374954,5,7,2881,2.4681615829467773,-3.331373929977417,
AGLDUSDT-HFTUSDC,02/01-05/31,-0.6389769315719604,0.16100749373435974,6,-0.10649615526199341,3,9,2881,0.5004788637161255,-0.8095693588256836,
FIDAUSDT-KAVAUSDT,02/01-05/31,0.8612171411514282,0.022118868306279182,4,0.21530428528785706,4,4,2881,0.4541807770729065,-0.005088432691991329,
CGPTUSDT-FILUSDC,02/01-05/31,-0.06926301121711731,0.01555803045630455,5,-0.013852601870894432,2,8,2881,0.09142863005399704,-0.18545174598693848,
ADAUSDT-KUBUSDT,02/01-05/31,2.997800827026367,0.19270199537277222,18,0.16654449701309204,11,25,2881,1.1597460508346558,-0.45147040486335754,
C98USDT-FILUSDT,02/01-05/31,0.10252424329519272,0.025332637131214142,3,0.03417474776506424,1,5,2881,0.15292567014694214,-0.03336012735962868,
ADAUSDT-APEUSDC,02/01-05/31,0.5515479445457458,0.005625411868095398,1,0.5515479445457458,1,1,2881,0.5549411177635193,-0.0033931753132492304,
GMTUSDT-KAVAUSDT,02/01-05/31,0.0,0.0,0,0.0,0,0,2881,0.0,0.0,
