pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,error
BTCDAI-BTCEUR,02/01-05/31,-0.2541225850582123,0.2290906012058258,13,-0.01954789087176323,6,20,2881,0.42308926582336426,-0.33796924352645874,
KCSUSDT-KDAUSDT,02/01-05/31,-0.6851959824562073,0.021813489496707916,3,-0.2283986657857895,0,6,2881,0.0,-0.6665663719177246,
ATOMUSDT-KDAUSDT,02/01-05/31,0.47250622510910034,0.1290328949689865,10,0.047250621020793915,6,14,2881,0.503418505191803,-0.22436664998531342,
FTTUSDT-GSWIFTUSDT,02/01-05/31,1.2772326469421387,0.15795764327049255,5,0.25544652342796326,3,7,2881,1.1856074333190918,-0.10279829800128937,
FLOWUSDT-JUVUSDT,02/01-05/31,0.23954592645168304,0.006092560477554798,1,0.23954592645168304,1,1,2881,0.24278871715068817,-0.0032427911646664143,
AFCUSDT-CITYUSDT,02/01-05/31,-1.2587642669677734,0.19566473364830017,14,-0.08991173654794693,5,23,2881,4.28468132019043,-6.018687725067139,
DMAILUSDT-GMTUSDT,02/01-05/31,3.4094395637512207,0.2338622659444809,11,0.30994904041290283,10,12,2881,2.4681615829467773,-3.331373929977417,
AGLDUSDT-HFTUSDC,02/01-05/31,-0.5573737621307373,0.3789973258972168,15,-0.03715825080871582,9,21,2881,0.5004788637161255,-0.8095693588256836,
FIDAUSDT-KAVAUSDT,02/01-05/31,0.0934632420539856,0.07726020365953445,16,0.0058414526283741,7,25,2881,0.4541807770729065,-0.2412942349910736,
CGPTUSDT-FILUSDC,02/01-05/31,0.36840999126434326,0.04536875709891319,10,0.03684099763631821,6,14,2881,0.30126824975013733,-0.14770899713039398,
ADAUSDT-KUBUSDT,02/01-05/31,8.01125431060791,0.28527456521987915,27,0.29671311378479004,18,36,2881,3.8878822326660156,-0.24883459508419037,
C98USDT-FILUSDT,02/01-05/31,-0.3375210762023926,0.05858253687620163,8,-0.04219013452529907,2,14,2881,0.15292567014694214,-0.1579498052597046,
ADAUSDT-APEUSDC,02/01-05/31,0.618893563747406,0.006534912157803774,2,0.309446781873703,2,2,2881,0.5549411177635193,-0.0033931753132492304,
GMTUSDT-KAVAUSDT,02/01-05/31,0.4373513162136078,0.050955869257450104,8,0.054668914526700974,4,12,2881,0.3091937005519867,-0.19072629511356354,
CHZUSDT-FILUSDC,02/01-05/31,-0.9190680980682373,0.10867319256067276,4,-0.22976702451705933,1,7,2881,0.04566187039017677,-0.4812054932117462,
CHRPUSDT-DMAILUSDT,02/01-05/31,1.5896074771881104,0.10354922711849213,9,0.17662304639816284,6,12,2881,0.6703724265098572,-0.04285404086112976,
IZIUSDT-KCALUSDT,02/01-05/31,-1.4397544860839844,0.04493438079953194,5,-0.28795090317726135,1,9,2881,0.029489699751138687,-1.1323542594909668,
COMPUSDT-GTAIUSDT,02/01-05/31,-0.6774078607559204,0.2584642469882965,20,-0.0338703915476799,8,32,2881,0.22503545880317688,-0.442183256149292,
FILUSDC-GTAIUSDT,02/01-05/31,0.7189416885375977,0.022167369723320007,4,0.17973542213439941,3,5,2881,0.598844051361084,-0.14405274391174316,
