pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss
FTTUSDT-KSMUSDT,06/03-10/01,4.7088404,2.0094172954559326,57,0.08261123,27,86,2881,9.902461,-2.4826615
CELOUSDT-ENJUSDT,06/03-10/01,-7.7101884,2.190253257751465,58,-0.13293429,27,88,2881,4.11211,-3.3626976
FITFIUSDT-FLOWUSDT,06/03-10/01,13.648073,1.6964143514633179,56,0.2437156,36,75,2881,2.9464095,-1.1788993
AXSUSDT-DOTUSDC,06/03-10/01,-8.276324,2.7397217750549316,53,-0.15615706,25,81,2881,7.868233,-5.1203184
BICOUSDT-KASTAUSDT,06/03-10/01,26.975403,1.6406981945037842,48,0.5619876,28,67,2881,12.388217,-2.6798165
ERTHAUSDT-KASTAUSDT,06/03-10/01,51.927658,2.383913993835449,34,1.527284,17,51,2881,17.265371,-11.194067
FLOWUSDT-IZIUSDT,06/03-10/01,12.265493,1.3937475681304932,43,0.28524402,19,66,2881,6.713474,-1.9840164
1INCHUSDT-ICXUSDT,06/03-10/01,-4.3215256,2.1444168090820312,53,-0.081538215,27,78,2881,3.3439577,-4.3138556
GALFTUSDT-GRTUSDT,06/03-10/01,14.887871,0.2668258845806122,36,0.41355196,27,45,2881,1.3452979,-0.66972023
1INCHUSDT-AXSUSDT,06/03-10/01,-1.5785227,2.1726202964782715,55,-0.028700413,26,83,2881,2.4124649,-2.1282358
AVAUSDT-FITFIUSDT,06/03-10/01,2.2216487,2.8919520378112793,50,0.044432975,22,78,2881,5.4251842,-5.1904407
CTCUSDT-GALFTUSDT,06/03-10/01,18.844797,1.6309789419174194,46,0.4096695,27,65,2881,8.573585,-5.7699842
CELOUSDT-FITFIUSDT,06/03-10/01,19.678226,1.9855018854141235,44,0.44723243,21,66,2881,7.92092,-3.7174647
ALGOUSDT-GALFTUSDT,06/03-10/01,17.665104,1.4143755435943604,39,0.45295137,17,61,2881,16.433624,-3.836783
AVAUSDT-IZIUSDT,06/03-10/01,-22.721958,2.38547420501709,44,-0.51640815,12,76,2881,4.3463483,-2.7288587
ALGOUSDT-IZIUSDT,06/03-10/01,-5.947875,2.0339479446411133,40,-0.14869687,16,64,2881,3.5778205,-3.880934
AVAUSDT-FLOWUSDT,06/03-10/01,22.92259,2.8110156059265137,51,0.44946256,27,75,2881,6.5363946,-2.677898
FITFIUSDT-IZIUSDT,06/03-10/01,-1.6434224,1.6861567497253418,56,-0.029346827,33,79,2881,3.152424,-5.58796
FLOWUSDT-IZIUSDT,07/03-10/31,11.409511,1.2867703437805176,43,0.26533747,24,61,2881,4.782203,-9.969315
ERTHAUSDT-KASTAUSDT,07/03-10/31,0.4161358,1.3083797693252563,41,0.010149653,18,63,2881,7.646989,-11.036801
GALFTUSDT-GRTUSDT,07/03-10/31,62.085087,4.432929992675781,58,1.0704325,48,68,2881,4.649216,-3.8259323
AVAUSDT-FLOWUSDT,07/03-10/31,14.278341,0.9848538041114807,56,0.25497037,34,77,2881,3.6118028,-2.5138838
BICOUSDT-KASTAUSDT,07/03-10/31,26.19425,2.237118721008301,54,0.4850787,29,79,2881,14.383555,-3.121205
CELOUSDT-ENJUSDT,07/03-10/31,6.844474,1.3680813312530518,41,0.16693838,18,64,2881,3.2358017,-1.7263098
1INCHUSDT-ICXUSDT,07/03-10/31,8.592764,1.701723337173462,55,0.15623207,32,78,2881,3.2806787,-2.0194297
FITFIUSDT-FLOWUSDT,07/03-10/31,20.311302,1.5361263751983643,37,0.5489541,24,50,2881,6.3548064,-4.5462985
FITFIUSDT-IZIUSDT,07/03-10/31,-1.3437557,1.6414843797683716,42,-0.031994183,18,65,2881,5.5173774,-8.594448
DOTUSDC-FTTUSDT,08/02-11/30,-54.246185,50.243988037109375,50,-1.0849237,22,77,2881,7.200866,-6.5257945
1INCHUSDT-ICXUSDT,08/02-11/30,-3.7735047,3.6828837394714355,54,-0.06987972,29,78,2881,5.1148667,-2.6992738
GALFTUSDT-IZIUSDT,08/02-11/30,26.677101,1.303365707397461,32,0.8336594,17,47,2881,16.155743,-9.496878
FITFIUSDT-IZIUSDT,08/02-11/30,-14.022336,2.463613510131836,37,-0.37898207,17,57,2881,6.0093374,-8.707225
GALFTUSDT-GRTUSDT,08/02-11/30,40.60228,1.1655948162078857,35,1.1600652,21,49,2881,9.526028,-3.8001056
ERTHAUSDT-IZIUSDT,08/02-11/30,23.26537,3.325467348098755,44,0.5287584,21,67,2881,12.016594,-4.583736
CRVUSDT-DOTUSDT,08/02-11/30,-3.7987316,3.0170576572418213,36,-0.10552032,13,58,2881,2.282874,-3.1445572
ERTHAUSDT-KASTAUSDT,08/02-11/30,17.220234,4.436756610870361,52,0.33115834,34,70,2881,9.834001,-4.886047
AVAUSDT-IZIUSDT,08/02-11/30,-77.70821,4.1218061447143555,41,-1.8953223,21,61,2881,11.531733,-87.01657
AVAUSDT-FLOWUSDT,08/02-11/30,-7.0035286,4.039968490600586,37,-0.18928456,15,59,2881,10.294949,-5.9454484
BICOUSDT-KASTAUSDT,08/02-11/30,-13.677828,5.054244041442871,47,-0.29101762,26,68,2881,5.386476,-7.676244
CELOUSDT-ENJUSDT,08/02-11/30,2.6501007,6.872433185577393,36,0.07361391,18,54,2881,11.198318,-4.7791367
HNTUSDT-INTERUSDT,09/01-12/30,-2.233799,1.820892333984375,34,-0.06569997,19,48,2881,3.8884666,-9.31919
AFCUSDT-ANKRUSDT,09/01-12/30,37.025307,2.400663137435913,60,0.61708844,38,81,2881,6.3876543,-4.8141007
AVAUSDT-FLOWUSDT,09/01-12/30,4.2970233,1.6645869016647339,54,0.0795745,31,77,2881,1.6645391,-2.471915
APEUSDT-GODSUSDT,09/01-12/30,23.830303,2.1578264236450195,45,0.5295623,26,64,2881,6.1473556,-4.0054073
AFCUSDT-CITYUSDT,09/01-12/30,35.363476,0.9446060061454773,56,0.63149065,37,74,2881,6.2010045,-2.94365
FITFIUSDT-IZIUSDT,09/01-12/30,1.6948574,1.1411041021347046,38,0.04460151,16,60,2881,2.5388312,-1.7915728
FILUSDT-JUVUSDT,09/01-12/30,-59.7723,4.0800580978393555,52,-1.1494673,23,80,2881,3.1266873,-28.501554
AFCUSDT-BICOUSDT,09/01-12/30,18.253355,0.7421765327453613,38,0.48035145,23,53,2881,5.3174124,-3.7348819
FITFIUSDT-JUVUSDT,09/01-12/30,-2.2266238,1.3140720129013062,43,-0.05178195,20,66,2881,2.7931945,-5.3744116
CITYUSDT-GRTUSDT,09/01-12/30,63.729553,1.8336455821990967,63,1.0115802,44,81,2881,15.497015,-4.4261994
AVAUSDT-IZIUSDT,09/01-12/30,11.408252,1.6206047534942627,60,0.19013754,31,89,2881,11.80573,-2.7923017
FITFIUSDT-FLOWUSDT,09/01-12/30,5.9246473,1.6656795740127563,47,0.12605633,25,69,2881,1.2979087,-1.0239505
