pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss
BTCDAI-BTCEUR,02/01-05/31,8.44315,1.2383787631988525,77,0.10965129,58,95,2881,0.74200666,-0.5467781
KCSUSDT-KDAUSDT,02/01-05/31,0.7236186,0.3885982632637024,37,0.01955726,16,58,2881,1.4094367,-0.88163877
ATOMUSDT-KDAUSDT,02/01-05/31,2.6085753,0.617367148399353,52,0.050164912,26,77,2881,2.8615994,-1.3533703
FTTUSDT-GSWIFTUSDT,02/01-05/31,-6.9157085,0.98216712474823,37,-0.18691105,15,59,2881,0.9259173,-3.7117062
FLOWUSDT-JUVUSDT,02/01-05/31,-1.141926,0.28769931197166443,41,-0.027851855,16,66,2881,0.87926936,-0.7242304
AFCUSDT-CITYUSDT,02/01-05/31,6.3954196,0.4625111520290375,45,0.14212044,30,59,2881,2.2178419,-5.037631
DMAILUSDT-GMTUSDT,02/01-05/31,-4.0758014,0.417105495929718,51,-0.07991768,29,72,2881,2.7708936,-3.3707068
AGLDUSDT-HFTUSDC,02/01-05/31,-0.63034415,0.6357406377792358,50,-0.012606883,29,71,2881,1.155911,-1.2433357
FIDAUSDT-KAVAUSDT,02/01-05/31,2.6731129,0.18885871767997742,51,0.052413978,26,76,2881,1.7417779,-1.0207467
CGPTUSDT-FILUSDC,02/01-05/31,1.3671863,0.2520964443683624,51,0.026807575,25,76,2881,1.4216989,-1.0661372
ADAUSDT-KUBUSDT,02/01-05/31,5.7494116,0.41798943281173706,54,0.106470585,33,74,2881,1.8465303,-2.0541356
C98USDT-FILUSDT,02/01-05/31,2.6151958,0.26156842708587646,50,0.052303914,29,71,2881,0.974884,-0.38672104
ADAUSDT-APEUSDC,02/01-05/31,-0.7281147,0.390895813703537,41,-0.017758897,19,63,2881,0.819491,-0.8956628
GMTUSDT-KAVAUSDT,02/01-05/31,5.418968,0.2881517708301544,46,0.117803656,30,62,2881,1.1360158,-0.49225715
CHZUSDT-FILUSDC,02/01-05/31,-0.52250224,0.49153193831443787,36,-0.014513951,15,57,2881,1.3692517,-1.2710335
CHRPUSDT-DMAILUSDT,02/01-05/31,19.673845,0.6453038454055786,50,0.3934769,32,67,2881,6.5903726,-2.1579175
IZIUSDT-KCALUSDT,02/01-05/31,12.206034,0.5787916779518127,37,0.3298928,20,54,2881,5.573554,-1.325836
COMPUSDT-GTAIUSDT,02/01-05/31,-4.678488,0.645292341709137,49,-0.09547934,24,74,2881,2.1175623,-1.8614566
FILUSDC-GTAIUSDT,02/01-05/31,12.50528,0.2090642750263214,29,0.43121654,18,40,2881,3.3188465,-1.1620528
DOTUSDC-KDAUSDT,02/01-05/31,-3.4761062,0.8223506212234497,51,-0.06815895,24,77,2881,1.0545477,-1.2951462
GALFTUSDT-GRTUSDT,02/01-05/31,-6.175782,1.6095514297485352,41,-0.15062883,17,65,2881,5.598672,-4.1963634
ARTYUSDT-KUBUSDT,02/01-05/31,-1.0382965,0.9940544366836548,49,-0.021189723,20,77,2881,1.7865855,-2.4018276
FLOWUSDT-HVHUSDT,02/01-05/31,2.3495908,0.3776244521141052,38,0.061831336,16,60,2881,1.5590062,-0.5764484
CELOUSDT-FITFIUSDT,02/01-05/31,3.724897,0.5628963112831116,50,0.07449794,29,71,2881,1.4429792,-1.195932
CELOUSDT-FLOWUSDT,02/01-05/31,-0.5591643,0.569949209690094,55,-0.010166624,30,79,2881,1.2752918,-3.2059422
GENEUSDT-KDAUSDT,02/01-05/31,0.07745004,0.5161460638046265,38,0.002038159,19,57,2881,1.590006,-1.4957892
CGPTUSDT-FILUSDT,02/01-05/31,-0.5824206,0.2418578565120697,51,-0.0114200115,26,75,2881,1.2630507,-1.6599367
INSPUSDT-KSMUSDT,02/01-05/31,-11.549599,1.0570619106292725,48,-0.24061663,20,75,2881,3.9669528,-2.3363748
HFTUSDC-KUBUSDT,02/01-05/31,-3.515573,0.7812525033950806,58,-0.060613327,24,91,2881,2.633864,-1.4972618
C98USDT-CHZUSDT,02/01-05/31,-2.7434816,0.4187887907028198,51,-0.05379376,22,80,2881,1.4299442,-0.91301394
AFGUSDT-FXSUSDT,02/01-05/31,2.3033156,0.49085909128189087,29,0.07942468,12,46,2881,6.7351537,-3.5225813
CHZUSDC-FILUSDC,02/01-05/31,1.2873049,0.5231339931488037,37,0.034792025,17,57,2881,4.1700416,-1.4479759
ADAEUR-ADAUSDC,02/01-05/31,5.1177826,0.9166706800460815,87,0.058825087,64,109,2881,0.3065993,-0.19024862
IZIUSDT-KAVAUSDT,02/01-05/31,10.4642515,0.38673311471939087,33,0.31709853,18,48,2881,6.4194975,-2.1317973
ETHUSDC-ETHUSDT,02/01-05/31,-0.81643134,1.050053358078003,60,-0.013607189,27,93,2881,0.012010051,-0.038122203
FILUSDT-GTAIUSDT,02/01-05/31,6.677259,0.25462716817855835,33,0.20234118,14,52,2881,3.0684094,-1.0494667
DOTUSDT-KDAUSDT,02/01-05/31,1.3045381,0.8673622012138367,52,0.02508727,25,79,2881,2.273261,-1.2779415
CITYUSDT-KASTAUSDT,02/01-05/31,3.4637713,0.29643070697784424,38,0.09115188,15,61,2881,2.4050756,-1.2291583
