pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss
BTCDAI-BTCEUR,02/01-05/31,8.766638,1.273518443107605,78,0.11239279,59,96,2881,0.5663699,-0.6105379
KCSUSDT-KDAUSDT,02/01-05/31,4.177662,0.388118714094162,38,0.10993847,19,57,2881,1.5264755,-0.88163877
ATOMUSDT-KDAUSDT,02/01-05/31,2.5943694,0.6357978582382202,54,0.048043877,28,79,2881,2.8615994,-1.2102138
FTTUSDT-GSWIFTUSDT,02/01-05/31,-2.7115357,1.0710244178771973,41,-0.06613502,19,63,2881,0.9259173,-2.5833795
FLOWUSDT-JUVUSDT,02/01-05/31,-0.4507739,0.29492610692977905,42,-0.010732712,17,67,2881,0.9252432,-0.7242304
AFCUSDT-CITYUSDT,02/01-05/31,6.9004498,0.4797051250934601,48,0.14375937,32,63,2881,2.2178419,-3.3541207
DMAILUSDT-GMTUSDT,02/01-05/31,-2.750504,0.43255171179771423,53,-0.051896304,32,73,2881,2.7708936,-3.3707068
COMPUSDT-GTAIUSDT,02/01-05/31,-6.1407924,0.6727516055107117,52,-0.118092164,26,78,2881,2.0400727,-1.8614566
FILUSDC-GTAIUSDT,02/01-05/31,12.429327,0.2433089315891266,33,0.37664628,21,45,2881,3.4522715,-1.0002803
DOTUSDC-KDAUSDT,02/01-05/31,-1.8581463,0.8596177101135254,53,-0.035059363,25,81,2881,2.1338954,-1.2951462
GALFTUSDT-GRTUSDT,02/01-05/31,-3.6642895,1.6814196109771729,43,-0.08521604,19,67,2881,5.8141136,-4.1963634
ARTYUSDT-KUBUSDT,02/01-05/31,-1.4164319,1.0379021167755127,52,-0.027239075,23,80,2881,1.7865855,-2.4018276
FLOWUSDT-HVHUSDT,02/01-05/31,2.403557,0.3781090974807739,38,0.0632515,16,60,2881,1.5590062,-0.5817024
CELOUSDT-FITFIUSDT,02/01-05/31,4.233658,0.6168602108955383,56,0.075601034,34,78,2881,1.4429792,-1.195932
ETHUSDC-ETHUSDT,02/01-05/31,-0.78963774,1.0682871341705322,62,-0.012736092,30,94,2881,0.020483177,-0.038122203
FILUSDT-GTAIUSDT,02/01-05/31,3.424028,0.26933571696281433,35,0.09782937,16,54,2881,3.0684094,-1.0494667
DOTUSDT-KDAUSDT,02/01-05/31,3.835661,0.9135748744010925,55,0.06973929,28,82,2881,2.273261,-1.1939651
CITYUSDT-KASTAUSDT,02/01-05/31,2.729196,0.3015238046646118,39,0.069979385,15,63,2881,2.4050756,-1.2291583
ARTYUSDT-GENEUSDT,02/01-05/31,-4.5750275,1.068450927734375,48,-0.09531307,15,80,2881,2.9085317,-1.0176269
APEUSDC-HFTUSDT,02/01-05/31,4.7621727,1.0735142230987549,62,0.076809235,32,92,2881,1.0983185,-0.85275114
ETCUSDT-JUVUSDT,02/01-05/31,1.2927513,0.5682671070098877,58,0.022288816,34,82,2881,1.3585063,-1.2649359
DOTUSDC-FTTUSDT,02/01-05/31,4.1105046,0.7867316007614136,40,0.10276262,20,60,2881,2.6368968,-1.1493762
GALFTUSDT-HBARUSDT,02/01-05/31,-11.119034,1.1840847730636597,35,-0.31768668,14,55,2881,5.89938,-4.571889
APEXUSDT-AVAUSDT,02/01-05/31,0.53799486,0.7780577540397644,44,0.012227156,26,62,2881,1.5721227,-3.7450638
AFCUSDT-ANKRUSDT,02/01-05/31,5.7897882,0.37411338090896606,32,0.18093088,18,46,2881,2.5195982,-2.915777
AFCUSDT-BICOUSDT,02/01-05/31,6.9394655,0.3684332072734833,35,0.19827044,21,49,2881,2.2473664,-2.9082136
FILUSDC-JUVUSDT,02/01-05/31,8.436403,0.3515344560146332,50,0.16872807,28,72,2881,1.7473357,-0.76254606
DOTUSDT-FTTUSDT,02/01-05/31,3.1121826,0.837653398513794,42,0.074099585,19,65,2881,2.8805165,-1.1603763
APEXUSDT-KASTAUSDT,02/01-05/31,2.8793077,0.68854159116745,43,0.06696065,23,63,2881,1.0510128,-0.78436905
APEXUSDC-AVAUSDT,02/01-05/31,1.2361017,0.6898527145385742,37,0.033408154,17,57,2881,2.259864,-4.524377
AXLUSDT-FILUSDT,02/01-05/31,5.365399,0.5003535747528076,37,0.14501078,15,58,2881,3.3561478,-1.5907018
CTCUSDT-DMAILUSDT,02/01-05/31,-2.820743,0.41446495056152344,40,-0.070518576,16,64,2881,0.5270654,-0.9704964
