pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,entry_notional_count,entry_notional_cap_hits,entry_notional_below_min,entry_notional_avg,entry_notional_p50,entry_notional_min,entry_notional_max
BTCDAI-BTCEUR,02/01-05/31,28.78323,1.8470649719238281,74,0.38896257,56,91,2881,4.6360335,-3.3098214,74,0,74,7.5,7.5,7.499999523162842,7.500000476837158
KCSUSDT-KDAUSDT,02/01-05/31,7.4351635,0.8034321665763855,32,0.23234886,17,47,2881,5.777285,-4.7073064,32,0,32,7.5,7.5,7.499999523162842,7.500000476837158
ATOMUSDT-KDAUSDT,02/01-05/31,20.692842,1.2341084480285645,51,0.40574202,25,76,2881,15.789567,-3.4623625,51,0,51,7.5,7.5,7.499999523162842,7.500000476837158
FTTUSDT-GSWIFTUSDT,02/01-05/31,-4.0316305,0.844221830368042,35,-0.11518944,13,57,2881,1.4522889,-2.3724377,35,0,35,7.5,7.5,7.499999523162842,7.500000476837158
FLOWUSDT-JUVUSDT,02/01-05/31,7.060472,1.0156744718551636,40,0.1765118,16,64,2881,8.008241,-4.7765408,40,0,40,7.5,7.5,7.499999523162842,7.500000476837158
AFCUSDT-CITYUSDT,02/01-05/31,0.078894615,1.1645536422729492,43,0.0018347584,27,58,2881,22.490023,-19.787857,43,0,43,7.5,7.5,7.499999523162842,7.500000476837158
DMAILUSDT-GMTUSDT,02/01-05/31,-8.878032,1.295279860496521,50,-0.17756063,29,70,2881,5.874945,-11.36629,50,0,50,7.5,7.5,7.499999523162842,7.500000476837158
COMPUSDT-GTAIUSDT,02/01-05/31,-8.530411,1.2168165445327759,47,-0.1814981,24,70,2881,21.278221,-23.373373,47,0,47,7.5,7.5,7.499999523162842,7.500000476837158
FILUSDC-GTAIUSDT,02/01-05/31,38.6292,0.710212767124176,29,1.3320414,16,42,2881,22.730246,-12.304158,29,0,29,7.5,7.5,7.499999523162842,7.5
DOTUSDC-KDAUSDT,02/01-05/31,-4.035432,1.2000031471252441,50,-0.08070864,24,75,2881,2.3777862,-2.171576,50,0,50,7.5,7.5,7.499999523162842,7.500000476837158
GALFTUSDT-GRTUSDT,02/01-05/31,5.382592,0.8716785907745361,37,0.14547546,15,59,2881,8.956968,-11.968612,37,0,37,7.5,7.5,7.499999523162842,7.500000476837158
ARTYUSDT-KUBUSDT,02/01-05/31,-18.497252,1.1669694185256958,48,-0.3853594,19,76,2881,3.8712256,-7.2463803,48,0,48,7.5,7.5,7.499999523162842,7.500000476837158
FLOWUSDT-HVHUSDT,02/01-05/31,8.434376,0.8534226417541504,35,0.24098216,14,56,2881,16.384619,-4.0940733,35,0,35,7.5,7.5,7.499999523162842,7.500000476837158
CELOUSDT-FITFIUSDT,02/01-05/31,5.0679135,1.236151933670044,50,0.10135827,29,71,2881,7.921401,-9.902628,50,0,50,7.5,7.5,7.499999523162842,7.500000476837158
ETHUSDC-ETHUSDT,02/01-05/31,-1.035404,1.7448145151138306,57,-0.018164981,26,88,2881,0.79978615,-1.384244,57,0,57,7.5,7.5,7.499999523162842,7.500000476837158
FILUSDT-GTAIUSDT,02/01-05/31,-20.578138,0.757278561592102,31,-0.6638109,13,49,2881,8.363918,-46.54805,31,0,31,7.5,7.5,7.499999523162842,7.500000476837158
DOTUSDT-KDAUSDT,02/01-05/31,-6.460573,1.2389013767242432,51,-0.1266779,22,80,2881,2.5153763,-2.5314903,51,0,51,7.5,7.5,7.499999523162842,7.500000476837158
CITYUSDT-KASTAUSDT,02/01-05/31,-20.996767,0.8625338077545166,35,-0.59990764,12,58,2881,8.029632,-22.217234,35,0,35,7.5,7.5,7.499999523162842,7.500000476837158
ARTYUSDT-GENEUSDT,02/01-05/31,6.6088,1.0946681499481201,46,0.14366956,16,75,2881,16.975302,-3.6066678,46,0,46,7.5,7.5,7.499999523162842,7.500000476837158
APEUSDC-HFTUSDT,02/01-05/31,5.5365467,1.2322337627410889,50,0.11073093,23,77,2881,2.1061163,-1.8848174,50,0,50,7.5,7.5,7.499999523162842,7.500000476837158
ETCUSDT-JUVUSDT,02/01-05/31,21.814987,1.3555750846862793,55,0.39663613,31,79,2881,12.911302,-5.945048,55,0,55,7.5,7.5,7.499999523162842,7.500000476837158
DOTUSDC-FTTUSDT,02/01-05/31,-1.1132264,0.9227641820907593,38,-0.029295431,15,61,2881,2.5717156,-1.7170291,38,0,38,7.5,7.5,7.499999523162842,7.500000476837158
GALFTUSDT-HBARUSDT,02/01-05/31,-14.849635,0.7984963059425354,34,-0.436754,13,54,2881,4.3828344,-6.6092196,34,0,34,7.5,7.5,7.499999523162842,7.500000476837158
APEXUSDT-AVAUSDT,02/01-05/31,8.560446,0.9117648601531982,38,0.22527489,21,55,2881,3.8029358,-2.7873569,38,0,38,7.5,7.5,7.499999523162842,7.500000476837158
