pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,entry_notional_count,entry_notional_cap_hits,entry_notional_below_min,entry_notional_avg,entry_notional_p50,entry_notional_min,entry_notional_max
ETHUSDC-ETHUSDT,01/31-05/31,6.3229656,3.9536051750183105,65,0.0972764,52,78,2881,2.2725844,-1.354718,65,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDT-KDAUSDT,01/31-05/31,3.2907577,2.504225254058838,52,0.0632838,30,74,2881,4.810775,-6.1379237,52,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-KDAUSDT,01/31-05/31,-13.996398,1.7820415496826172,37,-0.37828103,15,59,2881,2.321907,-6.8656883,37,0,0,15.0,15.0,14.999999046325684,15.000000953674316
GMTUSDT-HOOKUSDT,01/31-05/31,0.87358737,2.5877535343170166,54,0.016177544,25,82,2881,2.1791508,-1.7994231,54,0,0,15.0,15.0,14.999999046325684,15.000000953674316
BATUSDT-ETCUSDT,01/31-05/31,0.7906355,2.614696502685547,54,0.014641399,29,78,2881,2.2052813,-2.8434694,54,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AXSUSDT-DOTUSDT,01/31-05/31,10.0667515,2.4719057083129883,51,0.19738728,33,69,2881,2.08568,-1.5701276,51,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDC-KDAUSDT,01/31-05/31,22.101068,2.544623374938965,53,0.4170013,33,73,2881,7.8970685,-1.501796,53,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AVAUSDT-KASTAUSDT,01/31-05/31,3.6889768,2.469369411468506,51,0.07233288,25,76,2881,10.810603,-4.184805,51,0,0,15.0,15.0,14.999999046325684,15.000000953674316
GMTUSDC-HOOKUSDT,01/31-05/31,15.924959,2.8559396266937256,59,0.26991457,30,87,2881,9.436157,-1.6615885,59,0,0,15.0,15.0,14.999999046325684,15.000000953674316
BATUSDT-JSTUSDT,01/31-05/31,-5.192107,2.688389778137207,56,-0.0927162,30,81,2881,1.9747493,-2.975258,56,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ATOMUSDT-KCALUSDT,01/31-05/31,0.74788475,1.4759868383407593,31,0.024125315,14,48,2881,4.5103683,-3.4403043,31,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DYDXUSDT-KCALUSDT,01/31-05/31,94.30131,2.525991678237915,51,1.8490453,31,70,2881,49.602135,-3.3613765,51,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-DOTUSDT,01/31-05/31,-12.777937,2.387181282043457,50,-0.25555873,22,78,2881,3.0471303,-5.3379784,50,0,0,15.0,15.0,14.999999046325684,15.000000953674316
1INCHUSDT-AXSUSDT,01/31-05/31,-2.4586098,2.3217248916625977,48,-0.05122104,24,72,2881,1.1558415,-2.31805,48,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CHZUSDC-JSTUSDT,01/31-05/31,103.66096,2.8792366981506348,56,1.8510885,41,71,2881,88.192795,-7.469607,56,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ATOMUSDT-GODSUSDT,01/31-05/31,0.7126945,2.5188841819763184,53,0.013447067,34,71,2881,2.6810498,-3.6460452,53,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DYDXUSDT-KSMUSDT,01/31-05/31,6.3320446,2.7598652839660645,57,0.1110885,33,81,2881,2.5846038,-1.4707975,57,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CELOUSDT-FLOWUSDT,01/31-05/31,1.3219794,2.583772659301758,54,0.024481101,31,76,2881,2.1744778,-3.944364,54,0,0,15.0,15.0,14.999999046325684,15.000000953674316
C98USDT-FILUSDT,01/31-05/31,9.437126,2.4862444400787354,51,0.1850417,26,76,2881,11.864548,-2.4613075,51,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CHZUSDT-JSTUSDT,01/31-05/31,30.833424,2.5500924587249756,53,0.58176273,39,66,2881,17.636837,-5.5173697,53,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CITYUSDT-IZIUSDT,01/31-05/31,75.60568,2.5066323280334473,51,1.4824643,31,70,2881,28.307234,-4.378757,51,0,0,15.0,15.0,14.999999046325684,15.000000953674316
BLURUSDT-LDOUSDT,01/31-05/31,2.7383156,1.9287338256835938,40,0.06845789,19,61,2881,3.8739872,-2.8303394,40,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ENJUSDT-FILUSDC,01/31-05/31,0.34795725,1.4709595441818237,31,0.011224427,15,47,2881,2.8156285,-2.3920734,31,0,0,15.0,15.0,14.999999046325684,15.000000953674316
APEXUSDC-KASTAUSDT,01/31-05/31,24.2346,2.808350086212158,59,0.41075593,45,72,2881,4.795589,-1.9460053,59,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOGEUSDC-JUVUSDT,01/31-05/31,-35.771217,2.655301332473755,56,-0.6387717,24,88,2881,2.9086723,-13.04527,56,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDT-FTTUSDT,01/31-05/31,0.7534871,1.805356502532959,38,0.019828608,17,58,2881,3.142048,-1.8823004,38,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AGLDUSDT-HFTUSDC,01/31-05/31,-0.13545561,2.3795268535614014,49,-0.0027644,25,73,2881,1.855249,-1.8125776,49,0,0,15.0,15.0,14.999999046325684,15.000000953674316
FIDAUSDT-HOOKUSDT,01/31-05/31,-3.4453464,2.5313665866851807,53,-0.06500653,30,76,2881,2.2022924,-5.8939524,53,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AVAUSDT-FLOWUSDT,01/31-05/31,-2.5234385,2.302396774291992,48,-0.052571636,24,71,2881,2.5076215,-3.1696699,48,0,0,15.0,15.0,14.999999046325684,15.000000953674316
