pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,entry_notional_count,entry_notional_cap_hits,entry_notional_below_min,entry_notional_avg,entry_notional_p50,entry_notional_min,entry_notional_max
BTCDAI-BTCEUR,10/03-01/31,97.370056,1.8572378158569336,44,2.2129557,33,54,2881,23.318218,-8.824377,44,0,0,12.5,12.5,12.499999046325684,12.500000953674316
APEUSDC-HFTUSDC,10/03-01/31,33.45384,2.0570642948150635,50,0.66907674,30,70,2881,24.862219,-5.9754105,50,0,0,12.5,12.5,12.499999046325684,12.500000953674316
CITYUSDT-IZIUSDT,10/03-01/31,-57.503685,1.4753549098968506,35,-1.6429625,12,58,2881,7.916378,-47.241013,35,0,0,12.5,12.5,12.499999046325684,12.500000953674316
CELOUSDT-FLOWUSDT,10/03-01/31,-47.232132,2.2684693336486816,54,-0.87466913,26,82,2881,3.0952125,-25.556795,54,0,0,12.5,12.5,12.499999046325684,12.500000953674316
ETHDAI-ETHEUR,10/03-01/31,60.60797,2.1200289726257324,52,1.165538,37,67,2881,12.197054,-3.7547321,52,0,0,12.5,12.5,12.499999046325684,12.500000953674316
APEUSDT-HFTUSDC,10/03-01/31,1.0986705,1.9599519968032837,49,0.022421846,27,71,2881,6.24843,-6.6061826,49,0,0,12.5,12.5,12.499999046325684,12.500000953674316
APEUSDC-GODSUSDT,10/03-01/31,22.037731,2.2094407081604004,54,0.40810612,25,82,2881,12.129507,-4.113384,54,0,0,12.5,12.5,12.499999046325684,12.500000953674316
AVAUSDT-IZIUSDT,10/03-01/31,-13.833187,1.2934927940368652,32,-0.4322871,13,51,2881,17.60433,-23.208916,32,0,0,12.5,12.5,12.499999046325684,12.500000953674316
BTCUSDC-BTCUSDT,10/03-01/31,0.63478917,2.9928605556488037,71,0.008940692,43,99,2881,0.7038198,-0.3998474,71,0,0,12.5,12.5,12.499999046325684,12.500000953674316
APEUSDC-HFTUSDT,10/03-01/31,3.8771985,1.978488802909851,49,0.0791265,29,69,2881,8.824876,-6.1934457,49,0,0,12.5,12.5,12.499999046325684,12.500000953674316
APEUSDT-GODSUSDT,10/03-01/31,25.781925,2.0529532432556152,50,0.51563853,27,73,2881,12.3358755,-2.5366292,50,0,0,12.5,12.5,12.499999046325684,12.500000953674316
AVAUSDT-FITFIUSDT,10/03-01/31,-18.064972,1.9508501291275024,47,-0.38436112,22,72,2881,12.279952,-14.470733,47,0,0,12.5,12.5,12.499999046325684,12.500000953674316
ETCUSDT-JUVUSDT,10/03-01/31,4.759964,1.8657124042510986,45,0.10577698,22,68,2881,25.008024,-18.162542,45,0,0,12.5,12.5,12.499999046325684,12.500000953674316
APEUSDT-HFTUSDT,10/03-01/31,8.803542,1.7902648448944092,45,0.19563428,27,63,2881,6.864109,-6.5410476,45,0,0,12.5,12.5,12.499999046325684,12.500000953674316
AFCUSDT-ANKRUSDT,10/03-01/31,34.481712,1.6400115489959717,41,0.84101737,24,57,2881,15.938157,-3.575122,41,0,0,12.5,12.5,12.499999046325684,12.500000953674316
1INCHUSDT-ACSUSDT,10/03-01/31,-29.382439,1.559507131576538,38,-0.7732221,13,63,2881,10.278357,-20.08085,38,0,0,12.5,12.5,12.5,12.500000953674316
ATOMUSDT-GODSUSDT,10/03-01/31,18.464405,2.105393886566162,51,0.36204717,26,76,2881,9.678654,-5.429923,51,0,0,12.5,12.5,12.499999046325684,12.500000953674316
AGLDUSDT-HFTUSDC,10/03-01/31,47.788094,2.362204074859619,53,0.9016622,30,76,2881,43.508015,-7.0827737,53,0,0,12.5,12.5,12.499999046325684,12.500000953674316
HOOKUSDT-KAVAUSDT,10/03-01/31,-15.564899,1.9776959419250488,48,-0.32426873,24,71,2881,1.4785731,-13.798932,48,0,0,12.5,12.5,12.499999046325684,12.500000953674316
GMTUSDC-HOOKUSDT,10/03-01/31,1.0451131,1.3349342346191406,34,0.03073862,12,55,2881,4.6813126,-2.2915268,34,0,0,12.5,12.5,12.499999046325684,12.500000953674316
ETHUSDC-ETHUSDT,10/03-01/31,-0.13731611,3.069732666015625,69,-0.0019900885,39,99,2881,0.7057489,-0.46559504,69,0,0,12.5,12.5,12.499999046325684,12.500000953674316
AGLDUSDT-HFTUSDT,10/03-01/31,55.181156,2.3670384883880615,55,1.0032938,29,80,2881,41.441338,-6.4441276,55,0,0,12.5,12.5,12.499999046325684,12.500000953674316
CRVUSDT-HFTUSDT,10/03-01/31,-3.0759244,1.7637418508529663,43,-0.07153313,22,64,2881,4.0250025,-5.8028216,43,0,0,12.5,12.5,12.499999046325684,12.500000953674316
GMTUSDT-HOOKUSDT,10/03-01/31,9.191914,1.4366650581359863,36,0.25533092,18,54,2881,4.208939,-2.4500062,36,0,0,12.5,12.5,12.499999046325684,12.500000953674316
AXSUSDT-DOTUSDT,10/03-01/31,-31.408558,2.2741281986236572,53,-0.5926143,26,80,2881,4.4160504,-30.82267,53,0,0,12.5,12.5,12.499999046325684,12.500000953674316
APEUSDC-ATOMUSDT,10/03-01/31,-3.5870254,1.951119303703308,49,-0.0732046,21,77,2881,5.015597,-4.9648323,49,0,0,12.5,12.5,12.499999046325684,12.500000953674316
CRVUSDT-HFTUSDC,10/03-01/31,1.963809,1.7523176670074463,42,0.04675736,20,64,2881,11.6474085,-6.0679903,42,0,0,12.5,12.5,12.499999046325684,12.500000953674316
AXSUSDT-DOTUSDC,10/03-01/31,-31.831913,2.3699636459350586,55,-0.57876205,26,84,2881,3.2050533,-30.21875,55,0,0,12.5,12.5,12.499999046325684,12.500000953674316
APEUSDT-ATOMUSDT,10/03-01/31,0.82285166,1.9070922136306763,48,0.017142743,21,74,2881,2.8232803,-4.5124006,48,0,0,12.5,12.5,12.499999046325684,12.500000953674316
CELOUSDT-ENJUSDT,10/03-01/31,31.270695,1.9312714338302612,47,0.6653339,28,65,2881,17.323954,-6.3554554,47,0,0,12.5,12.5,12.499999046325684,12.500000953674316
BTCDAI-BTCEUR,11/02-03/01,33.00094,2.8824410438537598,59,0.5593379,42,76,2881,10.603057,-6.6229486,59,0,0,14.926795959472656,14.92679500579834,14.926794052124023,14.92679500579834
AGLDUSDT-HFTUSDT,11/02-03/01,66.28001,2.2972779273986816,46,1.4408697,24,68,2881,57.537083,-6.996199,46,0,0,14.926797866821289,14.92679500579834,14.926794052124023,14.92679500579834
APEUSDC-GODSUSDT,11/02-03/01,5.8572903,2.191934108734131,45,0.130162,18,72,2881,24.023102,-7.5697045,45,0,0,14.926796913146973,14.92679500579834,14.926794052124023,14.92679500579834
1INCHUSDT-AXSUSDT,11/02-03/01,51.57982,2.3931472301483154,47,1.097443,29,65,2881,38.847042,-6.592834,47,0,0,14.926797866821289,14.92679500579834,14.926794052124023,14.92679500579834
ETHDAI-ETHEUR,11/02-03/01,131.14316,2.9373154640197754,58,2.2610888,40,75,2881,96.780205,-2.252784,58,0,0,14.926795959472656,14.926794052124023,14.926794052124023,14.92679500579834
APEUSDC-HFTUSDT,11/02-03/01,-41.128845,2.2031333446502686,44,-0.9347465,17,71,2881,14.308955,-18.624693,44,0,0,14.926796913146973,14.92679500579834,14.926794052124023,14.92679500579834
APEUSDT-GODSUSDT,11/02-03/01,-29.433317,2.6331138610839844,53,-0.5553456,25,81,2881,21.0122,-13.983695,53,0,0,14.926796913146973,14.926794052124023,14.926794052124023,14.92679500579834
DOGEUSDC-JUVUSDT,11/02-03/01,-19.239708,2.6044745445251465,46,-0.41825452,24,68,2881,44.99946,-74.696594,46,0,0,14.926797866821289,14.926794052124023,14.926794052124023,14.92679500579834
BTCUSDC-BTCUSDT,11/02-03/01,0.3063557,3.0844292640686035,64,0.004786808,18,110,2881,0.6461676,-0.546733,64,0,0,14.92679500579834,14.92679500579834,14.926794052124023,14.92679500579834
APEUSDC-HFTUSDC,11/02-03/01,-27.507353,2.3299083709716797,47,-0.58526284,23,71,2881,13.392997,-19.30056,47,0,0,14.926797866821289,14.926794052124023,14.926794052124023,14.92679500579834
HOOKUSDT-KAVAUSDT,11/02-03/01,-13.492277,2.4768855571746826,51,-0.26455444,23,79,2881,18.88605,-7.0591226,51,0,0,14.926795959472656,14.926794052124023,14.926794052124023,14.92679500579834
FITFIUSDT-IZIUSDT,11/02-03/01,61.94002,2.6384077072143555,55,1.1261822,34,76,2881,12.891094,-7.3964114,55,0,0,14.926797866821289,14.926794052124023,14.926794052124023,14.92679500579834
ETHUSDC-ETHUSDT,11/02-03/01,-2.526799,2.972414016723633,61,-0.041422933,16,106,2881,0.25128442,-0.57295734,61,0,0,14.926796913146973,14.92679500579834,14.926794052124023,14.92679500579834
APEUSDT-HFTUSDT,11/02-03/01,-63.635384,2.2314162254333496,44,-1.4462587,18,70,2881,12.659698,-38.202427,44,0,0,14.926796913146973,14.926794052124023,14.926794052124023,14.92679500579834
CELOUSDT-ENJUSDT,11/02-03/01,-31.774916,2.982323169708252,62,-0.5124986,28,96,2881,11.575053,-23.16829,62,0,0,14.926796913146973,14.926794052124023,14.926794052124023,14.92679500579834
IZIUSDT-KAVAUSDT,11/02-03/01,-3.837142,1.780411720275879,37,-0.10370654,14,60,2881,8.811866,-9.971476,37,0,0,14.926795959472656,14.92679500579834,14.926794052124023,14.92679500579834
ATOMUSDT-GODSUSDT,11/02-03/01,-20.831814,2.617672920227051,51,-0.40846694,30,72,2881,19.168055,-54.375885,51,0,0,14.926795959472656,14.926794052124023,14.926794052124023,14.92679500579834
APEUSDT-HFTUSDC,11/02-03/01,-61.312374,2.3957996368408203,49,-1.2512729,21,77,2881,10.122337,-40.503216,49,0,0,14.92679500579834,14.92679500579834,14.926794052124023,14.92679500579834
CELOUSDT-FLOWUSDT,11/02-03/01,-35.294224,2.7192089557647705,56,-0.630254,23,89,2881,5.3069415,-12.244855,56,0,0,14.92679500579834,14.92679500579834,14.926794052124023,14.92679500579834
ERTHAUSDT-IZIUSDT,11/02-03/01,17.158142,1.9644392728805542,39,0.43995237,17,61,2881,28.240282,-24.470657,39,0,0,14.926796913146973,14.926794052124023,14.926794052124023,14.92679500579834
AXSUSDT-DOTUSDT,11/02-03/01,-26.579128,2.2084603309631348,46,-0.5778071,21,71,2881,3.9121947,-16.824152,46,0,0,14.926797866821289,14.92679500579834,14.926794052124023,14.92679500579834
APEUSDC-ATOMUSDT,11/02-03/01,-44.876526,2.620181083679199,54,-0.83104676,25,82,2881,14.436654,-12.640303,54,0,0,14.926796913146973,14.92679500579834,14.926794052124023,14.92679500579834
AVAUSDT-FITFIUSDT,11/02-03/01,54.593987,1.7573155164718628,37,1.4755131,21,53,2881,21.41063,-7.9220104,37,0,0,14.926795959472656,14.926794052124023,14.926794052124023,14.92679500579834
ACSUSDT-AGLDUSDT,11/02-03/01,22.196302,1.931787371635437,40,0.55490756,22,58,2881,16.33571,-4.2984996,40,0,0,14.926794052124023,14.92679500579834,14.926794052124023,14.92679500579834
AXSUSDT-DOTUSDC,11/02-03/01,-11.407118,2.16648006439209,44,-0.25925267,21,67,2881,5.3081245,-16.088913,44,0,0,14.926796913146973,14.92679500579834,14.926794052124023,14.92679500579834
APEUSDT-ATOMUSDT,11/02-03/01,-104.444786,2.819046974182129,56,-1.8650855,27,84,2881,9.252217,-60.488922,56,0,0,14.92679500579834,14.926794052124023,14.926794052124023,14.92679500579834
