pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,entry_notional_count,entry_notional_cap_hits,entry_notional_below_min,entry_notional_avg,entry_notional_p50,entry_notional_min,entry_notional_max
BTCDAI-BTCEUR,10/03-01/31,148.0025,2.8230013847351074,44,3.3636932,33,54,2881,35.44369,-13.4130535,44,0,0,19.0,19.0,19.0,19.0
APEUSDC-HFTUSDC,10/03-01/31,50.84984,3.126737594604492,50,1.0169967,30,70,2881,37.790573,-9.082624,50,0,0,19.0,19.0,19.0,19.000001907348633
CITYUSDT-IZIUSDT,10/03-01/31,-87.40561,2.242539405822754,35,-2.497303,12,58,2881,12.032894,-71.806335,35,0,0,19.0,19.0,19.0,19.0
ETHDAI-ETHEUR,10/03-01/31,92.12412,3.2224442958831787,52,1.7716178,37,67,2881,18.539522,-5.707193,52,0,0,19.0,19.0,18.999998092651367,19.000001907348633
APEUSDT-HFTUSDC,10/03-01/31,1.669981,2.9791269302368164,49,0.034081247,27,71,2881,9.497614,-10.041397,49,0,0,19.0,19.0,19.0,19.000001907348633
APEUSDC-GODSUSDT,10/03-01/31,33.497356,3.358349561691284,54,0.6203214,25,82,2881,18.43685,-6.2523437,54,0,0,19.0,19.0,18.999998092651367,19.0
BTCUSDC-BTCUSDT,10/03-01/31,0.96487916,4.549148082733154,71,0.013589847,43,99,2881,1.0698061,-0.607768,71,0,0,19.0,19.0,18.999998092651367,19.000001907348633
APEUSDC-HFTUSDT,10/03-01/31,5.893345,3.007302761077881,49,0.120272346,29,69,2881,13.413812,-9.414038,49,0,0,19.0,19.0,19.0,19.0
APEUSDT-GODSUSDT,10/03-01/31,39.18853,3.1204888820648193,50,0.7837706,27,73,2881,18.75053,-3.8556764,50,0,0,19.0,19.0,19.0,19.0
ETCUSDT-JUVUSDT,10/03-01/31,7.235157,2.8358829021453857,45,0.16078126,22,68,2881,38.012196,-27.607065,45,0,0,19.0,19.0,18.999998092651367,19.0
APEUSDT-HFTUSDT,10/03-01/31,13.381388,2.7212026119232178,45,0.29736418,27,63,2881,10.433446,-9.942392,45,0,0,19.0,19.0,19.0,19.000001907348633
AFCUSDT-ANKRUSDT,10/03-01/31,52.412205,2.4928178787231445,41,1.2783464,24,57,2881,24.225998,-5.4341855,41,0,0,19.0,19.0,19.0,19.0
ATOMUSDT-GODSUSDT,10/03-01/31,28.065895,3.2001986503601074,51,0.5503117,26,76,2881,14.711554,-8.253483,51,0,0,19.0,19.0,18.999998092651367,19.0
AGLDUSDT-HFTUSDC,10/03-01/31,72.63789,3.590549945831299,53,1.3705263,30,76,2881,66.13218,-10.765816,53,0,0,19.0,19.0,18.999998092651367,19.0
ETHUSDC-ETHUSDT,10/03-01/31,-0.20872045,4.665993690490723,69,-0.003024934,39,99,2881,1.0727383,-0.7077045,69,0,0,19.0,19.0,18.999998092651367,19.0
AGLDUSDT-HFTUSDT,10/03-01/31,83.87536,3.597898483276367,55,1.5250065,29,80,2881,62.990833,-9.7950735,55,0,0,19.0,19.0,18.999998092651367,19.000001907348633
AXSUSDT-DOTUSDT,10/03-01/31,-47.741016,3.4566750526428223,53,-0.9007739,26,80,2881,6.7123966,-46.850456,53,0,0,19.0,19.0,18.999998092651367,19.000001907348633
APEUSDC-ATOMUSDT,10/03-01/31,-5.452279,2.9657015800476074,49,-0.111271,21,77,2881,7.6237073,-7.546545,49,0,0,19.0,19.0,19.0,19.0
AXSUSDT-DOTUSDC,10/03-01/31,-48.384502,3.602344274520874,55,-0.87971824,26,84,2881,4.871681,-45.9325,55,0,0,19.0,19.0,19.0,19.000001907348633
APEUSDT-ATOMUSDT,10/03-01/31,1.2507348,2.898780345916748,48,0.026056975,21,74,2881,4.291386,-6.8588486,48,0,0,19.0,19.0,19.0,19.0
BTCDAI-BTCEUR,11/02-03/01,61.194508,5.3449859619140625,59,1.0371951,42,76,2881,19.661526,-12.281108,59,0,0,27.679149627685547,27.679147720336914,27.67914581298828,27.679147720336914
AGLDUSDT-HFTUSDT,11/02-03/01,122.904755,4.2599029541015625,46,2.6718426,24,68,2881,106.69252,-12.973235,46,0,0,27.67915153503418,27.679147720336914,27.67914581298828,27.679147720336914
APEUSDC-GODSUSDT,11/02-03/01,10.861338,4.064560890197754,45,0.24136306,18,72,2881,44.54667,-14.036702,45,0,0,27.679149627685547,27.679147720336914,27.67914581298828,27.679147720336914
ETHDAI-ETHEUR,11/02-03/01,243.18222,5.446741104125977,58,4.1927967,40,75,2881,179.46208,-4.177397,58,0,0,27.679149627685547,27.67914581298828,27.67914581298828,27.679147720336914
APEUSDC-HFTUSDT,11/02-03/01,-76.2663,4.085328102111816,44,-1.7333249,17,71,2881,26.53347,-34.53626,44,0,0,27.679149627685547,27.679147720336914,27.67914581298828,27.679147720336914
APEUSDT-GODSUSDT,11/02-03/01,-54.57898,4.882652282714844,53,-1.0297921,25,81,2881,38.96347,-25.930334,53,0,0,27.679153442382812,27.679147720336914,27.67914581298828,27.679147720336914
BTCUSDC-BTCUSDT,11/02-03/01,0.5680835,5.719538688659668,64,0.008876305,18,110,2881,1.1982055,-1.0138214,64,0,0,27.679147720336914,27.679147720336914,27.67914581298828,27.679147720336914
APEUSDC-HFTUSDC,11/02-03/01,-51.007607,4.320410251617432,47,-1.0852683,23,71,2881,24.834986,-35.789536,47,0,0,27.67915153503418,27.67914581298828,27.67914581298828,27.679147720336914
HOOKUSDT-KAVAUSDT,11/02-03/01,-25.019089,4.592953681945801,51,-0.49057037,23,79,2881,35.020897,-13.089916,51,0,0,27.67915153503418,27.679147720336914,27.67914581298828,27.679147720336914
ETHUSDC-ETHUSDT,11/02-03/01,-4.6855097,5.511825084686279,61,-0.076811634,16,106,2881,0.4659633,-1.0624498,61,0,0,27.67915153503418,27.679147720336914,27.67914581298828,27.679147720336914
APEUSDT-HFTUSDT,11/02-03/01,-118.00076,4.1377739906311035,44,-2.6818354,18,70,2881,23.47521,-70.83977,44,0,0,27.679149627685547,27.67914581298828,27.67914581298828,27.679147720336914
CELOUSDT-ENJUSDT,11/02-03/01,-58.921066,5.530200004577637,62,-0.9503398,28,96,2881,21.463924,-42.961567,62,0,0,27.67915153503418,27.679147720336914,27.67914581298828,27.679147720336914
ATOMUSDT-GODSUSDT,11/02-03/01,-38.628975,4.854020118713379,51,-0.75743085,30,72,2881,35.543827,-100.83063,51,0,0,27.67915153503418,27.67914581298828,27.67914581298828,27.679147720336914
APEUSDT-HFTUSDC,11/02-03/01,-113.693146,4.442594528198242,49,-2.3202684,21,77,2881,18.770117,-75.10618,49,0,0,27.679149627685547,27.679147720336914,27.67914581298828,27.679147720336914
AXSUSDT-DOTUSDT,11/02-03/01,-49.28637,4.095206260681152,46,-1.0714428,21,71,2881,7.2544856,-31.197466,46,0,0,27.67915153503418,27.679147720336914,27.67914581298828,27.679147720336914
APEUSDC-ATOMUSDT,11/02-03/01,-83.215706,4.858671188354492,54,-1.5410316,25,82,2881,26.770267,-23.439245,54,0,0,27.679153442382812,27.679147720336914,27.67914581298828,27.679147720336914
AXSUSDT-DOTUSDC,11/02-03/01,-21.152521,4.017360687255859,44,-0.48073912,21,67,2881,9.842995,-29.834095,44,0,0,27.679149627685547,27.679147720336914,27.67914581298828,27.679147720336914
APEUSDT-ATOMUSDT,11/02-03/01,-193.67471,5.227432727813721,56,-3.458477,27,84,2881,17.15663,-112.1662,56,0,0,27.679147720336914,27.679147720336914,27.67914581298828,27.679147720336914
AGLDUSDT-HFTUSDC,11/02-03/01,106.190254,4.084916591644287,44,2.413415,23,65,2881,91.1681,-12.884236,44,0,0,27.679149627685547,27.679147720336914,27.67914581298828,27.679147720336914
AFCUSDT-ANKRUSDT,11/02-03/01,81.93875,3.8950865268707275,41,1.9985061,28,53,2881,35.88581,-130.36403,41,0,0,27.67914581298828,27.679147720336914,27.67914581298828,27.679147720336914
BTCDAI-BTCEUR,12/02-03/31,174.7295,5.291312217712402,57,3.06543,41,73,2881,33.215733,-3.8523157,57,0,0,27.846397399902344,27.84639549255371,27.84639549255371,27.846397399902344
APEUSDC-HFTUSDC,12/02-03/31,67.079636,4.866806507110596,49,1.3689722,30,68,2881,35.74898,-27.93552,49,0,0,27.84639549255371,27.84639549255371,27.84639549255371,27.846397399902344
BICOUSDT-KASTAUSDT,12/02-03/31,-52.64894,3.7870681285858154,42,-1.2535462,17,67,2881,6.504805,-14.074331,42,0,0,27.84640121459961,27.846397399902344,27.84639549255371,27.846397399902344
ETHDAI-ETHEUR,12/02-03/31,168.57832,5.754242420196533,58,2.9065228,39,77,2881,56.62614,-29.087183,58,0,0,27.846397399902344,27.846397399902344,27.84639549255371,27.846397399902344
APEUSDT-HFTUSDC,12/02-03/31,111.40839,4.215505599975586,45,2.4757419,29,60,2881,29.520405,-7.8542943,45,0,0,27.846403121948242,27.846397399902344,27.84639549255371,27.846397399902344
1INCHUSDT-AXSUSDT,12/02-03/31,11.223753,4.880661964416504,54,0.20784728,26,81,2881,15.443449,-5.586301,54,0,0,27.846399307250977,27.84639549255371,27.84639549255371,27.846397399902344
ATOMUSDT-GODSUSDT,12/02-03/31,-75.81838,5.283784866333008,55,-1.3785161,28,81,2881,48.229206,-128.61456,55,0,0,27.846403121948242,27.846397399902344,27.84639549255371,27.846397399902344
APEUSDC-ATOMUSDT,12/02-03/31,55.64466,5.416032314300537,52,1.0700896,21,82,2881,59.860977,-18.581789,52,0,0,27.846397399902344,27.846397399902344,27.84639549255371,27.846397399902344
GMTUSDC-KAVAUSDT,12/02-03/31,-46.328938,4.381398677825928,48,-0.9651862,23,73,2881,15.638295,-40.376846,48,0,0,27.84639549255371,27.84639549255371,27.84639549255371,27.846397399902344
ATOMUSDT-KCALUSDT,12/02-03/31,-109.532074,4.700798988342285,51,-2.1476877,26,75,2881,22.486004,-38.1834,51,0,0,27.846397399902344,27.84639549255371,27.84639549255371,27.846397399902344
APEUSDT-ATOMUSDT,12/02-03/31,9.428955,5.168088912963867,53,0.17790481,22,84,2881,64.296104,-21.342823,53,0,0,27.846399307250977,27.846397399902344,27.84639549255371,27.846397399902344
GMTUSDT-KAVAUSDT,12/02-03/31,-279.68976,4.397628307342529,46,-6.080212,18,74,2881,9.921642,-231.20703,46,0,0,27.846403121948242,27.846397399902344,27.84639549255371,27.846397399902344
CAKEUSDT-FIDAUSDT,12/02-03/31,-29.98695,4.883895397186279,49,-0.6119786,18,80,2881,54.311607,-41.85724,49,0,0,27.84639549255371,27.846397399902344,27.84639549255371,27.846397399902344
AFCUSDT-ANKRUSDT,12/02-03/31,-129.75833,4.69859504699707,49,-2.6481292,26,71,2881,22.908653,-100.019356,49,0,0,27.84639549255371,27.846397399902344,27.84639549255371,27.846397399902344
APEUSDT-GODSUSDT,12/02-03/31,41.387905,4.722322940826416,52,0.79592127,30,74,2881,18.110348,-14.0024805,52,0,0,27.846397399902344,27.84639549255371,27.84639549255371,27.846397399902344
GODSUSDT-KCALUSDT,12/02-03/31,-192.76761,5.2358293533325195,56,-3.4422786,28,83,2881,7.688126,-92.605125,56,0,0,27.84639549255371,27.846397399902344,27.84639549255371,27.846397399902344
AGLDUSDT-HFTUSDC,12/02-03/31,-13.944777,4.240177631378174,47,-0.29669738,23,71,2881,20.559072,-14.767679,47,0,0,27.846405029296875,27.84639549255371,27.84639549255371,27.846397399902344
BICOUSDT-ETHWUSDT,12/02-03/31,14.96953,4.428588390350342,49,0.30550063,30,68,2881,6.852213,-3.2351995,49,0,0,27.84639549255371,27.846397399902344,27.84639549255371,27.846397399902344
AGLDUSDT-HFTUSDT,12/02-03/31,-18.542336,4.357026100158691,49,-0.37841502,23,75,2881,11.033612,-17.220848,49,0,0,27.846397399902344,27.846397399902344,27.84639549255371,27.846397399902344
AVAUSDT-FITFIUSDT,12/02-03/31,18.798813,4.767851829528809,52,0.36151564,26,78,2881,18.14576,-5.1409397,52,0,0,27.846397399902344,27.84639549255371,27.84639549255371,27.846397399902344
