pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,entry_notional_count,entry_notional_cap_hits,entry_notional_below_min,entry_notional_avg,entry_notional_p50,entry_notional_min,entry_notional_max
BTCUSDC-BTCUSDT,10/03-01/31,-1.5428972,4.221166610717773,65,-0.023736881,27,102,2881,0.96909547,-0.35820282,65,0,65,20.0,20.0,19.999998092651367,20.000001907348633
DYDXUSDT-KSMUSDT,10/03-01/31,-25.550415,3.100083589553833,47,-0.54362583,25,68,2881,2.5507972,-17.921358,47,0,47,20.0,20.0,20.0,20.0
CBKUSDT-FILUSDC,10/03-01/31,71.03761,2.5048794746398926,38,1.8694109,15,60,2881,65.7555,-7.5611224,38,0,38,20.0,20.0,19.999998092651367,20.000001907348633
BATUSDT-JSTUSDT,10/03-01/31,23.455372,3.9483561515808105,56,0.41884592,35,77,2881,53.185894,-93.208336,56,0,56,20.0,20.0,19.999998092651367,20.000001907348633
ETHDAI-ETHEUR,10/03-01/31,398.5159,5.0303754806518555,79,5.044505,68,90,2881,74.148705,-8.547455,79,0,79,20.0,20.0,19.999998092651367,20.000001907348633
APEUSDC-HFTUSDC,10/03-01/31,33.892075,3.179647445678711,48,0.7060849,27,68,2881,11.685495,-3.2727485,48,0,48,20.0,20.0,19.999998092651367,20.000001907348633
CBKUSDT-ENJUSDT,10/03-01/31,167.71803,3.3307650089263916,47,3.5684688,24,70,2881,161.22804,-13.734598,47,0,47,20.0,20.0,19.999998092651367,20.0
GODSUSDT-KCALUSDT,10/03-01/31,-33.80757,2.3820252418518066,37,-0.91371816,13,61,2881,10.448586,-14.182417,37,0,37,20.0,20.0,20.0,20.000001907348633
ETHUSDC-ETHUSDT,10/03-01/31,0.9867785,4.535820960998535,59,0.01672506,32,86,2881,2.9836438,-0.7207545,59,0,59,20.0,20.0,19.999998092651367,20.000001907348633
APEUSDT-HFTUSDC,10/03-01/31,23.035898,3.308842658996582,49,0.47012037,26,71,2881,34.503883,-17.083956,49,0,49,20.0,20.0,20.0,20.000001907348633
CBKUSDT-ETCUSDT,10/03-01/31,88.28599,3.2043652534484863,48,1.8392915,22,73,2881,100.54822,-14.804889,48,0,48,20.0,20.0,19.999998092651367,20.000001907348633
GMTUSDT-KCALUSDT,10/03-01/31,-21.522821,2.4297125339508057,38,-0.56639004,16,59,2881,6.994489,-26.261625,38,0,38,20.0,20.0,20.0,20.0
AVAUSDT-FLOWUSDT,10/03-01/31,-5.2492337,3.497530937194824,55,-0.09544061,27,82,2881,6.654458,-7.93577,55,0,55,20.0,20.0,20.0,20.000001907348633
AXLUSDT-IZIUSDT,10/03-01/31,89.65104,3.3699424266815186,49,1.8296131,28,70,2881,57.62591,-29.883091,49,0,49,20.0,20.0,20.0,20.0
BICOUSDT-DUELUSDT,10/03-01/31,2.2559652,2.8785462379455566,45,0.05013256,22,67,2881,8.67058,-11.555479,45,0,45,20.0,20.0,20.0,20.0
GMTUSDC-KCALUSDT,10/03-01/31,-56.14359,2.4331185817718506,36,-1.5595441,21,51,2881,6.951667,-74.10837,36,0,36,20.0,20.0,19.999998092651367,20.000001907348633
CYBERUSDT-FIDAUSDT,10/03-01/31,22.414423,3.765324592590332,53,0.42291364,29,76,2881,55.584282,-20.049606,53,0,53,20.0,20.0,20.0,20.0
FLOWUSDT-JSTUSDT,10/03-01/31,40.195885,3.4560861587524414,48,0.83741426,30,65,2881,35.87113,-13.733895,48,0,48,20.0,20.0,20.0,20.000001907348633
DMAILUSDT-FIDAUSDT,10/03-01/31,28.187992,2.5941858291625977,41,0.687512,21,60,2881,23.080462,-9.331136,41,0,41,20.0,20.0,20.0,20.0
BATUSDT-ETCUSDT,10/03-01/31,-18.638042,3.083138942718506,47,-0.39655408,19,74,2881,19.931755,-10.574062,47,0,47,20.0,20.0,19.999998092651367,20.000001907348633
DYDXUSDT-KCALUSDT,10/03-01/31,-20.003162,2.60357666015625,39,-0.5129016,19,58,2881,8.999423,-27.046064,39,0,39,20.0,20.0,19.999998092651367,20.000001907348633
AFCUSDT-CITYUSDT,10/03-01/31,-43.062244,2.9581971168518066,44,-0.97868735,20,68,2881,25.38704,-48.083298,44,0,44,20.0,20.0,20.0,20.000001907348633
1INCHUSDT-AXSUSDT,10/03-01/31,88.22868,3.997562885284424,56,1.5755122,27,85,2881,60.724064,-24.756504,56,0,56,20.0,20.0,20.0,20.000001907348633
ENJUSDT-FILUSDC,10/03-01/31,8.927854,3.5250656604766846,55,0.1623246,25,84,2881,9.122589,-3.5439358,55,0,55,20.0,20.0,20.0,20.0
AVAUSDT-KASTAUSDT,10/03-01/31,24.86143,2.1103765964508057,33,0.75337666,14,51,2881,11.9122,-7.8265295,33,0,33,20.0,20.0,19.999998092651367,20.0
BICOUSDT-KASTAUSDT,10/03-01/31,9.4264555,2.592231035232544,41,0.22991355,20,61,2881,4.935458,-9.238061,41,0,41,20.0,20.0,20.0,20.000001907348633
FIDAUSDT-KAVAUSDT,10/03-01/31,-15.793414,3.378701686859131,51,-0.3096748,25,77,2881,16.293516,-14.754099,51,0,51,20.0,20.0,20.0,20.000001907348633
ARKMUSDT-ARUSDT,10/03-01/31,-12.781904,3.5435807704925537,55,-0.23239826,29,80,2881,15.321417,-15.655394,55,0,55,20.0,20.0,20.0,20.000001907348633
CBKUSDT-FILUSDT,10/03-01/31,67.66913,2.5921709537506104,39,1.7351059,16,61,2881,65.69604,-9.080529,39,0,39,20.0,20.0,19.999998092651367,20.000001907348633
1INCHUSDT-ICXUSDT,10/03-01/31,8.020656,3.4738430976867676,52,0.15424338,31,73,2881,7.370184,-3.5654037,52,0,52,20.0,20.0,19.999998092651367,20.000001907348633
ETHDAI-ETHEUR,11/02-03/02,117.36372,8.802178382873535,71,1.6530102,55,87,2881,36.626755,-4.2677007,71,0,0,38.18950271606445,38.18950271606445,38.18950271606445,38.18950653076172
APEUSDC-HFTUSDC,11/02-03/02,5.210861,6.226569175720215,51,0.102173746,28,73,2881,12.209107,-6.991399,51,0,0,38.18950271606445,38.18950271606445,38.18950271606445,38.18950653076172
BATUSDT-JSTUSDT,11/02-03/02,-100.518845,5.630910873413086,45,-2.233752,21,68,2881,10.252768,-100.37976,45,0,0,38.18949508666992,38.18950271606445,38.18950271606445,38.18950653076172
CHZUSDC-JSTUSDT,11/02-03/02,0.17380524,5.458621978759766,44,0.003950119,19,68,2881,28.895996,-42.89215,44,0,0,38.18950271606445,38.18950271606445,38.18950271606445,38.18950653076172
ETHUSDC-ETHUSDT,11/02-03/02,-5.9928293,6.779497146606445,55,-0.10896053,8,102,2881,0.3712297,-1.2591064,55,0,0,38.18949890136719,38.18950271606445,38.18950271606445,38.18950653076172
APEUSDT-HFTUSDC,11/02-03/02,-10.750927,6.916817665100098,55,-0.1954714,33,77,2881,6.365121,-21.22544,55,0,0,38.18949890136719,38.18950271606445,38.18950271606445,38.18950653076172
AFCUSDT-CITYUSDT,11/02-03/02,210.93538,6.693205833435059,49,4.304804,26,71,2881,175.9199,-14.303034,49,0,0,38.18950271606445,38.18950271606445,38.18950271606445,38.18950653076172
CHZUSDT-JSTUSDT,11/02-03/02,-97.570465,6.582422256469727,52,-1.876355,28,76,2881,12.539001,-109.99298,52,0,0,38.18949890136719,38.18950271606445,38.18950271606445,38.18950653076172
CYBERUSDT-FIDAUSDT,11/02-03/02,-14.040036,5.703716278076172,46,-0.3052182,17,74,2881,12.334249,-10.202077,46,0,0,38.18949508666992,38.18950271606445,38.18950271606445,38.18950653076172
FLOWUSDT-JSTUSDT,11/02-03/02,-70.25251,5.494823932647705,44,-1.596648,20,68,2881,5.1892123,-27.294353,44,0,0,38.18949890136719,38.18950271606445,38.18950271606445,38.18950653076172
GODSUSDT-KCALUSDT,11/02-03/02,-92.33267,5.054744720458984,41,-2.2520163,10,72,2881,7.6401353,-37.648514,41,0,0,38.18950271606445,38.18950271606445,38.18950271606445,38.18950653076172
CSPRUSDT-GTAIUSDT,11/02-03/02,-48.386414,6.478391647338867,53,-0.9129512,31,75,2881,16.284935,-32.790623,53,0,0,38.18949890136719,38.18950271606445,38.18950271606445,38.18950653076172
AVAUSDT-KASTAUSDT,11/02-03/02,-34.44279,5.961702346801758,47,-0.73282534,21,73,2881,47.721107,-79.113976,47,0,0,38.18949508666992,38.18950271606445,38.18950271606445,38.18950653076172
BICOUSDT-KASTAUSDT,11/02-03/02,-59.038292,5.961875915527344,47,-1.2561339,24,70,2881,7.586873,-54.080994,47,0,0,38.18949890136719,38.18950271606445,38.18950271606445,38.18950653076172
GMTUSDT-KCALUSDT,11/02-03/02,-82.16825,6.059206485748291,47,-1.7482606,20,74,2881,19.795069,-115.92,47,0,0,38.18949890136719,38.18950271606445,38.18950271606445,38.18950653076172
CSPRUSDT-FTTUSDT,11/02-03/02,70.847466,5.665648460388184,47,1.5073929,27,66,2881,58.398323,-28.811447,47,0,0,38.18949508666992,38.18950271606445,38.18950271606445,38.18950653076172
DYDXUSDT-KCALUSDT,11/02-03/02,26.098076,5.264659881591797,43,0.606932,20,65,2881,16.303562,-2.962122,43,0,0,38.18949890136719,38.18950271606445,38.18950271606445,38.18950653076172
