,PnL
2024-01-01,0.0
2024-01-02,-63.32580968318507
2024-01-03,-740.8527860082686
2024-01-04,52.60623647272587
2024-01-05,317.4682126734406
2024-01-06,158.11784597858787
2024-01-07,-12.855457097757608
2024-01-08,-25.32816174440086
2024-01-09,26.86209235340357
2024-01-10,-58.54796462878585
2024-01-11,37.11754943430424
2024-01-12,107.05983544280753
2024-01-13,-48.090236767427996
2024-01-14,224.89990030229092
2024-01-15,-94.138953988906
2024-01-16,-1.2864676378667355
2024-01-17,-77.04807779192924
2024-01-18,-43.750754059292376
2024-01-19,38.93217233940959
2024-01-20,-24.058026649057865
2024-01-21,-20.532670102082193
2024-01-22,-63.48285378143191
2024-01-23,9.943773534148932
2024-01-24,6.160494374111295
2024-01-25,93.91357971169055
2024-01-26,3.8191138240508735
2024-01-27,73.19621244817972
2024-01-28,-63.11497327871621
2024-01-29,102.85438111051917
2024-01-30,8.521263346076012
2024-01-31,-0.04800000041723251
2024-02-01,0.0
2024-02-02,0.0
2024-02-03,0.0
2024-02-04,0.0
2024-02-05,0.0
2024-02-06,0.0
2024-02-07,0.0
2024-02-08,0.0
2024-02-09,0.0
2024-02-10,0.0
2024-02-11,0.0
2024-02-12,0.0
2024-02-13,0.0
2024-02-14,0.0
2024-02-15,0.0
2024-02-16,0.0
2024-02-17,0.0
2024-02-18,0.0
2024-02-19,0.0
2024-02-20,0.0
2024-02-21,0.0
2024-02-22,0.0
2024-02-23,0.0
2024-02-24,0.0
2024-02-25,0.0
2024-02-26,0.0
2024-02-27,0.0
2024-02-28,0.0
2024-02-29,0.0
2024-03-01,0.0
2024-03-02,0.0
2024-03-03,0.0
2024-03-04,0.0
2024-03-05,0.0
2024-03-06,0.0
2024-03-07,0.0
2024-03-08,0.0
2024-03-09,0.0
2024-03-10,0.0
2024-03-11,0.0
2024-03-12,0.0
2024-03-13,0.0
2024-03-14,0.0
2024-03-15,0.0
2024-03-16,0.0
2024-03-17,0.0
2024-03-18,0.0
2024-03-19,0.0
2024-03-20,0.0
2024-03-21,0.0
2024-03-22,0.0
2024-03-23,0.0
2024-03-24,0.0
2024-03-25,0.0
2024-03-26,0.0
2024-03-27,0.0
2024-03-28,0.0
2024-03-29,0.0
2024-03-30,0.0
2024-03-31,0.0
