pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,entry_notional_count,entry_notional_cap_hits,entry_notional_below_min,entry_notional_avg,entry_notional_p50,entry_notional_min,entry_notional_max
BTCUSDC-BTCUSDT,10/03-01/31,-3.0857944,8.442333221435547,65,-0.047473762,27,102,2881,1.9381909,-0.71640563,65,0,65,40.0,40.0,39.999996185302734,40.000003814697266
DYDXUSDT-KSMUSDT,10/03-01/31,-51.10083,6.200167179107666,47,-1.0872517,25,68,2881,5.1015944,-35.842716,47,0,47,40.0,40.0,40.0,40.0
CBKUSDT-FILUSDC,10/03-01/31,142.07523,5.009758949279785,38,3.7388217,15,60,2881,131.511,-15.122245,38,0,38,40.0,40.0,39.999996185302734,40.000003814697266
BATUSDT-JSTUSDT,10/03-01/31,46.910744,7.896712303161621,56,0.83769184,35,77,2881,106.37179,-186.41667,56,0,56,40.0,40.0,39.999996185302734,40.000003814697266
CHZUSDC-JSTUSDT,10/03-01/31,168.64305,7.131845474243164,53,3.1819444,29,77,2881,51.166035,-12.874737,53,0,53,40.0,40.0,39.999996185302734,40.000003814697266
CAPSUSDT-FTTUSDT,10/03-01/31,-66.897446,4.734082221984863,37,-1.8080391,14,59,2881,66.820244,-54.57348,37,0,37,40.0,40.0,39.999996185302734,40.0
FITFIUSDT-IZIUSDT,10/03-01/31,48.951874,4.397542953491211,34,1.439761,20,48,2881,31.23631,-11.046494,34,0,34,40.0,40.0,40.0,40.0
ETHDAI-ETHEUR,10/03-01/31,797.0318,10.060750961303711,79,10.08901,68,90,2881,148.29741,-17.09491,79,0,79,40.0,40.0,39.999996185302734,40.000003814697266
APEUSDC-HFTUSDC,10/03-01/31,67.78415,6.359294891357422,48,1.4121698,27,68,2881,23.37099,-6.545497,48,0,48,40.0,40.0,39.999996185302734,40.000003814697266
CBKUSDT-ENJUSDT,10/03-01/31,335.43607,6.661530017852783,47,7.1369376,24,70,2881,322.4561,-27.469196,47,0,47,40.0,40.0,39.999996185302734,40.0
GODSUSDT-KCALUSDT,10/03-01/31,-67.61514,4.764050483703613,37,-1.8274363,13,61,2881,20.897173,-28.364834,37,0,37,40.0,40.0,40.0,40.000003814697266
CHZUSDT-JSTUSDT,10/03-01/31,136.66238,6.283931732177734,50,2.7332478,29,70,2881,42.411713,-18.895727,50,0,50,40.0,40.0,40.0,40.000003814697266
AGLAUSDT-ARBUSDC,10/03-01/31,-21.409805,6.200744152069092,48,-0.44603762,23,73,2881,16.308136,-10.59733,48,0,48,40.0,40.0,39.999996185302734,40.0
FITFIUSDT-FLOWUSDT,10/03-01/31,-327.40396,5.345046520233154,38,-8.615893,18,58,2881,30.783815,-274.82727,38,0,38,40.0,40.0,40.0,40.000003814697266
ETHUSDC-ETHUSDT,10/03-01/31,1.973557,9.07164192199707,59,0.03345012,32,86,2881,5.9672875,-1.441509,59,0,59,40.0,40.0,39.999996185302734,40.000003814697266
APEUSDT-HFTUSDC,10/03-01/31,46.071796,6.617685317993164,49,0.94024074,26,71,2881,69.00777,-34.16791,49,0,49,40.0,40.0,40.0,40.000003814697266
CBKUSDT-ETCUSDT,10/03-01/31,176.57198,6.408730506896973,48,3.678583,22,73,2881,201.09644,-29.609777,48,0,48,40.0,40.0,39.999996185302734,40.000003814697266
GMTUSDT-KCALUSDT,10/03-01/31,-43.045643,4.859425067901611,38,-1.1327801,16,59,2881,13.988978,-52.52325,38,0,38,40.0,40.0,40.0,40.0
ADAEUR-ADAUSDC,10/03-01/31,39.384605,11.807683944702148,88,0.44755232,63,113,2881,4.922762,-36.25677,88,0,88,40.0,40.0,39.999996185302734,40.0
AGLAUSDT-ARBUSDT,10/03-01/31,-21.197796,6.334156036376953,49,-0.43260807,24,74,2881,16.287834,-12.8508625,49,0,49,40.0,40.0,39.999996185302734,40.000003814697266
AVAUSDT-FLOWUSDT,10/03-01/31,-10.498467,6.995061874389648,55,-0.19088122,27,82,2881,13.308916,-15.87154,55,0,55,40.0,40.0,40.0,40.000003814697266
AXLUSDT-IZIUSDT,10/03-01/31,179.30208,6.739884853363037,49,3.6592262,28,70,2881,115.25182,-59.766182,49,0,49,40.0,40.0,40.0,40.0
BICOUSDT-DUELUSDT,10/03-01/31,4.5119305,5.757092475891113,45,0.10026512,22,67,2881,17.34116,-23.110958,45,0,45,40.0,40.0,40.0,40.0
GMTUSDC-KCALUSDT,10/03-01/31,-112.28718,4.866237163543701,36,-3.1190882,21,51,2881,13.903334,-148.21674,36,0,36,40.0,40.0,39.999996185302734,40.000003814697266
