pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,entry_notional_count,entry_notional_cap_hits,entry_notional_below_min,entry_notional_avg,entry_notional_p50,entry_notional_min,entry_notional_max
BTCUSDC-BTCUSDT,04/02-07/31,13.485988,4.239452362060547,66,0.20433314,53,78,2881,5.0754604,-0.20759982,66,0,0,17.5,17.5,17.5,17.5
APEUSDT-GODSUSDT,04/02-07/31,33.06275,1.8148093223571777,32,1.033211,13,50,2881,27.342726,-6.4345813,32,0,0,17.5,17.5,17.5,17.5
ETCUSDT-JUVUSDT,04/02-07/31,28.815563,1.3463141918182373,23,1.2528505,10,36,2881,35.29751,-9.292702,23,0,0,17.5,17.5,17.5,17.5
APEUSDC-HFTUSDC,04/02-07/31,-13.889492,2.412494659423828,43,-0.32301143,17,69,2881,13.471154,-11.265549,43,0,0,17.5,17.5,17.5,17.5
ETHUSDC-ETHUSDT,04/02-07/31,29.882381,4.339760780334473,68,0.43944678,55,81,2881,11.400059,-1.063015,68,0,0,17.5,17.5,17.499998092651367,17.500001907348633
DOTUSDC-FTTUSDT,04/02-07/31,-11.25902,1.7069664001464844,30,-0.37530068,9,51,2881,3.8464494,-4.97918,30,0,0,17.5,17.5,17.5,17.5
DOTUSDT-FTTUSDT,04/02-07/31,-1.4204054,1.6986958980560303,30,-0.047346845,9,51,2881,3.9945352,-3.993827,30,0,0,17.5,17.5,17.5,17.5
FILUSDC-JUVUSDT,04/02-07/31,-16.945473,1.4631887674331665,26,-0.65174896,10,42,2881,4.3315306,-9.250163,26,0,0,17.5,17.5,17.5,17.5
FILUSDT-JUVUSDT,04/02-07/31,-10.457687,1.44620680809021,26,-0.40221876,6,46,2881,3.3179781,-3.3404655,26,0,0,17.5,17.5,17.499998092651367,17.5
APEUSDC-GODSUSDT,04/02-07/31,22.458452,1.654284954071045,30,0.7486151,17,42,2881,9.112313,-3.1848423,30,0,0,17.5,17.5,17.5,17.500001907348633
BTCUSDC-BTCUSDT,05/02-08/30,9.512266,4.330324649810791,66,0.14412524,26,106,2881,4.746707,-1.5346967,66,0,0,18.790327072143555,18.790328979492188,18.790327072143555,18.790328979492188
CRVUSDT-KDAUSDT,05/02-08/30,6.3344145,1.8122576475143433,30,0.21114714,13,47,2881,5.1402335,-1.0970374,30,0,0,18.79033088684082,18.790328979492188,18.790327072143555,18.790328979492188
ETCUSDT-JUVUSDT,05/02-08/30,17.454628,2.692028284072876,44,0.3966961,21,66,2881,19.520115,-8.763013,44,0,0,18.79033088684082,18.790328979492188,18.790327072143555,18.790328979492188
GENEUSDT-KDAUSDT,05/02-08/30,8.348953,1.4570744037628174,25,0.33395812,4,46,2881,17.348734,-3.597616,25,0,0,18.790328979492188,18.790328979492188,18.790327072143555,18.790328979492188
ETHUSDC-ETHUSDT,05/02-08/30,-0.3937906,3.95872163772583,65,-0.006058317,29,101,2881,0.4571252,-0.22257006,65,0,0,18.790328979492188,18.790328979492188,18.790327072143555,18.790328979492188
FILUSDC-JUVUSDT,05/02-08/30,4.9075203,2.7376708984375,45,0.109056,15,74,2881,30.89658,-3.8980725,45,0,0,18.79033088684082,18.790328979492188,18.790327072143555,18.790328979492188
FILUSDT-JUVUSDT,05/02-08/30,-30.637527,2.595439910888672,43,-0.71250063,14,71,2881,3.8526237,-10.567646,43,0,0,18.79033088684082,18.790328979492188,18.790327072143555,18.790328979492188
AFCUSDT-C98USDT,05/02-08/30,250.49435,2.1682324409484863,31,8.080463,19,43,2881,153.67584,-29.916534,31,0,0,18.790332794189453,18.790328979492188,18.790327072143555,18.790328979492188
DYDXUSDT-KSMUSDT,05/02-08/30,-0.7827606,1.6097031831741333,27,-0.028991135,10,44,2881,5.070706,-5.481711,27,0,0,18.790328979492188,18.790328979492188,18.790327072143555,18.790328979492188
FLOWUSDT-JUVUSDT,05/02-08/30,64.02561,2.683872699737549,41,1.5616003,18,64,2881,71.0195,-7.1246266,41,0,0,18.790328979492188,18.790328979492188,18.790327072143555,18.790328979492188
ETCUSDT-JUVUSDT,06/01-09/29,-14.0753145,3.4780049324035645,44,-0.3198935,21,67,2881,7.6737137,-11.582445,44,0,0,24.552446365356445,24.55244255065918,24.552440643310547,24.552444458007812
CRVUSDT-KDAUSDT,06/01-09/29,-3.786368,1.6918741464614868,21,-0.18030323,7,35,2881,8.20365,-12.241704,21,0,0,24.552440643310547,24.55244255065918,24.552440643310547,24.552444458007812
