pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,entry_notional_count,entry_notional_cap_hits,entry_notional_below_min,entry_notional_avg,entry_notional_p50,entry_notional_min,entry_notional_max
BTCDAI-BTCEUR,10/03-01/31,42.009285,1.865732192993164,36,1.1669246,21,50,2881,16.217703,-12.182582,36,0,0,15.0,15.0,14.999999046325684,15.000000953674316
APEUSDC-HFTUSDC,10/03-01/31,37.501717,2.0790321826934814,42,0.892898,23,61,2881,29.879545,-7.1704926,42,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ETHDAI-ETHEUR,10/03-01/31,41.542843,1.856266975402832,39,1.065201,28,50,2881,9.986702,-5.6724515,39,0,0,15.0,15.0,14.999999046325684,15.000000953674316
APEUSDT-HFTUSDC,10/03-01/31,10.422404,2.073399543762207,43,0.2423815,25,61,2881,9.44078,-7.927419,43,0,0,15.0,15.0,14.999999046325684,15.000000953674316
BTCUSDC-BTCUSDT,10/03-01/31,1.5940363,3.0575242042541504,55,0.02898248,32,78,2881,1.4393345,-0.286189,55,0,0,15.0,15.0,14.999999046325684,15.000000953674316
APEUSDC-HFTUSDT,10/03-01/31,34.433807,2.0221495628356934,41,0.83984894,24,58,2881,30.333994,-7.0879807,41,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ETCUSDT-JUVUSDT,10/03-01/31,61.081036,1.8439629077911377,38,1.6073956,23,53,2881,42.34094,-15.8486805,38,0,0,15.0,15.0,14.999999046325684,15.000000953674316
APEUSDT-HFTUSDT,10/03-01/31,13.50858,1.7882661819458008,37,0.36509675,22,52,2881,10.30782,-7.8492575,37,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ATOMUSDT-GODSUSDT,10/03-01/31,59.25091,1.9398682117462158,38,1.5592345,23,53,2881,20.053038,-1.7612338,38,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ETHUSDC-ETHUSDT,10/03-01/31,-0.010497466,2.9486658573150635,56,-0.00018745475,30,82,2881,0.8468987,-0.55871403,56,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AXSUSDT-DOTUSDT,10/03-01/31,14.587636,2.1981441974639893,46,0.31712252,24,68,2881,6.1531816,-3.9262047,46,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AXSUSDT-DOTUSDC,10/03-01/31,14.26524,2.1489830017089844,45,0.31700534,23,67,2881,6.7104754,-3.908824,45,0,0,15.0,15.0,14.999999046325684,15.000000953674316
BTCDAI-BTCEUR,11/02-03/01,62.528694,3.0743062496185303,46,1.3593194,34,58,2881,13.086251,-2.7772374,46,0,0,19.95280647277832,19.952804565429688,19.952804565429688,19.95280647277832
AGLDUSDT-HFTUSDT,11/02-03/01,61.53991,2.832716703414917,43,1.4311607,18,68,2881,59.613342,-9.350664,43,0,0,19.95280647277832,19.952804565429688,19.952804565429688,19.95280647277832
ETHDAI-ETHEUR,11/02-03/01,176.76613,3.3377318382263184,49,3.607472,31,66,2881,129.36714,-2.3257632,49,0,0,19.952804565429688,19.952804565429688,19.952804565429688,19.95280647277832
APEUSDC-HFTUSDT,11/02-03/01,-5.707366,2.7281415462493896,42,-0.13588966,18,66,2881,15.0495,-14.270942,42,0,0,19.952804565429688,19.952804565429688,19.952804565429688,19.95280647277832
BTCUSDC-BTCUSDT,11/02-03/01,-2.5220714,3.3267064094543457,50,-0.05044143,8,92,2881,0.3632095,-0.7308238,50,0,0,19.952804565429688,19.952804565429688,19.952804565429688,19.95280647277832
APEUSDC-HFTUSDC,11/02-03/01,-30.964882,2.7181930541992188,42,-0.7372591,18,66,2881,13.180759,-15.590244,42,0,0,19.952804565429688,19.952804565429688,19.952804565429688,19.95280647277832
ETHUSDC-ETHUSDT,11/02-03/01,-0.56409734,3.159240961074829,49,-0.011512191,14,84,2881,1.0196027,-0.2919316,49,0,0,19.952804565429688,19.952804565429688,19.952804565429688,19.95280647277832
APEUSDT-HFTUSDT,11/02-03/01,-14.28127,2.5999515056610107,39,-0.3661864,20,58,2881,13.617264,-12.727804,39,0,0,19.95280647277832,19.952804565429688,19.952804565429688,19.95280647277832
ATOMUSDT-GODSUSDT,11/02-03/01,-66.026474,2.5713558197021484,38,-1.7375388,20,56,2881,9.765385,-49.236927,38,0,0,19.95280647277832,19.952804565429688,19.952804565429688,19.95280647277832
AXSUSDT-DOTUSDT,11/02-03/01,-19.51133,2.518378257751465,38,-0.51345605,15,61,2881,9.086752,-21.289026,38,0,0,19.95280647277832,19.952804565429688,19.952804565429688,19.95280647277832
AXSUSDT-DOTUSDC,11/02-03/01,-34.764584,2.3500990867614746,35,-0.9932738,11,59,2881,5.481324,-20.440207,35,0,0,19.95280647277832,19.952804565429688,19.952804565429688,19.95280647277832
AGLDUSDT-HFTUSDC,11/02-03/01,57.954384,2.6920204162597656,40,1.4488596,18,62,2881,69.2318,-9.79737,40,0,0,19.952804565429688,19.952804565429688,19.952804565429688,19.95280647277832
BTCDAI-BTCEUR,12/02-03/31,120.904625,3.408710479736328,44,2.7478323,34,54,2881,24.619864,-8.370485,44,0,0,22.719507217407227,22.719511032104492,22.71950912475586,22.719511032104492
APEUSDC-HFTUSDC,12/02-03/31,60.339874,3.058434247970581,40,1.5084969,24,55,2881,9.956653,-5.8624706,40,0,0,22.71950912475586,22.719511032104492,22.71950912475586,22.719511032104492
ETHDAI-ETHEUR,12/02-03/31,78.09753,3.773676633834839,44,1.7749438,29,59,2881,36.797546,-88.64081,44,0,0,22.719507217407227,22.719511032104492,22.71950912475586,22.719511032104492
APEUSDT-HFTUSDC,12/02-03/31,62.34808,3.230273485183716,41,1.5206848,25,56,2881,16.16373,-7.7465806,41,0,0,22.719511032104492,22.719511032104492,22.71950912475586,22.719512939453125
ATOMUSDT-GODSUSDT,12/02-03/31,-175.60593,3.5149874687194824,45,-3.902354,16,73,2881,20.15676,-107.30902,45,0,0,22.719507217407227,22.719511032104492,22.71950912475586,22.719511032104492
APEUSDC-ATOMUSDT,12/02-03/31,100.20169,3.374758243560791,42,2.3857546,18,66,2881,49.899708,-9.598623,42,0,0,22.71950912475586,22.719511032104492,22.71950912475586,22.719511032104492
ATOMUSDT-KCALUSDT,12/02-03/31,-57.35411,3.3611598014831543,44,-1.3035026,22,65,2881,19.68666,-31.153337,44,0,0,22.719507217407227,22.719511032104492,22.71950912475586,22.719511032104492
APEUSDT-ATOMUSDT,12/02-03/31,41.505455,3.6487414836883545,43,0.96524316,18,68,2881,37.09343,-10.372889,43,0,0,22.719507217407227,22.719511032104492,22.71950912475586,22.719512939453125
CAKEUSDT-FIDAUSDT,12/02-03/31,-5.201177,3.1130871772766113,42,-0.12383755,16,67,2881,20.106739,-15.449879,42,0,0,22.71950912475586,22.719511032104492,22.71950912475586,22.719511032104492
APEUSDT-GODSUSDT,12/02-03/31,23.349356,2.898380756378174,40,0.5837339,21,58,2881,12.4936905,-8.519522,40,0,0,22.71950912475586,22.719511032104492,22.71950912475586,22.719511032104492
AGLDUSDT-HFTUSDC,12/02-03/31,-9.007261,3.3765602111816406,45,-0.20016137,19,70,2881,10.166714,-16.101803,45,0,0,22.719507217407227,22.719511032104492,22.71950912475586,22.719511032104492
AGLDUSDT-HFTUSDT,12/02-03/31,-28.149628,3.2782444953918457,45,-0.6255473,22,67,2881,5.6635785,-18.94934,45,0,0,22.719507217407227,22.719511032104492,22.71950912475586,22.719511032104492
