pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,entry_notional_count,entry_notional_cap_hits,entry_notional_below_min,entry_notional_avg,entry_notional_p50,entry_notional_min,entry_notional_max
BTCUSDC-BTCUSDT,10/03-01/31,-3.4660728,2.6636040210723877,50,-0.06932145,20,79,2881,0.456729,-1.5430145,50,0,50,15.0,15.0,14.999999046325684,15.000000953674316
DYDXUSDT-KSMUSDT,10/03-01/31,6.558218,1.8843449354171753,39,0.16815944,19,58,2881,9.585447,-4.68226,39,0,39,15.0,15.0,14.999999046325684,15.000000953674316
ETHDAI-ETHEUR,10/03-01/31,227.54935,2.657731056213379,54,4.2138767,39,69,2881,55.611526,-6.410591,54,0,54,15.0,15.0,14.999999046325684,15.000000953674316
APEUSDC-HFTUSDC,10/03-01/31,15.393951,2.039184093475342,40,0.38484877,21,58,2881,9.490329,-7.516075,40,0,40,15.0,15.0,14.999999046325684,15.000000953674316
ETHUSDC-ETHUSDT,10/03-01/31,2.7204142,2.9767351150512695,51,0.053341456,33,69,2881,2.4891891,-0.5655697,51,0,51,15.0,15.0,14.999999046325684,15.000000953674316
APEUSDT-HFTUSDC,10/03-01/31,48.85608,2.189828872680664,43,1.1361879,23,62,2881,35.999363,-3.017249,43,0,43,15.0,15.0,14.999999046325684,15.000000953674316
AVAUSDT-FLOWUSDT,10/03-01/31,12.931706,1.9185283184051514,40,0.32329267,23,56,2881,8.096967,-3.0831454,40,0,40,15.0,15.0,14.999999046325684,15.000000953674316
AXLUSDT-IZIUSDT,10/03-01/31,59.3832,2.351780891418457,46,1.2909392,26,66,2881,29.901928,-11.312523,46,0,46,15.0,15.0,14.999999046325684,15.000000953674316
CYBERUSDT-FIDAUSDT,10/03-01/31,25.486675,2.7645912170410156,47,0.5422697,23,70,2881,41.794224,-7.196588,47,0,47,15.0,15.0,14.999999046325684,15.000000953674316
DYDXUSDT-KCALUSDT,10/03-01/31,25.202389,1.3994280099868774,26,0.9693226,8,44,2881,24.07357,-10.726614,26,0,26,15.0,15.0,14.999999046325684,15.000000953674316
AVAUSDT-KASTAUSDT,10/03-01/31,-7.4800043,1.1412198543548584,24,-0.31166685,6,42,2881,3.5501425,-5.8698974,24,0,24,15.0,15.0,14.999999046325684,15.000000953674316
ARKMUSDT-ARUSDT,10/03-01/31,-11.009175,2.1451454162597656,44,-0.25020853,21,66,2881,7.623331,-9.674393,44,0,44,15.0,15.0,14.999999046325684,15.000000953674316
ETHDAI-ETHEUR,11/02-03/02,50.004433,3.459512233734131,53,0.94347984,42,64,2881,19.181581,-1.0268177,53,53,0,20.0,20.0,20.0,20.000001907348633
APEUSDC-HFTUSDC,11/02-03/02,5.5130467,2.575085163116455,40,0.13782617,24,55,2881,6.3939595,-3.6614242,40,40,0,20.0,20.0,19.999998092651367,20.000001907348633
ETHUSDC-ETHUSDT,11/02-03/02,-1.7236049,3.1322758197784424,47,-0.036672447,10,83,2881,0.19441451,-0.122363314,47,47,0,20.0,20.0,20.0,20.000001907348633
APEUSDT-HFTUSDC,11/02-03/02,-4.4784446,3.0997588634490967,47,-0.09528606,28,66,2881,2.6810067,-11.1158495,47,47,0,20.0,20.0,19.999998092651367,20.0
CYBERUSDT-FIDAUSDT,11/02-03/02,-21.061293,2.9200100898742676,45,-0.46802872,19,70,2881,3.8057148,-20.223278,45,45,0,20.0,20.0,19.999998092651367,20.000001907348633
FLOWUSDT-JSTUSDT,11/02-03/02,-37.942913,2.6639678478240967,40,-0.9485728,16,64,2881,2.0619473,-13.893587,40,40,0,20.0,20.0,19.999998092651367,20.0
AVAUSDT-KASTAUSDT,11/02-03/02,-21.442295,2.70255446434021,41,-0.52298284,19,63,2881,5.7720647,-20.20069,41,41,0,20.0,20.0,19.999998092651367,20.0
BICOUSDT-KASTAUSDT,11/02-03/02,-27.239681,2.544121265411377,38,-0.7168337,16,60,2881,4.960802,-26.143665,38,38,0,20.0,20.0,20.0,20.000001907348633
DYDXUSDT-KCALUSDT,11/02-03/02,2.06074,1.798898458480835,28,0.073597856,10,45,2881,3.2182913,-1.2827262,28,28,0,20.0,20.0,19.999998092651367,20.0
CBKUSDT-ETCUSDT,11/02-03/02,-43.125393,3.052433490753174,47,-0.91756153,18,76,2881,1.168035,-22.151241,47,47,0,20.0,20.0,20.0,20.0
CBKUSDT-FILUSDT,11/02-03/02,-40.50229,2.915499687194824,45,-0.9000509,21,69,2881,1.5324761,-20.98311,45,45,0,20.0,20.0,19.999998092651367,20.0
CBKUSDT-FILUSDC,11/02-03/02,-40.59238,3.0570993423461914,47,-0.86366767,22,72,2881,1.5737404,-17.020567,47,47,0,20.0,20.0,19.999998092651367,20.0
BTCUSDC-BTCUSDT,12/02-04/01,55.54956,6.698544025421143,52,1.0682608,39,64,2881,41.339245,-0.24042632,52,0,0,18.323951721191406,18.323949813842773,18.323949813842773,18.323949813842773
AXSUSDT-DOTUSDT,12/02-04/01,61.384663,3.1162428855895996,43,1.4275503,18,67,2881,55.400635,-2.4103954,43,0,0,18.323951721191406,18.323949813842773,18.32394790649414,18.323949813842773
ETHDAI-ETHEUR,12/02-04/01,55.18051,3.172090530395508,54,1.0218613,44,64,2881,7.0764413,-1.2887017,54,0,0,18.323951721191406,18.323949813842773,18.32394790649414,18.323951721191406
DYDXUSDT-KCALUSDT,12/02-04/01,2.5204535,1.741355299949646,28,0.09001619,5,51,2881,14.936244,-2.666262,28,0,0,18.32394790649414,18.323949813842773,18.323949813842773,18.323949813842773
ETCUSDT-JUVUSDT,12/02-04/01,-42.57022,2.361307382583618,38,-1.120269,17,58,2881,10.565999,-40.54662,38,0,0,18.32395362854004,18.323949813842773,18.323949813842773,18.323949813842773
CYBERUSDT-FIDAUSDT,12/02-04/01,72.12905,2.88295316696167,45,1.6028678,21,68,2881,78.60435,-19.805725,45,0,0,18.32395362854004,18.323949813842773,18.323949813842773,18.323949813842773
FILUSDC-JUVUSDT,12/02-04/01,-40.170982,2.3160414695739746,40,-1.0042746,15,64,2881,6.1191635,-16.265762,40,0,0,18.323949813842773,18.323949813842773,18.323949813842773,18.323949813842773
DYDXUSDT-KSMUSDT,12/02-04/01,-31.206348,2.432432174682617,40,-0.7801587,20,59,2881,2.2722814,-12.0926075,40,0,0,18.323949813842773,18.323949813842773,18.323949813842773,18.323949813842773
FILUSDT-JUVUSDT,12/02-04/01,-29.891575,2.3776354789733887,41,-0.7290628,12,69,2881,18.956497,-16.150702,41,0,0,18.323951721191406,18.323949813842773,18.323949813842773,18.323949813842773
AVAUSDT-FLOWUSDT,12/02-04/01,45.335365,2.650999069213867,44,1.0303493,20,67,2881,44.79031,-3.5164883,44,0,0,18.323951721191406,18.323949813842773,18.323949813842773,18.323949813842773
AVAUSDT-KASTAUSDT,12/02-04/01,-65.704285,2.043661117553711,28,-2.3465817,12,44,2881,72.00517,-158.90744,28,0,0,18.32394790649414,18.323949813842773,18.323949813842773,18.323949813842773
AXSUSDT-DOTUSDC,12/02-04/01,8.809982,2.4824166297912598,42,0.20976149,20,63,2881,5.416345,-4.6587377,42,0,0,18.323951721191406,18.323949813842773,18.32394790649414,18.323949813842773
