pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss
BTCDAI-BTCEUR,02/01-05/31,8.589384,1.0146114826202393,65,0.13214438,51,79,2881,0.86087185,-0.4516107
KCSUSDT-KDAUSDT,02/01-05/31,2.3383749,0.3294244110584259,30,0.07794583,15,45,2881,1.4094367,-0.8163115
ATOMUSDT-KDAUSDT,02/01-05/31,5.08951,0.48598265647888184,41,0.12413439,20,61,2881,2.8615994,-0.8881035
FTTUSDT-GSWIFTUSDT,02/01-05/31,-5.926367,0.759264349937439,30,-0.19754556,11,49,2881,0.7659479,-2.8154285
FLOWUSDT-JUVUSDT,02/01-05/31,0.23293531,0.2713054120540619,37,0.0062955488,13,61,2881,0.87926936,-0.6419957
AFCUSDT-CITYUSDT,02/01-05/31,11.422486,0.4002950191497803,40,0.28556216,25,54,2881,2.4526489,-1.2548969
DMAILUSDT-GMTUSDT,02/01-05/31,8.369502,0.3315381407737732,42,0.19927385,28,56,2881,2.8502445,-1.5343186
COMPUSDT-GTAIUSDT,02/01-05/31,-5.022723,0.5667663216590881,43,-0.11680751,19,67,2881,2.1175623,-1.7237391
FILUSDC-GTAIUSDT,02/01-05/31,6.5134635,0.20963524281978607,29,0.2246022,16,42,2881,3.3188465,-1.1620528
DOTUSDC-KDAUSDT,02/01-05/31,-3.6997972,0.757258415222168,46,-0.08043037,20,72,2881,1.0545477,-1.2951462
GALFTUSDT-GRTUSDT,02/01-05/31,-2.8596864,1.4395995140075684,32,-0.0893652,9,54,2881,5.639862,-2.806367
ARTYUSDT-KUBUSDT,02/01-05/31,-9.864539,0.8310408592224121,41,-0.24059851,14,67,2881,1.0740398,-2.4018276
FLOWUSDT-HVHUSDT,02/01-05/31,-2.20009,0.3222501575946808,32,-0.06875281,13,51,2881,1.5590062,-2.659703
CELOUSDT-FITFIUSDT,02/01-05/31,6.761468,0.4939221143722534,45,0.15025485,26,64,2881,1.4429792,-1.0178908
ETHUSDC-ETHUSDT,02/01-05/31,-0.7542509,0.9510924816131592,49,-0.015392875,22,76,2881,0.012906962,-0.038122203
FILUSDT-GTAIUSDT,02/01-05/31,7.332363,0.21780267357826233,28,0.26187012,12,44,2881,3.0684094,-1.0494667
DOTUSDT-KDAUSDT,02/01-05/31,-4.5820904,0.7908897399902344,48,-0.09546021,20,76,2881,0.73072183,-1.302354
CITYUSDT-KASTAUSDT,02/01-05/31,-3.7377806,0.22678828239440918,32,-0.11680564,12,52,2881,2.4050756,-3.5284607
ARTYUSDT-GENEUSDT,02/01-05/31,-0.47517467,0.9146571159362793,42,-0.011313682,16,67,2881,2.9085317,-0.78088146
APEUSDC-HFTUSDT,02/01-05/31,2.6766982,0.7318448424339294,45,0.059482183,23,67,2881,1.0983185,-0.9411459
ETCUSDT-JUVUSDT,02/01-05/31,3.1368551,0.4496597349643707,46,0.068192504,27,65,2881,1.3904767,-1.3928957
DOTUSDC-FTTUSDT,02/01-05/31,2.2732503,0.7376899123191833,36,0.063145846,17,55,2881,1.2379252,-0.6825556
GALFTUSDT-HBARUSDT,02/01-05/31,-12.090809,0.9701952934265137,31,-0.3900261,11,50,2881,5.8759065,-4.571889
APEXUSDT-AVAUSDT,02/01-05/31,-3.612665,0.6382021903991699,36,-0.1003518,18,54,2881,1.5721227,-3.7450638
AFCUSDT-ANKRUSDT,02/01-05/31,0.96215427,0.29848790168762207,26,0.037005935,13,39,2881,2.4248857,-2.915777
AFCUSDT-BICOUSDT,02/01-05/31,9.159893,0.3685681223869324,30,0.30532977,18,42,2881,7.0994134,-2.9082136
FILUSDC-JUVUSDT,02/01-05/31,2.4612215,0.31785863637924194,45,0.05469381,19,70,2881,1.7473357,-0.72760403
DOTUSDT-FTTUSDT,02/01-05/31,1.3564998,0.7206010222434998,35,0.038757138,15,55,2881,1.2381916,-1.1169827
APEXUSDT-KASTAUSDT,02/01-05/31,0.21997833,0.5119447708129883,34,0.006469951,18,50,2881,2.0114017,-6.0938396
APEXUSDC-AVAUSDT,02/01-05/31,7.0260754,0.5680778622627258,28,0.25093126,15,41,2881,3.64732,-2.4099355
AXLUSDT-FILUSDT,02/01-05/31,-9.476911,0.48072320222854614,35,-0.27076888,9,61,2881,1.3956239,-3.1512609
CTCUSDT-DMAILUSDT,02/01-05/31,-1.460309,0.3022066354751587,31,-0.047106743,12,50,2881,0.86697346,-0.89113843
FILUSDT-JUVUSDT,02/01-05/31,7.155424,0.3038802146911621,45,0.15900943,24,65,2881,3.0960886,-0.75359565
AXSUSDT-KUBUSDT,02/01-05/31,-1.6934152,0.34918850660324097,37,-0.045767978,12,62,2881,1.4066869,-0.7885848
DYDXUSDT-KCALUSDT,02/01-05/31,0.06353822,0.2836931347846985,37,0.0017172493,17,57,2881,2.055502,-1.1964258
ARTYUSDT-KDAUSDT,02/01-05/31,-4.9445333,0.7209714651107788,33,-0.14983435,6,60,2881,1.0599849,-0.7570637
AXLUSDT-FILUSDC,02/01-05/31,-5.040607,0.4280892014503479,31,-0.16260022,11,51,2881,3.3242679,-2.2550132
CELOUSDT-CGPTUSDT,02/01-05/31,0.29585332,0.3968577980995178,44,0.006723939,24,64,2881,1.9762073,-1.4342358
HNTUSDT-INTERUSDT,02/01-05/31,-1.9416468,0.5500043034553528,42,-0.046229687,19,64,2881,0.88560647,-1.0281547
ATOMUSDT-GODSUSDT,02/01-05/31,-0.4571494,0.5690425634384155,39,-0.01172178,20,58,2881,2.2326496,-1.7320744
CAKEUSDT-FIDAUSDT,02/01-05/31,4.125764,0.37146592140197754,52,0.07934161,28,76,2881,1.8473929,-0.6650083
FTTUSDT-KSMUSDT,02/01-05/31,-4.0199423,0.6877365708351135,33,-0.121816434,10,56,2881,0.9204648,-1.5297488
APEUSDC-GODSUSDT,02/01-05/31,2.5054977,0.527763307094574,39,0.06424353,21,57,2881,1.6049677,-1.4366777
AGLDUSDT-KUBUSDT,02/01-05/31,3.8808706,0.2728949785232544,36,0.10780196,14,58,2881,1.5153673,-1.0519522
CYBERUSDT-FIDAUSDT,02/01-05/31,3.0556707,0.31954362988471985,42,0.07275406,20,63,2881,4.386334,-1.1180489
ATOMUSDT-KCALUSDT,02/01-05/31,1.7588812,0.8145381212234497,47,0.037423003,22,72,2881,2.2646303,-0.93640506
GALFTUSDT-HVHUSDT,02/01-05/31,-21.82764,1.0471551418304443,30,-0.727588,12,48,2881,5.858632,-10.386997
AFCUSDT-C98USDT,02/01-05/31,2.0549493,0.3200402855873108,32,0.064217165,16,48,2881,2.2619777,-2.9090052
APEUSDT-GODSUSDT,02/01-05/31,-1.2997663,0.5647647380828857,41,-0.031701617,23,59,2881,1.3390995,-1.4652548
DMAILUSDT-GMTUSDC,02/01-05/31,5.462531,0.32589882612228394,46,0.11875068,27,64,2881,2.8812845,-1.4747037
BTCDAI-BTCEUR,03/02-06/30,9.489577,2.192915439605713,64,0.14827465,46,81,2881,1.3512104,-1.2610488
ATOMUSDT-GODSUSDT,03/02-06/30,-19.94703,4.809120178222656,46,-0.43363106,15,77,2881,5.854102,-9.552972
CITYUSDT-KASTAUSDT,03/02-06/30,-10.62231,4.2581987380981445,42,-0.25291213,17,67,2881,8.103329,-7.7064652
FLOWUSDT-HVHUSDT,03/02-06/30,-14.253849,4.200634479522705,40,-0.35634622,19,60,2881,3.6647246,-9.570063
DMAILUSDT-GMTUSDT,03/02-06/30,3.2928724,1.587263822555542,32,0.10290226,10,54,2881,3.3471844,-1.3980682
FIDAUSDT-KAVAUSDT,03/02-06/30,-53.047115,4.787477970123291,31,-1.7111973,10,52,2881,8.286858,-7.8578897
CGPTUSDT-FILUSDT,03/02-06/30,1.6772823,4.051087379455566,35,0.047922354,16,54,2881,11.253665,-4.102444
ETHUSDC-ETHUSDT,03/02-06/30,-2.4622023,2.716154098510742,48,-0.05129588,16,80,2881,0.087864436,-0.09377749
ATOMUSDT-KDAUSDT,03/02-06/30,10.478302,4.302529811859131,45,0.23285116,27,62,2881,4.0921464,-2.0283725
AFCUSDT-C98USDT,03/02-06/30,-1.8886442,1.8058245182037354,41,-0.046064492,20,62,2881,4.6451855,-5.4219804
APEUSDC-HFTUSDT,03/02-06/30,10.515303,4.345149040222168,47,0.22372985,28,65,2881,4.9256377,-3.624464
HOOKUSDT-KAVAUSDT,03/02-06/30,-0.08580232,3.4762072563171387,38,-0.0022579557,18,58,2881,5.327366,-2.14125
CBKUSDT-FILUSDC,03/02-06/30,-16.892956,3.364161491394043,44,-0.3839308,19,68,2881,2.5120435,-8.690425
1INCHUSDT-KUBUSDT,03/02-06/30,-1.201107,1.2240959405899048,46,-0.026111022,19,73,2881,2.791264,-1.4730892
CYBERUSDT-FIDAUSDT,03/02-06/30,-3.9823406,1.4706565141677856,36,-0.11062057,16,56,2881,2.052806,-2.174156
GALFTUSDT-GRTUSDT,03/02-06/30,-5.1882086,1.1219583749771118,40,-0.12970522,13,66,2881,1.9994527,-1.8764616
AFCUSDT-CITYUSDT,03/02-06/30,0.5399251,1.796065330505371,45,0.011998336,26,64,2881,3.0948062,-2.9419055
AGLDUSDT-HFTUSDC,03/02-06/30,-12.566789,2.54382061958313,41,-0.30650705,13,69,2881,2.1442792,-3.4480138
HOOKUSDT-ICXUSDT,03/02-06/30,1.7748575,3.5115342140197754,39,0.045509167,20,57,2881,4.894489,-2.2030127
CBKUSDT-FILUSDT,03/02-06/30,-13.7221985,3.9046080112457275,48,-0.28587914,21,75,2881,2.3908546,-4.14427
HNTUSDT-INTERUSDT,03/02-06/30,30.906446,3.3520865440368652,36,0.8585124,17,54,2881,18.672262,-3.6317177
APEXUSDT-KASTAUSDT,03/02-06/30,0.9200773,3.059556007385254,46,0.020001682,23,68,2881,2.1821887,-3.5066044
AXLUSDT-FILUSDC,03/02-06/30,-2.3712866,2.157068967819214,43,-0.055146202,22,64,2881,2.2582867,-5.262017
AGLDUSDT-HFTUSDT,03/02-06/30,-18.123037,2.620133876800537,42,-0.43150088,12,72,2881,1.9855351,-3.4919946
