pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss
ETHUSDC-ETHUSDT,01/31-05/31,-0.6337677,2.629058599472046,65,-0.009750273,52,78,2881,0.12195815,-0.105316274
DOTUSDT-KDAUSDT,01/31-05/31,1.187944,3.0795674324035645,52,0.022845078,30,74,2881,2.509965,-2.4007375
CRVUSDT-KDAUSDT,01/31-05/31,-0.4778399,1.7939143180847168,37,-0.0129145915,15,59,2881,2.1612878,-1.8683734
GMTUSDT-HOOKUSDT,01/31-05/31,-8.267182,7.734295845031738,54,-0.15309598,25,82,2881,5.0252132,-4.4375634
AXSUSDT-DOTUSDT,01/31-05/31,21.1884,5.136370658874512,51,0.41545883,33,69,2881,3.779008,-1.7737999
DOTUSDC-KDAUSDT,01/31-05/31,14.010713,3.220986843109131,53,0.26435307,33,73,2881,4.080232,-1.5026795
AVAUSDT-KASTAUSDT,01/31-05/31,4.423173,2.4686388969421387,51,0.08672888,25,76,2881,5.0717063,-1.458702
GMTUSDC-HOOKUSDT,01/31-05/31,11.444627,8.287393569946289,59,0.19397673,30,87,2881,9.191029,-2.2498844
ATOMUSDT-KCALUSDT,01/31-05/31,4.361079,1.0845396518707275,31,0.14067997,14,48,2881,5.3064804,-1.6812966
DYDXUSDT-KCALUSDT,01/31-05/31,43.647797,3.5998520851135254,51,0.85583913,31,70,2881,11.625599,-4.9235935
CRVUSDT-DOTUSDT,01/31-05/31,-9.78507,2.942925453186035,50,-0.1957014,22,78,2881,3.9432495,-4.339948
1INCHUSDT-AXSUSDT,01/31-05/31,-4.5702977,2.8570404052734375,48,-0.09521454,24,72,2881,0.931837,-2.1733713
ATOMUSDT-GODSUSDT,01/31-05/31,9.92005,3.4148640632629395,53,0.18717074,34,71,2881,3.5866482,-1.9366109
DYDXUSDT-KSMUSDT,01/31-05/31,7.7350297,6.774134159088135,57,0.13570228,33,81,2881,2.3241286,-1.9321573
CELOUSDT-FLOWUSDT,01/31-05/31,2.195294,5.5569257736206055,54,0.04065359,31,76,2881,2.4322515,-3.3649948
C98USDT-FILUSDT,01/31-05/31,-2.0431743,7.346027851104736,51,-0.04006224,26,76,2881,8.00017,-3.3588328
CITYUSDT-IZIUSDT,01/31-05/31,9.672259,2.2735419273376465,51,0.18965214,31,70,2881,3.9734375,-1.8699855
BLURUSDT-LDOUSDT,01/31-05/31,6.4851246,3.3620216846466064,40,0.16212812,19,61,2881,9.33981,-3.0695517
ENJUSDT-FILUSDC,01/31-05/31,0.552819,3.3417158126831055,31,0.017832872,15,47,2881,2.802344,-3.0138726
APEXUSDC-KASTAUSDT,01/31-05/31,36.709442,5.230820178985596,59,0.62219393,45,72,2881,3.4928136,-2.425381
DOTUSDT-FTTUSDT,01/31-05/31,1.9493234,2.709951400756836,38,0.051297985,17,58,2881,2.8155792,-1.805056
AGLDUSDT-HFTUSDC,01/31-05/31,-9.77612,6.588126182556152,49,-0.19951266,25,73,2881,6.1979847,-8.9540205
