,PnL
2023-05-01,0.0
2023-05-02,-2.716140814125538
2023-05-03,14.448407016694546
2023-05-04,15.348930953070521
2023-05-05,-0.6083279587328434
2023-05-06,66.64042866975069
2023-05-07,7.962092567235231
2023-05-08,-0.7711865231394768
2023-05-09,5.624499715864658
2023-05-10,-4.604253886267543
2023-05-11,-1.2189934346824884
2023-05-12,-1.3689124593511224
2023-05-13,0.24516107068484416
2023-05-14,-2.0989917386323214
2023-05-15,5.5038434732705355
2023-05-16,2.4007499888539314
2023-05-17,2.194134966470301
2023-05-18,5.004482660442591
2023-05-19,1.449477031826973
2023-05-20,-0.5142391752451658
2023-05-21,-1.6697899773716927
2023-05-22,6.045912558678538
2023-05-23,3.1149461828172207
2023-05-24,2.8541904259473085
2023-05-25,1.9082378130406141
2023-05-26,2.2303117556730285
2023-05-27,-0.5804301910102367
2023-05-28,-4.434141817502677
2023-05-29,-0.19494938850402832
2023-05-30,2.4294760525226593
2023-05-31,0.0
2023-06-01,-0.6763363964855671
2023-06-02,-22.30978917516768
2023-06-03,-181.7153609227389
2023-06-04,25.384808894246817
2023-06-05,-68.6445979475975
2023-06-06,-8.891803624108434
2023-06-07,-6.680130900815129
2023-06-08,26.12035032734275
2023-06-09,0.6086088269948959
2023-06-10,-26.135845933109522
2023-06-11,-0.5448201994877309
2023-06-12,-1.8299919869750738
2023-06-13,0.457641638815403
2023-06-14,-2.577863072277978
2023-06-15,0.37725571170449257
2023-06-16,3.536770347505808
2023-06-17,-0.19312551245093346
2023-06-18,-2.144810952246189
2023-06-19,3.613876812160015
2023-06-20,-0.5038313213735819
2023-06-21,-0.2875929391011596
2023-06-22,27.183353129774332
2023-06-23,0.1868742946535349
2023-06-24,-8.450117133557796
2023-06-25,21.39172018133104
2023-06-26,-4.481786636635661
2023-06-27,9.819568827748299
2023-06-28,-4.8119353502988815
2023-06-29,-2.987445216625929
2023-06-30,0.0
2023-07-01,0.0
2023-07-02,0.0
2023-07-03,0.0
2023-07-04,0.0
2023-07-05,0.0
2023-07-06,0.0
2023-07-07,0.0
2023-07-08,0.0
2023-07-09,0.0
2023-07-10,0.0
2023-07-11,0.0
2023-07-12,0.0
2023-07-13,0.0
2023-07-14,0.0
2023-07-15,0.0
2023-07-16,0.0
2023-07-17,0.0
2023-07-18,0.0
2023-07-19,0.0
2023-07-20,0.0
2023-07-21,0.0
2023-07-22,0.0
2023-07-23,0.0
2023-07-24,0.0
2023-07-25,0.0
2023-07-26,0.0
2023-07-27,0.0
2023-07-28,0.0
2023-07-29,0.0
2023-07-30,0.0
2023-07-31,0.0
2023-08-01,0.0
2023-08-02,0.0
2023-08-03,0.0
2023-08-04,0.0
2023-08-05,0.0
2023-08-06,0.0
2023-08-07,0.0
2023-08-08,0.0
2023-08-09,0.0
2023-08-10,0.0
2023-08-11,0.0
2023-08-12,0.0
2023-08-13,0.0
2023-08-14,0.0
2023-08-15,0.0
2023-08-16,0.0
2023-08-17,0.0
2023-08-18,0.0
2023-08-19,0.0
2023-08-20,0.0
2023-08-21,0.0
2023-08-22,0.0
2023-08-23,0.0
2023-08-24,0.0
2023-08-25,0.0
2023-08-26,0.0
2023-08-27,0.0
2023-08-28,0.0
2023-08-29,0.0
2023-08-30,0.0
2023-08-31,0.0
2023-09-01,0.0
2023-09-02,0.0
2023-09-03,0.0
2023-09-04,0.0
2023-09-05,0.0
2023-09-06,0.0
2023-09-07,0.0
2023-09-08,0.0
2023-09-09,0.0
2023-09-10,0.0
2023-09-11,0.0
2023-09-12,0.0
2023-09-13,0.0
2023-09-14,0.0
2023-09-15,0.0
2023-09-16,0.0
2023-09-17,0.0
2023-09-18,0.0
2023-09-19,0.0
2023-09-20,0.0
2023-09-21,0.0
2023-09-22,0.0
2023-09-23,0.0
2023-09-24,0.0
2023-09-25,0.0
2023-09-26,0.0
2023-09-27,0.0
2023-09-28,0.0
