pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,entry_notional_count,entry_notional_cap_hits,entry_notional_below_min,entry_notional_avg,entry_notional_p50,entry_notional_min,entry_notional_max
ETHUSDC-ETHUSDT,01/31-05/31,3.909179,3.207825183868408,52,0.07517652,39,64,2881,2.5297992,-1.5805043,52,0,0,17.5,17.5,17.5,17.5
CRVUSDT-HFTUSDC,01/31-05/31,-3.3425732,1.8431349992752075,33,-0.1012901,13,53,2881,3.4569669,-3.4166934,33,0,0,17.5,17.5,17.5,17.5
ETCUSDT-JUVUSDT,01/31-05/31,3.7491484,2.0759940147399902,37,0.101328336,18,56,2881,8.263163,-6.9818077,37,0,0,17.5,17.5,17.5,17.5
CRVUSDT-HFTUSDT,01/31-05/31,8.676524,1.8079293966293335,32,0.27114138,15,49,2881,3.4753017,-1.5583711,32,0,0,17.5,17.5,17.499998092651367,17.5
ATOMUSDT-KCALUSDT,01/31-05/31,11.0308895,1.2683526277542114,23,0.4796039,8,38,2881,11.588825,-3.328784,23,0,0,17.5,17.5,17.499998092651367,17.5
CRVUSDT-DOTUSDT,01/31-05/31,-14.320803,2.547614574432373,46,-0.3113218,18,73,2881,2.9582093,-6.0498304,46,0,0,17.5,17.5,17.5,17.500001907348633
CAKEUSDT-FIDAUSDT,01/31-05/31,10.633467,2.4910566806793213,44,0.2416697,19,69,2881,19.181173,-4.909467,44,0,0,17.5,17.5,17.5,17.5
BICOUSDT-ETHWUSDT,01/31-05/31,13.024681,2.4205212593078613,43,0.30289957,23,62,2881,7.4592743,-1.1455046,43,0,0,17.5,17.5,17.5,17.5
DOTUSDT-KDAUSDT,01/31-05/31,-7.3422446,2.4109389781951904,43,-0.17074987,23,63,2881,2.1840909,-8.168128,43,0,0,17.5,17.5,17.5,17.5
DOTUSDC-KDAUSDT,01/31-05/31,15.644929,2.407789707183838,43,0.36383554,22,64,2881,9.562698,-1.552118,43,0,0,17.5,17.5,17.5,17.500001907348633
DYDXUSDT-KCALUSDT,01/31-05/31,21.76953,2.3583409786224365,43,0.50626814,22,63,2881,16.335466,-7.390196,43,0,0,17.5,17.5,17.5,17.5
BLURUSDT-LDOUSDT,01/31-05/31,-3.4489503,1.9568313360214233,35,-0.09854144,15,55,2881,4.531836,-3.3020627,35,0,0,17.5,17.5,17.5,17.5
ETHUSDC-ETHUSDT,03/02-06/30,6.2105837,3.14664888381958,49,0.12674661,29,69,2881,1.7256292,-0.429946,49,0,0,18.54971694946289,18.549715042114258,18.549715042114258,18.54971694946289
FIDAUSDT-HOOKUSDT,03/02-06/30,4.027808,2.525439739227295,41,0.09823922,14,68,2881,51.5248,-15.103243,41,0,0,18.54971694946289,18.54971694946289,18.549715042114258,18.54971694946289
ETCUSDT-JUVUSDT,03/02-06/30,-61.98555,2.2412428855895996,37,-1.6752851,19,55,2881,9.629535,-32.753586,37,0,0,18.549720764160156,18.54971694946289,18.549715042114258,18.54971694946289
CHZUSDT-JSTUSDT,03/02-06/30,-88.26008,2.7170157432556152,45,-1.9613351,23,67,2881,3.3248773,-38.212845,45,0,0,18.549718856811523,18.549715042114258,18.549715042114258,18.54971694946289
ATOMUSDT-KCALUSDT,03/02-06/30,-36.41555,2.585218667984009,44,-0.82762617,20,67,2881,6.608145,-18.257895,44,0,0,18.549718856811523,18.549715042114258,18.549715042114258,18.54971694946289
ACSUSDT-HOOKUSDT,03/02-06/30,11.674425,2.073451519012451,35,0.333555,17,53,2881,18.059666,-7.2519836,35,0,0,18.549718856811523,18.54971694946289,18.549715042114258,18.54971694946289
DOTUSDT-KDAUSDT,03/02-06/30,4.2421412,2.7328596115112305,45,0.094269805,20,70,2881,8.302091,-3.4401402,45,0,0,18.549718856811523,18.54971694946289,18.549715042114258,18.54971694946289
ERTHAUSDT-FLOWUSDT,03/02-06/30,-137.85008,2.7041585445404053,42,-3.2821448,18,66,2881,6.9128966,-145.16933,42,0,0,18.54971694946289,18.54971694946289,18.549715042114258,18.54971694946289
