pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss
ETHUSDC-ETHUSDT,01/31-05/31,-0.82142246,2.3919525146484375,58,-0.014162457,42,73,2881,0.11273611,-0.105316274
DOTUSDT-KDAUSDT,01/31-05/31,0.97356915,2.928898334503174,49,0.019868758,29,69,2881,2.509965,-2.3409002
AXSUSDT-DOTUSDT,01/31-05/31,0.4492874,4.089799880981445,40,0.011232185,24,56,2881,3.4114575,-5.0345726
DOTUSDC-KDAUSDT,01/31-05/31,5.1854,3.0589447021484375,49,0.10582449,26,72,2881,4.080232,-1.7973955
ATOMUSDT-KCALUSDT,01/31-05/31,1.8219662,0.9925616979598999,28,0.06507022,12,44,2881,5.3064804,-1.6812966
ATOMUSDT-GODSUSDT,01/31-05/31,9.362527,2.7988650798797607,45,0.20805615,30,59,2881,3.5866482,-1.9147
CITYUSDT-IZIUSDT,01/31-05/31,8.039503,2.0613632202148438,47,0.17105326,26,67,2881,3.9734375,-1.8397771
DOTUSDT-FTTUSDT,01/31-05/31,8.573356,2.4805800914764404,33,0.25979865,19,47,2881,2.8970716,-1.3364127
DOTUSDC-FTTUSDT,01/31-05/31,4.3512764,2.3761510848999023,33,0.13185686,17,49,2881,2.870341,-1.432014
CAKEUSDT-FIDAUSDT,01/31-05/31,-6.051518,11.297245979309082,43,-0.14073297,19,67,2881,20.944418,-9.406573
ETHUSDC-ETHUSDT,03/02-06/30,-3.042385,5.265435218811035,54,-0.056340463,31,76,2881,0.14950839,-0.36698356
FLOWUSDT-JSTUSDT,03/02-06/30,44.98471,10.583921432495117,47,0.9571215,31,63,2881,27.217104,-8.460282
ATOMUSDT-KCALUSDT,03/02-06/30,-29.437496,9.545385360717773,48,-0.6132812,21,74,2881,13.611574,-13.649117
GLMRUSDT-KCALUSDT,03/02-06/30,-51.601326,6.008579254150391,28,-1.8429044,7,48,2881,11.067549,-21.895966
CITYUSDT-IZIUSDT,03/02-06/30,-7.3898764,5.391945838928223,45,-0.16421947,23,66,2881,4.5070963,-5.4555674
DOTUSDC-FTTUSDT,03/02-06/30,3.5575714,5.820066452026367,51,0.0697563,23,79,2881,31.072922,-10.056686
DOTUSDT-FTTUSDT,03/02-06/30,38.14834,5.342219352722168,47,0.8116668,25,69,2881,32.05116,-10.317652
AXSUSDT-DOTUSDT,03/02-06/30,-11.646524,8.015283584594727,44,-0.26469374,18,70,2881,21.74133,-11.346288
DOTUSDC-KDAUSDT,03/02-06/30,-13.621012,6.291138648986816,41,-0.3322198,19,63,2881,11.53909,-9.78927
DYDXUSDT-KSMUSDT,03/02-06/30,-1.4937258,1.3181989192962646,48,-0.031119287,24,72,2881,2.9151635,-2.27083
BTCUSDC-BTCUSDT,04/01-07/30,1.3271211,1.3441600799560547,79,0.016799001,66,92,2881,0.15622588,-0.034910567
1INCHUSDT-ACSUSDT,04/01-07/30,-10.039892,1.8116005659103394,35,-0.28685406,14,55,2881,2.59606,-3.766082
ETCUSDT-JUVUSDT,04/01-07/30,3.6301587,0.47934335470199585,28,0.12964852,15,41,2881,1.7921988,-1.7904395
AVAUSDT-FITFIUSDT,04/01-07/30,-17.47983,2.221212863922119,28,-0.6242796,8,48,2881,7.2026625,-6.817557
ETHUSDC-ETHUSDT,04/01-07/30,0.5186379,2.161729335784912,80,0.0064829737,61,98,2881,0.07657564,-0.09089523
APEUSDC-GODSUSDT,04/01-07/30,16.302904,1.1265026330947876,32,0.50946575,13,51,2881,8.245845,-2.5599337
APEUSDC-HFTUSDC,04/01-07/30,-2.9818978,1.38426673412323,46,-0.064823866,21,70,2881,7.746777,-6.900315
APEUSDT-HFTUSDC,04/01-07/30,-1.687211,1.3594061136245728,45,-0.03749358,19,71,2881,7.753956,-7.1425343
DYDXUSDT-KSMUSDT,04/01-07/30,4.184436,0.6998614072799683,36,0.11623433,16,56,2881,2.618302,-1.1086
AVAUSDT-KASTAUSDT,04/01-07/30,-31.471146,3.4377028942108154,46,-0.68415534,17,75,2881,6.3049803,-8.387655
