,PnL
2023-05-01,0.0
2023-05-02,0.00187661312520504
2023-05-03,-4.672937820199877
2023-05-04,12.68499280436663
2023-05-05,3.8110341052524745
2023-05-06,23.87910018581897
2023-05-07,-0.6822331032017246
2023-05-08,16.806475260294974
2023-05-09,40.12110809329897
2023-05-10,1.2186366617679596
2023-05-11,-11.511875500436872
2023-05-12,-1.9155415690038353
2023-05-13,-1.5816852487623692
2023-05-14,-4.288233729079366
2023-05-15,1.5323246084153652
2023-05-16,3.19594535313081
2023-05-17,-4.221484983339906
2023-05-18,-1.2394455801695585
2023-05-19,4.782649385742843
2023-05-20,0.1599951172247529
2023-05-21,-11.415206208825111
2023-05-22,16.735606534406543
2023-05-23,0.024717512540519238
2023-05-24,-13.209090483374894
2023-05-25,-0.2923838905990124
2023-05-26,-1.7690494428388774
2023-05-27,-0.2763618975877762
2023-05-28,-4.892423360608518
2023-05-29,4.36950323684141
2023-05-30,12.801025339751504
2023-05-31,0.0
2023-06-01,5.12427619472146
2023-06-02,-5.42507129779915
2023-06-03,-4.531073167570867
2023-06-04,-10.253275561670307
2023-06-05,-22.488801880041137
2023-06-06,30.922812481876463
2023-06-07,-12.761359913274646
2023-06-08,47.3675686926581
2023-06-09,-5.153551998082548
2023-06-10,-10.277289722114801
2023-06-11,3.6730957916006446
2023-06-12,-11.88144127652049
2023-06-13,20.04134865477681
2023-06-14,-10.380599532276392
2023-06-15,-13.309207692742348
2023-06-16,16.594293020665646
2023-06-17,-3.198720797896385
2023-06-18,-27.921285007614642
2023-06-19,2.226798430085182
2023-06-20,-5.804718503728509
2023-06-21,19.426628723740578
2023-06-22,21.85408998094499
2023-06-23,8.876267223618925
2023-06-24,-4.633290904574096
2023-06-25,36.486991967307404
2023-06-26,-58.42415492562577
2023-06-27,28.693322584033012
2023-06-28,-20.58957263547927
2023-06-29,-6.277015769854188
2023-06-30,0.0
2023-07-01,3.3234487080480903
2023-07-02,8.735349443973973
2023-07-03,5.041475226404145
2023-07-04,-2.6455278291832656
2023-07-05,-0.1931317548151128
2023-07-06,2.257119226269424
2023-07-07,29.01509947667364
2023-07-08,24.34605961292982
2023-07-09,-0.4298642717767507
2023-07-10,-18.665816177264787
2023-07-11,-0.7349478761316277
2023-07-12,-3.902362040942535
2023-07-13,3.765981455333531
2023-07-14,-10.297077221795917
2023-07-15,-9.064736213185824
2023-07-16,7.021534597733989
2023-07-17,10.344492042902857
2023-07-18,4.051307642250322
2023-07-19,-13.735649887938052
2023-07-20,-10.39697600249201
2023-07-21,2.7498281619045883
2023-07-22,9.021430072374642
2023-07-23,-0.0748433582339203
2023-07-24,-10.742495700484142
2023-07-25,-0.2964695926057175
2023-07-26,2.3928679082309827
2023-07-27,1.7540659522637725
2023-07-28,-0.8578364476561546
2023-07-29,-16.151032203575596
2023-07-30,-0.017539547756314278
2023-07-31,-11.130838986020535
2023-08-01,14.219593114918098
2023-08-02,-1.2734211897477508
2023-08-03,-12.454933365574107
2023-08-04,18.693454546155408
2023-08-05,-41.401465450413525
2023-08-06,-7.854376243427396
2023-08-07,-2.6332373917102814
2023-08-08,-8.91321137547493
2023-08-09,13.621177812572569
2023-08-10,-5.009007776621729
2023-08-11,-3.1964624654501677
2023-08-12,4.0442391615360975
2023-08-13,3.620620890520513
2023-08-14,5.379686640109867
2023-08-15,-11.943057537544519
2023-08-16,12.901288494933397
2023-08-17,-117.72483058460057
2023-08-18,34.34949538484216
2023-08-19,-4.260172070004046
2023-08-20,4.3652107189409435
2023-08-21,-20.566558624617755
2023-08-22,-16.722737075644545
2023-08-23,-9.163684954866767
2023-08-24,-18.42470276984386
2023-08-25,54.64817635342479
2023-08-26,5.8807648692745715
2023-08-27,3.1955763436853886
2023-08-28,4.472249162849039
2023-08-29,0.0
2023-08-30,11.493921857327223
2023-08-31,-12.147191282710992
2023-09-01,2.0732051584636793
2023-09-02,5.2273092973046005
2023-09-03,-3.1731436114641838
2023-09-04,3.502476507332176
2023-09-05,8.148205825302284
2023-09-06,14.601094106445089
2023-09-07,7.807233037659898
2023-09-08,7.459171008697012
2023-09-09,3.904740733327344
2023-09-10,-41.339906278648414
2023-09-11,17.65546333324164
2023-09-12,3.715300743468106
2023-09-13,0.4816177277825773
2023-09-14,-4.84851428726688
2023-09-15,-2.1921150182606652
2023-09-16,-10.123899689409882
2023-09-17,2.6343685779720545
2023-09-18,5.580496402690187
2023-09-19,8.003673267492559
2023-09-20,10.845924421213567
2023-09-21,3.938976407807786
2023-09-22,5.334054843697231
2023-09-23,7.355035749729723
2023-09-24,-4.094684349605814
2023-09-25,8.045499940082664
2023-09-26,1.8442769991233945
2023-09-27,-3.882754652760923
2023-09-28,-0.020279936492443085
