pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,entry_notional_count,entry_notional_cap_hits,entry_notional_below_min,entry_notional_avg,entry_notional_p50,entry_notional_min,entry_notional_max
ETHUSDC-ETHUSDT,01/31-05/31,0.48844522,2.3577322959899902,47,0.010392452,35,58,2881,1.0035684,-1.354718,47,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CAKEUSDT-FIDAUSDT,01/31-05/31,7.807848,2.140282392501831,44,0.17745109,24,64,2881,16.742468,-4.2081146,44,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-HFTUSDT,01/31-05/31,1.4458401,1.5387437343597412,32,0.045182504,12,52,2881,2.6821153,-1.9917032,32,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ETCUSDT-JUVUSDT,01/31-05/31,21.492538,1.8040311336517334,37,0.5808794,20,54,2881,20.507504,-5.9844065,37,0,0,15.0,15.0,14.999999046325684,15.000000953674316
FTTUSDT-KSMUSDT,01/31-05/31,1.4254262,1.5651218891143799,33,0.043194734,14,51,2881,4.311879,-3.060485,33,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AGLDUSDT-HFTUSDC,01/31-05/31,-5.682738,2.0696935653686523,43,-0.1321567,20,66,2881,1.9666655,-4.88481,43,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AXSUSDT-DOTUSDT,01/31-05/31,3.5947778,2.0576882362365723,43,0.083599485,22,64,2881,3.340011,-2.30457,43,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDT-KDAUSDT,01/31-05/31,9.638895,1.8828272819519043,39,0.24715115,19,59,2881,8.117019,-3.6077447,39,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CTCUSDT-ERTHAUSDT,01/31-05/31,-0.23636532,1.1112971305847168,23,-0.0102767525,10,36,2881,15.36742,-32.4629,23,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ATOMUSDT-KCALUSDT,01/31-05/31,22.218132,1.1914710998535156,25,0.8887253,11,39,2881,9.933279,-2.8532436,25,0,0,15.0,15.0,14.999999046325684,15.0
DOTUSDC-KDAUSDT,01/31-05/31,7.348437,2.0076489448547363,42,0.17496279,20,64,2881,8.196598,-4.3029675,42,0,0,15.0,15.0,14.999999046325684,15.000000953674316
FLOWUSDT-JSTUSDT,01/31-05/31,-4.5000916,1.4489058256149292,31,-0.14516424,15,46,2881,4.570761,-3.810183,31,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ATOMUSDT-GODSUSDT,01/31-05/31,-3.051926,2.0122265815734863,42,-0.0726649,26,58,2881,2.7131782,-3.1924598,42,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DYDXUSDT-KCALUSDT,01/31-05/31,-4.2325478,1.9390274286270142,41,-0.103232875,21,60,2881,4.3678355,-9.674842,41,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-KDAUSDT,01/31-05/31,-11.081419,1.4465941190719604,30,-0.36938062,13,47,2881,2.0742111,-6.8656883,30,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CITYUSDT-IZIUSDT,01/31-05/31,51.66093,1.8523696660995483,37,1.3962414,22,52,2881,28.307234,-4.8708825,37,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DYDXUSDT-KSMUSDT,01/31-05/31,5.1773376,2.1225409507751465,44,0.117666766,29,59,2881,2.2651477,-1.7819753,44,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AVAUSDT-KASTAUSDT,01/31-05/31,3.1293955,1.9759602546691895,41,0.07632672,23,59,2881,5.6713557,-3.6280475,41,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDT-FTTUSDT,01/31-05/31,4.0889425,1.3473117351531982,28,0.14603366,14,42,2881,6.4549866,-3.3946214,28,0,0,15.0,15.0,14.999999046325684,15.000000953674316
BLURUSDT-LDOUSDT,01/31-05/31,-3.535746,1.8308427333831787,38,-0.09304595,15,61,2881,3.8844311,-2.8303394,38,0,0,15.0,15.0,14.999999046325684,15.000000953674316
APEXUSDC-AVAUSDT,01/31-05/31,17.11924,2.1266913414001465,44,0.38907364,31,57,2881,2.2483864,-2.6014614,44,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDC-FTTUSDT,01/31-05/31,-0.78968215,1.4447987079620361,30,-0.02632274,12,48,2881,3.816454,-3.632739,30,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-HFTUSDC,01/31-05/31,1.730679,1.7221875190734863,36,0.048074417,17,55,2881,1.9032693,-2.6070867,36,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-DOTUSDT,01/31-05/31,-6.8936753,2.010737895965576,42,-0.16413513,18,65,2881,3.844497,-4.7419157,42,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ETHUSDC-ETHUSDT,03/02-06/30,8.987828,3.1463258266448975,45,0.19972952,24,66,2881,2.8668718,-0.34151658,45,0,0,16.775440216064453,16.775440216064453,16.775440216064453,16.775440216064453
FTTUSDT-KSMUSDT,03/02-06/30,-44.26924,2.5485763549804688,46,-0.9623748,18,74,2881,13.04728,-23.431644,46,0,0,16.775440216064453,16.775440216064453,16.775440216064453,16.775440216064453
CRVUSDT-KDAUSDT,03/02-06/30,5.9058704,2.307621479034424,43,0.13734582,24,62,2881,9.160234,-7.4621096,43,0,0,16.775440216064453,16.775440216064453,16.775440216064453,16.775440216064453
ETCUSDT-JUVUSDT,03/02-06/30,-48.76528,2.395054340362549,43,-1.1340764,24,62,2881,8.708472,-19.856058,43,0,0,16.775440216064453,16.775440216064453,16.775440216064453,16.775440216064453
DOTUSDT-KDAUSDT,03/02-06/30,6.657558,2.3367981910705566,42,0.15851328,21,63,2881,4.183721,-3.1110916,42,0,0,16.775440216064453,16.775440216064453,16.775440216064453,16.775440216064453
CRVUSDT-DOTUSDT,03/02-06/30,-18.603926,2.2969236373901367,42,-0.4429506,18,65,2881,2.6755044,-6.286377,42,0,0,16.775440216064453,16.775440216064453,16.775440216064453,16.775440216064453
ATOMUSDT-KCALUSDT,03/02-06/30,-38.129578,2.286853075027466,43,-0.88673437,22,63,2881,3.4948373,-16.511532,43,0,0,16.775440216064453,16.775440216064453,16.775440216064453,16.775440216064453
DOTUSDC-KDAUSDT,03/02-06/30,2.0719228,2.280445098876953,42,0.049331494,19,65,2881,4.21842,-5.12594,42,0,0,16.775440216064453,16.775440216064453,16.775440216064453,16.775440216064453
GMTUSDC-HOOKUSDT,03/02-06/30,-40.85778,2.635148048400879,46,-0.8882126,24,68,2881,15.243587,-48.721718,46,0,0,16.775440216064453,16.775440216064453,16.775440216064453,16.775440216064453
CITYUSDT-IZIUSDT,03/02-06/30,-28.426714,2.305202007293701,43,-0.6610864,22,63,2881,14.459972,-15.050494,43,0,0,16.775440216064453,16.775440216064453,16.775440216064453,16.775440216064453
DYDXUSDT-KSMUSDT,03/02-06/30,-48.459503,2.3877034187316895,42,-1.1537977,20,64,2881,27.146229,-35.40491,42,0,0,16.775440216064453,16.775440216064453,16.775440216064453,16.775440216064453
GMTUSDT-HOOKUSDT,03/02-06/30,-12.779753,2.382556438446045,43,-0.29720354,21,65,2881,15.090713,-28.713814,43,0,0,16.775440216064453,16.775440216064453,16.775440216064453,16.775440216064453
ATOMUSDT-GODSUSDT,03/02-06/30,-27.26052,2.309995412826538,43,-0.6339656,22,64,2881,5.3039665,-22.063993,43,0,0,16.775440216064453,16.775440216064453,16.775440216064453,16.775440216064453
CRVUSDT-HFTUSDC,03/02-06/30,5.446322,2.2189815044403076,40,0.13615805,21,59,2881,10.647662,-18.322035,40,0,0,16.775440216064453,16.775440216064453,16.775440216064453,16.775440216064453
CELOUSDT-FLOWUSDT,03/02-06/30,-9.823708,2.1996965408325195,41,-0.23960263,25,56,2881,4.724669,-22.582567,41,0,0,16.775440216064453,16.775440216064453,16.775440216064453,16.775440216064453
DOTUSDC-FTTUSDT,03/02-06/30,-0.9365423,2.2998855113983154,43,-0.021780053,17,69,2881,11.973967,-5.422135,43,0,0,16.775440216064453,16.775440216064453,16.775440216064453,16.775440216064453
CRVUSDT-HFTUSDT,03/02-06/30,19.483301,2.2683680057525635,42,0.4638881,19,65,2881,14.3396435,-2.4593081,42,0,0,16.775440216064453,16.775440216064453,16.775440216064453,16.775440216064453
GODSUSDT-KCALUSDT,03/02-06/30,208.49916,1.9353241920471191,30,6.949972,9,50,2881,169.17784,-12.026316,30,0,0,16.775442123413086,16.775440216064453,16.77543830871582,16.775440216064453
DOTUSDT-FTTUSDT,03/02-06/30,7.4250393,2.3205323219299316,43,0.17267533,21,65,2881,18.86028,-7.864431,43,0,0,16.775440216064453,16.775440216064453,16.775440216064453,16.775440216064453
