pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,entry_notional_count,entry_notional_cap_hits,entry_notional_below_min,entry_notional_avg,entry_notional_p50,entry_notional_min,entry_notional_max
ETHUSDC-ETHUSDT,01/31-05/31,-3.3711658,2.991204261779785,51,-0.06610129,28,73,2881,2.6186914,-4.107691,51,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CAKEUSDT-FIDAUSDT,01/31-05/31,10.783495,2.1165456771850586,43,0.25077894,25,61,2881,16.742468,-4.694906,43,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-HFTUSDT,01/31-05/31,-3.3174152,2.1312737464904785,45,-0.073720336,20,69,2881,3.5835097,-2.948745,45,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ETCUSDT-JUVUSDT,01/31-05/31,53.40483,2.007361888885498,41,1.3025569,28,53,2881,18.645208,-6.2383156,41,0,0,15.0,15.0,14.999999046325684,15.000000953674316
FTTUSDT-KSMUSDT,01/31-05/31,-5.266532,2.0290403366088867,42,-0.12539361,20,64,2881,3.3988824,-2.603546,42,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AGLDUSDT-HFTUSDC,01/31-05/31,-2.008136,2.33357572555542,48,-0.04183617,25,71,2881,1.9772648,-4.88481,48,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AXSUSDT-DOTUSDT,01/31-05/31,1.0144676,2.289050579071045,48,0.021134742,24,72,2881,2.8867018,-3.641626,48,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDT-KDAUSDT,01/31-05/31,6.560444,2.4338932037353516,50,0.13120888,27,73,2881,7.521939,-4.661136,50,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CTCUSDT-ERTHAUSDT,01/31-05/31,-86.06456,1.8613357543945312,37,-2.326069,19,55,2881,17.757128,-53.365776,37,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ATOMUSDT-KCALUSDT,01/31-05/31,-28.783216,1.8344969749450684,37,-0.7779248,19,55,2881,4.6140494,-39.009956,37,0,0,15.0,15.0,14.999999046325684,15.0
DOTUSDC-KDAUSDT,01/31-05/31,2.7988243,2.3386142253875732,48,0.05830884,24,72,2881,7.458756,-5.102333,48,0,0,15.0,15.0,14.999999046325684,15.000000953674316
FLOWUSDT-JSTUSDT,01/31-05/31,-4.8835936,2.201180934906006,46,-0.106165074,25,66,2881,2.0042145,-2.5850778,46,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ATOMUSDT-GODSUSDT,01/31-05/31,-10.12539,2.2343392372131348,47,-0.21543384,28,65,2881,1.9505861,-3.1924598,47,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DYDXUSDT-KCALUSDT,01/31-05/31,68.96299,2.1291873455047607,43,1.6037904,25,60,2881,38.480568,-4.333078,43,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-KDAUSDT,01/31-05/31,8.250679,2.134681224822998,43,0.19187626,23,63,2881,18.711714,-6.8656883,43,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CITYUSDT-IZIUSDT,01/31-05/31,48.48345,2.2794158458709717,46,1.0539881,28,63,2881,28.307234,-7.724979,46,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DYDXUSDT-KSMUSDT,01/31-05/31,10.842616,2.181756019592285,46,0.23570904,29,62,2881,4.638318,-1.01719,46,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AVAUSDT-KASTAUSDT,01/31-05/31,11.414805,2.4016199111938477,50,0.2282961,27,72,2881,12.08163,-3.6280475,50,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDT-FTTUSDT,01/31-05/31,11.181915,2.1490793228149414,45,0.24848701,27,62,2881,5.27705,-4.4007187,45,0,0,15.0,15.0,14.999999046325684,15.000000953674316
BLURUSDT-LDOUSDT,01/31-05/31,1.1652737,2.025411367416382,42,0.027744612,22,62,2881,3.799622,-2.272846,42,0,0,15.0,15.0,14.999999046325684,15.000000953674316
APEXUSDC-AVAUSDT,01/31-05/31,2.8415208,2.2841267585754395,47,0.06045789,32,62,2881,3.073801,-5.4659333,47,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDC-FTTUSDT,01/31-05/31,9.721181,2.2859983444213867,48,0.2025246,25,70,2881,5.0555906,-4.598753,48,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-HFTUSDC,01/31-05/31,-6.158902,2.2253761291503906,47,-0.13104047,20,73,2881,4.0750933,-4.008495,47,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-DOTUSDT,01/31-05/31,-12.109508,2.1322531700134277,45,-0.26910016,21,68,2881,2.5309367,-4.7419157,45,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ETHUSDC-ETHUSDT,03/02-06/30,-17.645878,3.6032941341400146,50,-0.35291755,27,72,2881,2.774555,-22.207375,50,0,0,16.23525047302246,16.23525047302246,16.23525047302246,16.23525047302246
FTTUSDT-KSMUSDT,03/02-06/30,-376.4645,2.9428939819335938,46,-8.184011,19,72,2881,13.398376,-204.9191,46,0,0,16.235248565673828,16.23525047302246,16.23525047302246,16.23525047302246
CRVUSDT-KDAUSDT,03/02-06/30,9.224241,2.2277050018310547,43,0.21451724,26,59,2881,7.6321893,-8.359265,43,0,0,16.235248565673828,16.23525047302246,16.23525047302246,16.23525047302246
ETCUSDT-JUVUSDT,03/02-06/30,-15.105707,2.224695920944214,43,-0.3512955,22,64,2881,21.793928,-32.160004,43,0,0,16.235248565673828,16.23525047302246,16.23525047302246,16.23525047302246
DOTUSDT-KDAUSDT,03/02-06/30,13.683377,2.1571502685546875,41,0.33374092,22,59,2881,6.6022,-3.0109107,41,0,0,16.23525047302246,16.23525047302246,16.23525047302246,16.23525047302246
CRVUSDT-DOTUSDT,03/02-06/30,16.519104,2.111029624938965,39,0.42356676,16,61,2881,11.73352,-1.7614788,39,0,0,16.235246658325195,16.23525047302246,16.23525047302246,16.23525047302246
ATOMUSDT-KCALUSDT,03/02-06/30,131.33865,2.4685704708099365,44,2.9849694,22,65,2881,155.68799,-18.060677,44,0,0,16.235248565673828,16.23525047302246,16.23525047302246,16.23525047302246
DOTUSDC-KDAUSDT,03/02-06/30,-7.805042,2.171905994415283,42,-0.18583433,19,64,2881,2.679516,-3.1247945,42,0,0,16.23525047302246,16.23525047302246,16.23525047302246,16.23525047302246
GMTUSDC-HOOKUSDT,03/02-06/30,-321.4225,2.619386911392212,43,-7.4749417,17,68,2881,7.029544,-295.1361,43,0,0,16.235248565673828,16.23525047302246,16.23525047302246,16.23525047302246
CITYUSDT-IZIUSDT,03/02-06/30,46.89638,2.3876051902770996,45,1.0421418,27,62,2881,26.310738,-14.565849,45,0,0,16.235248565673828,16.23525047302246,16.23525047302246,16.23525047302246
DYDXUSDT-KSMUSDT,03/02-06/30,-81.01264,2.22592830657959,44,-1.8411964,16,71,2881,8.803586,-30.73096,44,0,0,16.235248565673828,16.23525047302246,16.23525047302246,16.23525047302246
GMTUSDT-HOOKUSDT,03/02-06/30,-63.99275,2.657724618911743,46,-1.3911467,22,70,2881,16.406567,-78.71939,46,0,0,16.235248565673828,16.23525047302246,16.23525047302246,16.23525047302246
ATOMUSDT-GODSUSDT,03/02-06/30,-51.58015,2.1634674072265625,42,-1.2280989,19,64,2881,4.0314975,-21.353506,42,0,0,16.23525047302246,16.23525047302246,16.23525047302246,16.23525047302246
CRVUSDT-HFTUSDC,03/02-06/30,-2.5772,2.428414821624756,45,-0.057271108,19,71,2881,13.885156,-17.732042,45,0,0,16.235248565673828,16.23525047302246,16.23525047302246,16.23525047302246
CELOUSDT-FLOWUSDT,03/02-06/30,-8.165569,2.3564510345458984,44,-0.18558112,27,60,2881,9.885968,-21.855381,44,0,0,16.235248565673828,16.23525047302246,16.23525047302246,16.23525047302246
