pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,entry_notional_count,entry_notional_cap_hits,entry_notional_below_min,entry_notional_avg,entry_notional_p50,entry_notional_min,entry_notional_max
ETHUSDC-ETHUSDT,01/31-05/31,-3.3711658,2.991204261779785,51,-0.06610129,28,73,2881,2.6186914,-4.107691,51,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CAKEUSDT-FIDAUSDT,01/31-05/31,10.783495,2.1165456771850586,43,0.25077894,25,61,2881,16.742468,-4.694906,43,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-HFTUSDT,01/31-05/31,-14.741661,2.38258695602417,50,-0.2948332,23,76,2881,2.8217278,-4.6972876,50,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ETCUSDT-JUVUSDT,01/31-05/31,53.40483,2.007361888885498,41,1.3025569,28,53,2881,18.645208,-6.2383156,41,0,0,15.0,15.0,14.999999046325684,15.000000953674316
FTTUSDT-KSMUSDT,01/31-05/31,-15.699007,2.4744386672973633,51,-0.30782366,24,78,2881,2.3678484,-3.4216404,51,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AGLDUSDT-HFTUSDC,01/31-05/31,-2.008136,2.33357572555542,48,-0.04183617,25,71,2881,1.9772648,-4.88481,48,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AXSUSDT-DOTUSDT,01/31-05/31,1.0144676,2.289050579071045,48,0.021134742,24,72,2881,2.8867018,-3.641626,48,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDT-KDAUSDT,01/31-05/31,6.560444,2.4338932037353516,50,0.13120888,27,73,2881,7.521939,-4.661136,50,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CTCUSDT-ERTHAUSDT,01/31-05/31,349.1481,3.1503474712371826,46,7.590176,26,65,2881,481.20966,-85.401146,46,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ATOMUSDT-KCALUSDT,01/31-05/31,28.73332,1.9415818452835083,40,0.718333,25,55,2881,14.995007,-3.7326715,40,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDC-KDAUSDT,01/31-05/31,2.7988243,2.3386142253875732,48,0.05830884,24,72,2881,7.458756,-5.102333,48,0,0,15.0,15.0,14.999999046325684,15.000000953674316
FLOWUSDT-JSTUSDT,01/31-05/31,-13.148384,2.302035093307495,48,-0.27392468,27,68,2881,2.0042145,-4.2455463,48,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ATOMUSDT-GODSUSDT,01/31-05/31,-10.12539,2.2343392372131348,47,-0.21543384,28,65,2881,1.9505861,-3.1924598,47,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DYDXUSDT-KCALUSDT,01/31-05/31,68.96299,2.1291873455047607,43,1.6037904,25,60,2881,38.480568,-4.333078,43,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-KDAUSDT,01/31-05/31,-18.739527,2.453457832336426,50,-0.37479055,25,75,2881,11.521671,-6.8656883,50,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CITYUSDT-IZIUSDT,01/31-05/31,48.48345,2.2794158458709717,46,1.0539881,28,63,2881,28.307234,-7.724979,46,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DYDXUSDT-KSMUSDT,01/31-05/31,10.842616,2.181756019592285,46,0.23570904,29,62,2881,4.638318,-1.01719,46,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AVAUSDT-KASTAUSDT,01/31-05/31,11.414805,2.4016199111938477,50,0.2282961,27,72,2881,12.08163,-3.6280475,50,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDT-FTTUSDT,01/31-05/31,3.5709674,2.2038726806640625,46,0.07762973,23,68,2881,3.5966406,-5.539467,46,0,0,15.0,15.0,14.999999046325684,15.000000953674316
BLURUSDT-LDOUSDT,01/31-05/31,1.1652737,2.025411367416382,42,0.027744612,22,62,2881,3.799622,-2.272846,42,0,0,15.0,15.0,14.999999046325684,15.000000953674316
APEXUSDC-AVAUSDT,01/31-05/31,2.8415208,2.2841267585754395,47,0.06045789,32,62,2881,3.073801,-5.4659333,47,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDC-FTTUSDT,01/31-05/31,11.257173,2.3317930698394775,48,0.23452443,29,67,2881,5.0555906,-5.4682784,48,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-HFTUSDC,01/31-05/31,-13.682428,2.3791723251342773,50,-0.27364856,24,75,2881,4.0750933,-4.4270086,50,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-DOTUSDT,01/31-05/31,-12.109508,2.1322531700134277,45,-0.26910016,21,68,2881,2.5309367,-4.7419157,45,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ETHUSDC-ETHUSDT,03/02-06/30,-24.692894,5.042298316955566,50,-0.4938579,27,72,2881,3.8825955,-31.076065,50,0,0,22.71892547607422,22.71892547607422,22.71892547607422,22.71892738342285
FTTUSDT-KSMUSDT,03/02-06/30,-526.8086,4.118162155151367,46,-11.452361,19,72,2881,18.749125,-286.75516,46,0,0,22.71892738342285,22.71892547607422,22.71892547607422,22.71892738342285
CRVUSDT-KDAUSDT,03/02-06/30,12.908013,3.117356777191162,43,0.30018637,26,59,2881,10.680164,-11.697604,43,0,0,22.71892738342285,22.71892738342285,22.71892547607422,22.71892738342285
ETCUSDT-JUVUSDT,03/02-06/30,-21.138298,3.113145589828491,43,-0.49158832,22,64,2881,30.497507,-45.003357,43,0,0,22.71892738342285,22.71892547607422,22.71892547607422,22.71892738342285
DOTUSDT-KDAUSDT,03/02-06/30,19.147942,3.018625497817993,41,0.46702296,22,59,2881,9.238841,-4.2133417,41,0,0,22.71892738342285,22.71892738342285,22.71892547607422,22.71892738342285
CRVUSDT-DOTUSDT,03/02-06/30,23.116138,2.9540858268737793,39,0.5927215,16,61,2881,16.419394,-2.4649394,39,0,0,22.71892738342285,22.71892547607422,22.71892547607422,22.71892738342285
ATOMUSDT-KCALUSDT,03/02-06/30,183.78975,3.454413890838623,44,4.1770396,22,65,2881,217.8632,-25.273352,44,0,0,22.71892738342285,22.71892547607422,22.71892547607422,22.71892738342285
DOTUSDC-KDAUSDT,03/02-06/30,-10.922045,3.039273738861084,42,-0.2600487,19,64,2881,3.7496018,-4.372706,42,0,0,22.71892738342285,22.71892547607422,22.71892547607422,22.71892738342285
GMTUSDC-HOOKUSDT,03/02-06/30,-449.7852,3.6654598712921143,43,-10.46012,17,68,2881,9.836848,-413.00107,43,0,0,22.71892738342285,22.71892547607422,22.71892547607422,22.71892738342285
CITYUSDT-IZIUSDT,03/02-06/30,65.62483,3.341114044189453,45,1.4583296,27,62,2881,36.81814,-20.382837,45,0,0,22.71892738342285,22.71892547607422,22.71892547607422,22.71892738342285
DYDXUSDT-KSMUSDT,03/02-06/30,-113.365685,3.114870309829712,44,-2.5764928,16,71,2881,12.319368,-43.003613,44,0,0,22.71892738342285,22.71892547607422,22.71892547607422,22.71892738342285
GMTUSDT-HOOKUSDT,03/02-06/30,-89.54879,3.7191081047058105,46,-1.9467129,22,70,2881,22.95866,-110.15661,46,0,0,22.71892738342285,22.71892738342285,22.71892547607422,22.71892738342285
ATOMUSDT-GODSUSDT,03/02-06/30,-72.1791,3.0274648666381836,42,-1.71855,19,64,2881,5.641508,-29.881199,42,0,0,22.71892738342285,22.71892547607422,22.71892547607422,22.71892738342285
CRVUSDT-HFTUSDC,03/02-06/30,-3.6064243,3.398221492767334,45,-0.080142766,19,71,2881,19.430302,-24.813473,45,0,0,22.71892547607422,22.71892547607422,22.71892547607422,22.71892738342285
CELOUSDT-FLOWUSDT,03/02-06/30,-11.426552,3.297518253326416,44,-0.25969437,27,60,2881,13.834008,-30.5835,44,0,0,22.71892738342285,22.71892547607422,22.71892547607422,22.71892738342285
