pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,entry_notional_count,entry_notional_cap_hits,entry_notional_below_min,entry_notional_avg,entry_notional_p50,entry_notional_min,entry_notional_max
ETHUSDC-ETHUSDT,01/31-05/31,0.6312729,2.336505174636841,46,0.013723324,33,59,2881,0.7853584,-1.0715121,46,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CAKEUSDT-FIDAUSDT,01/31-05/31,-8.9650545,2.1269187927246094,44,-0.20375124,20,68,2881,2.62659,-4.0156736,44,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-HFTUSDT,01/31-05/31,1.7124798,1.296809434890747,27,0.063425176,9,45,2881,2.97883,-1.3278894,27,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ETCUSDT-JUVUSDT,01/31-05/31,12.292828,1.8022321462631226,37,0.33223858,16,58,2881,20.507504,-5.6361995,37,0,0,15.0,15.0,14.999999046325684,15.000000953674316
FTTUSDT-KSMUSDT,01/31-05/31,3.3483891,1.4813134670257568,31,0.10801255,16,46,2881,4.311879,-3.060485,31,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AGLDUSDT-HFTUSDC,01/31-05/31,-5.7613773,1.927018404006958,40,-0.14403443,17,63,2881,1.9666655,-4.88481,40,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AXSUSDT-DOTUSDT,01/31-05/31,6.8753977,1.9164190292358398,40,0.17188494,20,60,2881,3.340011,-1.384735,40,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDT-KDAUSDT,01/31-05/31,7.311368,1.8500680923461914,39,0.18747097,19,59,2881,8.438947,-3.6077447,39,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CTCUSDT-ERTHAUSDT,01/31-05/31,-40.449776,1.0416486263275146,19,-2.1289356,9,29,2881,15.36742,-78.93157,19,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ATOMUSDT-KCALUSDT,01/31-05/31,10.862429,0.9924366474151611,21,0.5172585,6,36,2881,9.933279,-2.7491317,21,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDC-KDAUSDT,01/31-05/31,5.9041376,1.8602324724197388,39,0.15138814,17,61,2881,8.196598,-3.7815354,39,0,0,15.0,15.0,14.999999046325684,15.000000953674316
FLOWUSDT-JSTUSDT,01/31-05/31,-8.673884,1.0016461610794067,21,-0.41304213,8,34,2881,0.90958285,-3.810183,21,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ATOMUSDT-GODSUSDT,01/31-05/31,15.746999,1.7768046855926514,37,0.42559457,25,49,2881,4.204147,-1.3186762,37,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DYDXUSDT-KCALUSDT,01/31-05/31,21.285326,1.8399569988250732,39,0.5457776,19,58,2881,9.545986,-3.2833946,39,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-KDAUSDT,01/31-05/31,-14.9741955,1.1212151050567627,23,-0.651052,7,39,2881,1.6751982,-3.9025602,23,0,0,15.0,15.0,14.999999046325684,15.000000953674316
