pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,entry_notional_count,entry_notional_cap_hits,entry_notional_below_min,entry_notional_avg,entry_notional_p50,entry_notional_min,entry_notional_max
ETHUSDC-ETHUSDT,01/31-05/31,-0.14175898,2.491103172302246,47,-0.0030161485,36,57,2881,1.0035684,-2.1085057,47,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CAKEUSDT-FIDAUSDT,01/31-05/31,8.175679,2.0501646995544434,42,0.19465902,24,60,2881,16.742468,-4.2081146,42,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-HFTUSDT,01/31-05/31,-5.5750713,1.4862706661224365,31,-0.17984101,11,51,2881,2.6821153,-2.3417547,31,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ETCUSDT-JUVUSDT,01/31-05/31,36.768486,1.7699470520019531,36,1.0213468,22,50,2881,20.507504,-5.9844065,36,0,0,15.0,15.0,14.999999046325684,15.000000953674316
FTTUSDT-KSMUSDT,01/31-05/31,0.7648475,1.4929378032684326,31,0.0246725,14,48,2881,3.308366,-3.060485,31,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AGLDUSDT-HFTUSDC,01/31-05/31,-4.814313,2.0735929012298584,43,-0.11196077,21,65,2881,1.9666655,-4.88481,43,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AXSUSDT-DOTUSDT,01/31-05/31,0.21521568,1.9132481813430786,40,0.005380392,21,59,2881,2.430739,-2.30457,40,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDT-KDAUSDT,01/31-05/31,4.574297,1.929362177848816,40,0.11435743,20,60,2881,8.117019,-4.661136,40,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CTCUSDT-ERTHAUSDT,01/31-05/31,-25.963217,1.1601269245147705,23,-1.1288356,11,35,2881,10.0702305,-32.4629,23,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ATOMUSDT-KCALUSDT,01/31-05/31,20.321278,1.1505413055419922,24,0.8467199,13,35,2881,9.933279,-2.9855103,24,0,0,15.0,15.0,14.999999046325684,15.0
DOTUSDC-KDAUSDT,01/31-05/31,7.4130363,2.0521581172943115,43,0.1723962,23,63,2881,8.196598,-4.3029675,43,0,0,15.0,15.0,14.999999046325684,15.000000953674316
FLOWUSDT-JSTUSDT,01/31-05/31,-4.081468,1.449721336364746,31,-0.13166027,15,46,2881,4.570761,-3.810183,31,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ATOMUSDT-GODSUSDT,01/31-05/31,7.376649,1.9065347909927368,40,0.18441622,26,54,2881,3.0497518,-3.1924598,40,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DYDXUSDT-KCALUSDT,01/31-05/31,35.90428,1.9849185943603516,41,0.8757142,23,58,2881,35.227444,-9.674842,41,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-KDAUSDT,01/31-05/31,-10.204499,1.4116202592849731,29,-0.3518793,13,45,2881,5.413558,-5.7629495,29,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CITYUSDT-IZIUSDT,01/31-05/31,67.011635,1.8798751831054688,37,1.8111253,22,52,2881,28.307234,-4.8173747,37,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DYDXUSDT-KSMUSDT,01/31-05/31,6.325342,2.0208520889282227,42,0.15060338,29,55,2881,2.2651477,-2.2907228,42,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AVAUSDT-KASTAUSDT,01/31-05/31,-16.76418,1.8625653982162476,38,-0.44116262,20,56,2881,1.9375346,-9.4560175,38,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDT-FTTUSDT,01/31-05/31,5.2688684,1.3017730712890625,27,0.19514328,14,40,2881,6.4549866,-3.3946214,27,0,0,15.0,15.0,14.999999046325684,15.000000953674316
BLURUSDT-LDOUSDT,01/31-05/31,-1.2601652,1.837479829788208,38,-0.033162244,17,59,2881,3.8844311,-2.8303394,38,0,0,15.0,15.0,14.999999046325684,15.000000953674316
APEXUSDC-AVAUSDT,01/31-05/31,11.261042,2.095949172973633,43,0.2618847,31,55,2881,2.0018814,-5.4659333,43,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDC-FTTUSDT,01/31-05/31,7.91589,1.2709282636642456,26,0.3044573,14,38,2881,6.1794868,-3.632739,26,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-HFTUSDC,01/31-05/31,-2.591063,1.6774096488952637,35,-0.07403037,17,53,2881,1.7243094,-2.6070867,35,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-DOTUSDT,01/31-05/31,-6.6468787,1.9150983095169067,40,-0.16617197,19,60,2881,3.844497,-4.7419157,40,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ETHUSDC-ETHUSDT,03/02-06/30,9.27886,3.0462803840637207,46,0.20171435,29,63,2881,4.304544,-0.07981506,46,0,0,17.118810653686523,17.11880874633789,17.11880874633789,17.118810653686523
FTTUSDT-KSMUSDT,03/02-06/30,-202.2391,2.842829704284668,47,-4.30296,21,72,2881,10.720489,-168.49721,47,0,0,17.118812561035156,17.11880874633789,17.11880874633789,17.11880874633789
CRVUSDT-KDAUSDT,03/02-06/30,1.4820213,2.2972495555877686,42,0.03528622,25,59,2881,9.347732,-15.202367,42,0,0,17.11880874633789,17.11880874633789,17.11880874633789,17.118810653686523
ETCUSDT-JUVUSDT,03/02-06/30,-16.741493,2.2794189453125,40,-0.41853732,24,56,2881,22.980003,-48.167328,40,0,0,17.11880874633789,17.11880874633789,17.11880874633789,17.11880874633789
DOTUSDT-KDAUSDT,03/02-06/30,7.037941,2.386798858642578,42,0.16757002,21,63,2881,6.9615064,-3.1747713,42,0,0,17.11880874633789,17.11880874633789,17.11880874633789,17.118810653686523
CRVUSDT-DOTUSDT,03/02-06/30,-13.057459,2.112089157104492,38,-0.34361735,21,54,2881,2.730268,-6.4150496,38,0,0,17.118812561035156,17.11880874633789,17.11880874633789,17.118810653686523
ATOMUSDT-KCALUSDT,03/02-06/30,-40.85987,2.2246460914611816,41,-0.9965822,22,59,2881,3.5663714,-16.849499,41,0,0,17.11880874633789,17.11880874633789,17.11880874633789,17.11880874633789
DOTUSDC-KDAUSDT,03/02-06/30,-3.048799,2.218923807144165,40,-0.076219976,17,63,2881,4.3047647,-5.2308607,40,0,0,17.11880874633789,17.11880874633789,17.11880874633789,17.11880874633789
GMTUSDC-HOOKUSDT,03/02-06/30,-93.85595,2.5872926712036133,43,-2.1826966,22,64,2881,15.5556,-75.515335,43,0,0,17.118810653686523,17.11880874633789,17.11880874633789,17.118810653686523
CITYUSDT-IZIUSDT,03/02-06/30,-33.87835,2.230142831802368,41,-0.8263012,23,58,2881,14.755947,-16.365273,41,0,0,17.11880874633789,17.11880874633789,17.11880874633789,17.118810653686523
DYDXUSDT-KSMUSDT,03/02-06/30,-88.84096,2.2333266735076904,39,-2.2779732,20,58,2881,12.9585905,-36.129597,39,0,0,17.11881446838379,17.11880874633789,17.11880874633789,17.11880874633789
GMTUSDT-HOOKUSDT,03/02-06/30,-63.572086,2.3671414852142334,41,-1.5505387,20,62,2881,12.432828,-60.88105,41,0,0,17.11880874633789,17.11880874633789,17.11880874633789,17.118810653686523
ATOMUSDT-GODSUSDT,03/02-06/30,-54.04214,2.181802749633789,39,-1.3856959,22,56,2881,5.412531,-42.366173,39,0,0,17.11881446838379,17.11880874633789,17.11880874633789,17.11880874633789
CRVUSDT-HFTUSDC,03/02-06/30,14.431152,2.0631985664367676,37,0.39003116,22,51,2881,15.840413,-16.115229,37,0,0,17.118812561035156,17.11880874633789,17.11880874633789,17.11880874633789
CELOUSDT-FLOWUSDT,03/02-06/30,-9.740653,2.188190460205078,40,-0.24351633,24,55,2881,4.84402,-22.106699,40,0,0,17.11880874633789,17.11880874633789,17.11880874633789,17.118810653686523
DOTUSDC-FTTUSDT,03/02-06/30,3.2388535,2.46944522857666,45,0.07197452,21,69,2881,12.219056,-5.533118,45,0,0,17.118810653686523,17.11880874633789,17.11880874633789,17.118810653686523
CRVUSDT-HFTUSDT,03/02-06/30,21.267607,2.2389402389526367,42,0.5063716,23,60,2881,5.1023965,-1.8273832,42,0,0,17.11880874633789,17.11880874633789,17.11880874633789,17.118810653686523
GODSUSDT-KCALUSDT,03/02-06/30,204.65517,1.864758014678955,28,7.309113,10,45,2881,172.64067,-12.272477,28,0,0,17.11880874633789,17.11880874633789,17.11880874633789,17.11880874633789
DOTUSDT-FTTUSDT,03/02-06/30,7.202646,2.370741844177246,43,0.16750339,20,66,2881,19.24632,-8.025404,43,0,0,17.118810653686523,17.11880874633789,17.11880874633789,17.118810653686523
FLOWUSDT-JSTUSDT,03/02-06/30,0.17699337,2.2183480262756348,41,0.0043169116,21,60,2881,15.608497,-8.583934,41,0,0,17.11880874633789,17.11880874633789,17.11880874633789,17.118810653686523
CELOUSDT-ENJUSDT,03/02-06/30,-23.694881,2.2466378211975098,41,-0.57792395,17,64,2881,5.6357803,-13.452593,41,0,0,17.11880874633789,17.11880874633789,17.11880874633789,17.118810653686523
