pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,entry_notional_count,entry_notional_cap_hits,entry_notional_below_min,entry_notional_avg,entry_notional_p50,entry_notional_min,entry_notional_max
ETHUSDC-ETHUSDT,01/31-05/31,0.5294579,2.360146999359131,47,0.011265063,35,58,2881,1.0035684,-1.354718,47,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CAKEUSDT-FIDAUSDT,01/31-05/31,7.431443,2.144204616546631,44,0.16889644,24,64,2881,16.742468,-4.2081146,44,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-HFTUSDT,01/31-05/31,0.12410784,1.5787512063980103,33,0.0037608435,13,53,2881,2.6821153,-2.2134676,33,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ETCUSDT-JUVUSDT,01/31-05/31,20.52946,1.803239107131958,37,0.5548503,20,54,2881,20.507504,-5.9844065,37,0,0,15.0,15.0,14.999999046325684,15.000000953674316
FTTUSDT-KSMUSDT,01/31-05/31,0.26095223,1.569650411605835,33,0.007907644,13,52,2881,4.311879,-3.060485,33,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AGLDUSDT-HFTUSDC,01/31-05/31,-4.9470954,2.121913433074951,44,-0.112433985,21,67,2881,1.9666655,-4.88481,44,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AXSUSDT-DOTUSDT,01/31-05/31,7.131199,2.1066699028015137,44,0.1620727,24,64,2881,3.340011,-2.30457,44,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDT-KDAUSDT,01/31-05/31,6.4807706,1.9796044826507568,41,0.15806757,21,61,2881,8.117019,-4.661136,41,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CTCUSDT-ERTHAUSDT,01/31-05/31,-25.902565,1.1550514698028564,23,-1.1261985,9,37,2881,15.36742,-32.4629,23,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ATOMUSDT-KCALUSDT,01/31-05/31,18.970745,1.2477706670761108,26,0.72964406,11,41,2881,9.933279,-2.8532436,26,0,0,15.0,15.0,14.999999046325684,15.0
DOTUSDC-KDAUSDT,01/31-05/31,8.469096,2.061691999435425,43,0.19695573,22,64,2881,8.196598,-4.8273845,43,0,0,15.0,15.0,14.999999046325684,15.000000953674316
FLOWUSDT-JSTUSDT,01/31-05/31,-7.531063,1.5064274072647095,32,-0.23534572,13,50,2881,4.570761,-3.810183,32,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ATOMUSDT-GODSUSDT,01/31-05/31,-3.699546,2.0104775428771973,42,-0.08808443,25,59,2881,2.7131782,-3.1924598,42,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DYDXUSDT-KCALUSDT,01/31-05/31,-4.2325478,1.9390274286270142,41,-0.103232875,21,60,2881,4.3678355,-9.674842,41,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-KDAUSDT,01/31-05/31,-11.081419,1.4465941190719604,30,-0.36938062,13,47,2881,2.0742111,-6.8656883,30,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CITYUSDT-IZIUSDT,01/31-05/31,58.00664,1.9995319843292236,40,1.450166,24,56,2881,28.307234,-4.8708825,40,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DYDXUSDT-KSMUSDT,01/31-05/31,3.530596,2.170717716217041,45,0.07845769,29,61,2881,2.2651477,-2.2343097,45,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AVAUSDT-KASTAUSDT,01/31-05/31,1.577455,2.094769239425659,44,0.03585125,23,64,2881,5.6713557,-3.6280475,44,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDT-FTTUSDT,01/31-05/31,5.2569413,1.4024708271026611,29,0.18127383,15,43,2881,6.4549866,-3.3946214,29,0,0,15.0,15.0,14.999999046325684,15.000000953674316
BLURUSDT-LDOUSDT,01/31-05/31,-3.6252925,1.8305432796478271,38,-0.095402434,15,61,2881,3.8322701,-2.8303394,38,0,0,15.0,15.0,14.999999046325684,15.000000953674316
APEXUSDC-AVAUSDT,01/31-05/31,14.562233,2.0833964347839355,43,0.33865657,31,55,2881,2.0018814,-2.6014614,43,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDC-FTTUSDT,01/31-05/31,2.4481297,1.4577583074569702,30,0.081604324,12,48,2881,6.1794868,-3.632739,30,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-HFTUSDC,01/31-05/31,1.2004168,1.7230355739593506,36,0.03334491,17,55,2881,1.7243094,-2.6070867,36,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-DOTUSDT,01/31-05/31,-7.32618,2.01161527633667,42,-0.17443286,18,65,2881,3.844497,-4.7419157,42,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ETHUSDC-ETHUSDT,03/02-06/30,13.012912,3.5228707790374756,48,0.27110234,27,69,2881,4.104301,-0.33229473,48,0,0,16.322458267211914,16.322458267211914,16.322458267211914,16.322460174560547
FTTUSDT-KSMUSDT,03/02-06/30,-112.83075,2.703721046447754,48,-2.3506405,19,77,2881,12.69497,-88.40187,48,0,0,16.322458267211914,16.322458267211914,16.322458267211914,16.322460174560547
CRVUSDT-KDAUSDT,03/02-06/30,8.552963,2.3013882637023926,44,0.19438553,25,63,2881,8.912884,-7.260613,44,0,0,16.32245635986328,16.322458267211914,16.322458267211914,16.322460174560547
ETCUSDT-JUVUSDT,03/02-06/30,-17.07574,2.2601571083068848,42,-0.40656525,24,60,2881,21.910995,-19.319893,42,0,0,16.322458267211914,16.322460174560547,16.322458267211914,16.322460174560547
DOTUSDT-KDAUSDT,03/02-06/30,10.254997,2.3326480388641357,43,0.2384883,21,65,2881,6.6376643,-3.027084,43,0,0,16.322458267211914,16.322458267211914,16.322458267211914,16.322460174560547
CRVUSDT-DOTUSDT,03/02-06/30,-16.733511,2.237736225128174,42,-0.39841694,18,65,2881,2.6032588,-6.116628,42,0,0,16.322458267211914,16.322458267211914,16.322458267211914,16.322460174560547
ATOMUSDT-KCALUSDT,03/02-06/30,-36.827988,2.2232489585876465,43,-0.8564648,22,63,2881,3.4004674,-16.065676,43,0,0,16.322458267211914,16.322458267211914,16.322458267211914,16.322460174560547
DOTUSDC-KDAUSDT,03/02-06/30,1.8061628,2.2181105613708496,42,0.043003876,19,65,2881,4.1045117,-4.9875264,42,0,0,16.322458267211914,16.322458267211914,16.322458267211914,16.322460174560547
GMTUSDC-HOOKUSDT,03/02-06/30,-39.937817,2.562624931335449,46,-0.8682134,24,68,2881,14.831969,-47.406105,46,0,0,16.322458267211914,16.322460174560547,16.322458267211914,16.322460174560547
CITYUSDT-IZIUSDT,03/02-06/30,-28.897,2.244511365890503,43,-0.67202324,22,63,2881,14.069515,-14.644091,43,0,0,16.322458267211914,16.322458267211914,16.322458267211914,16.322460174560547
DYDXUSDT-KSMUSDT,03/02-06/30,-54.511612,2.3659863471984863,43,-1.2677119,19,67,2881,26.413208,-34.448883,43,0,0,16.322458267211914,16.322460174560547,16.322458267211914,16.322460174560547
GMTUSDT-HOOKUSDT,03/02-06/30,-4.7795177,2.2782421112060547,42,-0.11379804,21,63,2881,14.683224,-27.938465,42,0,0,16.322458267211914,16.322458267211914,16.322458267211914,16.322460174560547
