pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,entry_notional_count,entry_notional_cap_hits,entry_notional_below_min,entry_notional_avg,entry_notional_p50,entry_notional_min,entry_notional_max
ETHUSDC-ETHUSDT,01/31-05/31,1.8244201,2.4847474098205566,48,0.038008753,36,59,2881,1.4503819,-1.354718,48,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CAKEUSDT-FIDAUSDT,01/31-05/31,8.773464,1.950615644454956,40,0.2193366,21,59,2881,16.441006,-4.2081146,40,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-HFTUSDT,01/31-05/31,1.0798504,1.5813326835632324,33,0.03272274,14,52,2881,2.607825,-1.7482802,33,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ETCUSDT-JUVUSDT,01/31-05/31,23.436802,1.6464747190475464,34,0.6893177,19,49,2881,24.967459,-5.9844065,34,0,0,15.0,15.0,14.999999046325684,15.000000953674316
FTTUSDT-KSMUSDT,01/31-05/31,6.9772606,1.575535535812378,33,0.21143214,17,48,2881,4.311879,-3.060485,33,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AGLDUSDT-HFTUSDC,01/31-05/31,0.9979625,1.9465235471725464,40,0.024949063,19,61,2881,2.1150584,-1.8480668,40,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AXSUSDT-DOTUSDT,01/31-05/31,7.641634,1.8845546245574951,39,0.19593933,24,54,2881,2.669013,-2.0032775,39,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDT-KDAUSDT,01/31-05/31,7.285533,1.9362146854400635,40,0.18213832,19,61,2881,9.12299,-4.6088667,40,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CTCUSDT-ERTHAUSDT,01/31-05/31,-11.384811,0.9987984299659729,21,-0.54213387,9,33,2881,15.36742,-32.4629,21,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ATOMUSDT-KCALUSDT,01/31-05/31,1.7114689,1.1890690326690674,25,0.06845876,9,41,2881,4.5103683,-2.8532436,25,0,0,15.0,15.0,14.999999046325684,15.0
DOTUSDC-KDAUSDT,01/31-05/31,6.540721,1.9583039283752441,41,0.15952978,20,62,2881,8.196598,-4.8273845,41,0,0,15.0,15.0,14.999999046325684,15.000000953674316
FLOWUSDT-JSTUSDT,01/31-05/31,-5.2816267,1.4654308557510376,31,-0.17037505,12,49,2881,4.570761,-3.810183,31,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ATOMUSDT-GODSUSDT,01/31-05/31,0.44704008,1.9673609733581543,41,0.010903416,27,55,2881,2.6810498,-3.1924598,41,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DYDXUSDT-KCALUSDT,01/31-05/31,1.8213155,1.9277541637420654,41,0.04442233,23,58,2881,4.36063,-6.3344536,41,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-KDAUSDT,01/31-05/31,-11.114282,1.5438213348388672,32,-0.3473213,15,49,2881,2.0742111,-6.8656883,32,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CITYUSDT-IZIUSDT,01/31-05/31,56.980198,1.772838830947876,35,1.6280056,20,50,2881,28.307234,-4.8708825,35,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DYDXUSDT-KSMUSDT,01/31-05/31,1.1941237,1.9229331016540527,40,0.029853094,23,57,2881,1.5094368,-2.2343097,40,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AVAUSDT-KASTAUSDT,01/31-05/31,-3.4682312,1.8007293939590454,38,-0.09126924,19,56,2881,1.9375346,-3.6280475,38,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDT-FTTUSDT,01/31-05/31,4.5101686,1.3467273712158203,28,0.16107745,15,41,2881,3.1535764,-1.8823004,28,0,0,15.0,15.0,14.999999046325684,15.000000953674316
BLURUSDT-LDOUSDT,01/31-05/31,-5.6472507,1.5773847103118896,33,-0.17112881,14,52,2881,3.8739872,-2.8303394,33,0,0,15.0,15.0,14.999999046325684,15.000000953674316
APEXUSDC-AVAUSDT,01/31-05/31,6.6861143,1.9309055805206299,40,0.16715285,26,54,2881,1.9249632,-5.4659333,40,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDC-FTTUSDT,01/31-05/31,2.19031,1.3513903617858887,28,0.07822536,12,44,2881,3.816454,-2.118016,28,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-HFTUSDC,01/31-05/31,-3.3003268,1.6202151775360107,34,-0.09706844,15,53,2881,1.5636076,-2.6070867,34,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-DOTUSDT,01/31-05/31,-12.579136,1.9875235557556152,42,-0.29950324,16,67,2881,2.833252,-4.7419157,42,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ETHUSDC-ETHUSDT,03/02-06/30,7.577304,2.9099974632263184,44,0.17221145,22,66,2881,2.7873023,-0.47165766,44,0,0,16.309839248657227,16.30984115600586,16.309839248657227,16.30984115600586
FTTUSDT-KSMUSDT,03/02-06/30,-45.282448,2.1966652870178223,41,-1.10445,17,65,2881,12.685156,-22.781301,41,0,0,16.30984115600586,16.30984115600586,16.309839248657227,16.30984115600586
CRVUSDT-KDAUSDT,03/02-06/30,7.271536,2.036071538925171,39,0.18644963,20,58,2881,8.905993,-8.397671,39,0,0,16.30983543395996,16.30984115600586,16.309839248657227,16.30984115600586
ETCUSDT-JUVUSDT,03/02-06/30,-57.40341,1.8984489440917969,35,-1.6400975,17,53,2881,8.46677,-19.304956,35,0,0,16.309839248657227,16.30984115600586,16.309839248657227,16.30984115600586
DOTUSDT-KDAUSDT,03/02-06/30,17.114048,2.1486878395080566,40,0.4278512,20,60,2881,9.246053,-3.0247438,40,0,0,16.30984115600586,16.30984115600586,16.309839248657227,16.30984115600586
CRVUSDT-DOTUSDT,03/02-06/30,-21.595003,1.8913530111312866,34,-0.63514715,14,54,2881,4.041439,-15.410732,34,0,0,16.309839248657227,16.30984115600586,16.309839248657227,16.30984115600586
ATOMUSDT-KCALUSDT,03/02-06/30,-36.183586,2.22991681098938,43,-0.84147877,20,65,2881,3.3978386,-16.24524,43,0,0,16.309839248657227,16.30984115600586,16.30984115600586,16.30984115600586
DOTUSDC-KDAUSDT,03/02-06/30,-13.108231,2.1733782291412354,41,-0.31971294,15,67,2881,4.1013384,-4.9836707,41,0,0,16.30984115600586,16.30984115600586,16.309839248657227,16.30984115600586
GMTUSDC-HOOKUSDT,03/02-06/30,-82.825966,2.450319528579712,44,-1.8824083,18,69,2881,12.696696,-47.369453,44,0,0,16.309839248657227,16.30984115600586,16.309839248657227,16.30984115600586
CITYUSDT-IZIUSDT,03/02-06/30,-13.325445,2.1774067878723145,42,-0.3172725,23,60,2881,13.937411,-14.2510605,42,0,0,16.30984115600586,16.30984115600586,16.309839248657227,16.30984115600586
DYDXUSDT-KSMUSDT,03/02-06/30,-61.214428,2.2614283561706543,41,-1.4930348,17,65,2881,26.39279,-34.422253,41,0,0,16.30984115600586,16.30984115600586,16.30984115600586,16.30984115600586
GMTUSDT-HOOKUSDT,03/02-06/30,-14.295974,2.240558385848999,40,-0.35739934,19,61,2881,14.671872,-27.916866,40,0,0,16.30984115600586,16.30984115600586,16.309839248657227,16.30984115600586
